circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ariana,ArianaVille,04010100101,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 1,0,0,6,1,0,1,314,14,0,1,3,0,5,1,0,3,0,1,0,2,2,0,7,83,0,2,19,465
Ariana,ArianaVille,04010100102,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 2,0,0,5,3,0,0,301,11,1,2,1,1,1,0,0,0,0,0,1,2,1,0,5,95,0,3,22,455
Ariana,ArianaVille,04010100103,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 3,0,0,2,4,0,1,279,11,0,1,2,0,7,0,0,4,0,0,1,0,2,0,1,100,0,4,32,451
Ariana,ArianaVille,04010100104,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 4,0,0,4,2,0,3,243,17,0,0,2,0,4,1,1,0,0,0,0,1,2,0,0,130,0,4,34,448
Ariana,ArianaVille,04010100105,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 5,1,0,2,6,0,0,195,17,0,0,1,0,5,0,0,2,0,0,0,0,1,0,5,117,0,3,38,393
Ariana,ArianaVille,04010100106,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 6,0,0,7,5,0,0,177,25,0,0,2,1,4,0,0,2,0,0,0,0,0,0,1,93,1,2,71,391
Ariana,ArianaVille,04010100107,م إبتدائية شارع الحرية أريانة الجديدة   مكتب 7,0,0,5,3,0,0,154,18,1,0,1,0,8,0,0,2,0,0,0,0,1,0,6,93,0,0,63,355
Ariana,ArianaVille,04010200201,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 1,0,0,1,3,0,1,376,10,0,1,0,0,12,1,1,5,0,0,0,0,1,0,1,91,0,3,20,527
Ariana,ArianaVille,04010200202,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 2,1,0,1,6,0,0,327,5,0,0,1,0,16,1,0,3,0,0,0,0,4,0,5,105,0,6,32,513
Ariana,ArianaVille,04010200203,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 3,0,0,5,6,0,2,309,0,1,0,3,0,8,0,0,2,0,0,1,0,3,0,3,124,0,1,41,509
Ariana,ArianaVille,04010200204,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 4,0,0,6,7,0,0,283,6,0,0,3,0,10,3,0,3,0,0,0,1,2,1,5,105,1,4,50,490
Ariana,ArianaVille,04010200205,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 5,0,0,2,11,0,0,276,9,0,0,5,0,10,2,0,9,2,0,0,0,3,0,5,124,0,7,27,492
Ariana,ArianaVille,04010200206,م إبتدائية رياض الأندلس - أريانة العليا   مكتب 6,0,0,3,10,0,1,255,10,1,1,1,0,10,0,0,2,0,0,0,0,0,0,6,82,1,1,71,455
