circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ariana,Ettadhamen,04030103701,م إبتدائية حي التضامن 1  مكتب 1,2,1,3,3,0,1,172,41,1,0,5,2,4,2,0,6,2,1,2,0,5,1,4,113,1,10,15,397
Ariana,Ettadhamen,04030103702,م إبتدائية حي التضامن 1  مكتب 2,2,2,2,7,0,2,159,32,0,0,3,2,4,0,0,1,1,1,1,1,4,1,6,120,1,6,14,372
Ariana,Ettadhamen,04030103703,م إبتدائية حي التضامن 1  مكتب 3,2,1,0,1,1,3,137,29,0,2,2,0,3,2,1,2,1,0,0,1,2,1,1,116,0,10,11,329
Ariana,Ettadhamen,04030103704,م إبتدائية حي التضامن 1  مكتب 4,0,0,1,4,1,1,96,44,0,0,3,0,1,0,0,1,0,0,0,0,3,0,3,152,0,9,26,345
Ariana,Ettadhamen,04030103705,م إبتدائية حي التضامن 1  مكتب 5,1,0,1,1,0,0,88,38,0,0,2,0,6,0,0,2,0,0,0,0,1,1,2,166,0,4,20,333
Ariana,Ettadhamen,04030103706,م إبتدائية حي التضامن 1  مكتب 6,0,0,4,1,0,0,72,49,0,1,2,0,3,0,0,1,0,0,0,0,0,0,2,119,1,5,24,284
Ariana,Ettadhamen,04030103707,م إبتدائية حي التضامن 1  مكتب 7,1,0,0,1,0,0,64,49,0,0,1,0,5,0,0,1,0,0,0,0,1,0,2,109,0,7,18,259
Ariana,Ettadhamen,04030103801,م إبتدائية حي التضامن 1 مكرر  مكتب 1,5,0,1,1,3,2,107,41,1,0,4,3,6,2,0,2,1,0,1,0,3,2,1,103,0,12,16,317
Ariana,Ettadhamen,04030103802,م إبتدائية حي التضامن 1 مكرر  مكتب 2,1,0,1,0,0,0,96,34,0,1,2,0,6,1,1,1,0,1,0,0,1,0,0,113,0,8,22,289
Ariana,Ettadhamen,04030103803,م إبتدائية حي التضامن 1 مكرر  مكتب 3,0,0,2,1,0,0,59,45,0,0,1,0,5,0,0,0,0,0,0,1,3,0,0,82,1,6,21,227
Ariana,Ettadhamen,04030103901,م إبتدائية طارق ابن زياد التضامن5 - حي التضامن  مكتب 1,4,0,2,0,0,3,126,40,1,1,2,0,3,1,2,3,1,0,0,0,1,1,5,120,1,12,12,341
Ariana,Ettadhamen,04030103902,م إبتدائية طارق ابن زياد التضامن5 - حي التضامن  مكتب 2,1,1,2,4,0,1,138,32,0,1,2,2,2,2,2,1,1,0,0,0,1,2,3,115,0,21,19,353
Ariana,Ettadhamen,04030103903,م إبتدائية طارق ابن زياد التضامن5 - حي التضامن  مكتب 3,1,1,1,5,0,0,123,29,1,1,2,2,1,2,1,1,2,1,0,0,2,0,6,107,0,14,19,322
Ariana,Ettadhamen,04030103904,م إبتدائية طارق ابن زياد التضامن5 - حي التضامن  مكتب 4,1,0,0,4,0,0,95,35,0,0,1,0,2,0,0,0,1,0,0,0,1,0,2,155,0,12,14,323
Ariana,Ettadhamen,04030103905,م إبتدائية طارق ابن زياد التضامن5 - حي التضامن  مكتب 5,1,0,5,5,0,0,81,46,0,0,1,0,1,0,0,2,0,0,0,0,1,1,1,122,0,9,20,296
Ariana,Ettadhamen,04030103906,م إبتدائية طارق ابن زياد التضامن5 - حي التضامن  مكتب 6,0,0,0,1,0,1,65,45,0,0,2,0,4,1,0,2,0,0,0,1,0,0,7,87,1,5,22,244
Ariana,Ettadhamen,04030104001,م إبتدائية حي التضامن 4 مكرر  مكتب 1,1,0,2,2,2,0,117,29,0,2,1,0,4,1,0,0,2,0,0,1,3,0,2,79,0,11,8,267
Ariana,Ettadhamen,04030104002,م إبتدائية حي التضامن 4 مكرر  مكتب 2,0,1,1,1,0,1,107,39,1,1,2,0,2,1,0,3,0,1,1,0,2,0,1,86,0,13,18,282
Ariana,Ettadhamen,04030104003,م إبتدائية حي التضامن 4 مكرر  مكتب 3,1,0,1,1,0,0,55,40,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,94,0,11,12,220
Ariana,Ettadhamen,04030104004,م إبتدائية حي التضامن 4 مكرر  مكتب 4,1,0,0,2,0,0,68,44,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,56,0,8,15,201
Ariana,Ettadhamen,04030204101,م إبتدائية التضامن3 - 9 افريل  مكتب 1,1,1,0,3,4,2,155,36,3,0,5,0,3,0,0,4,1,1,1,1,2,1,3,127,2,17,12,385
Ariana,Ettadhamen,04030204102,م إبتدائية التضامن3 - 9 افريل  مكتب 2,0,1,0,5,1,0,142,36,2,1,4,0,10,1,1,1,0,0,0,0,7,0,2,140,0,19,19,392
Ariana,Ettadhamen,04030204103,م إبتدائية التضامن3 - 9 افريل  مكتب 3,0,0,0,2,0,1,118,25,1,0,2,1,5,3,2,0,1,1,0,2,3,0,3,138,1,14,27,350
Ariana,Ettadhamen,04030204104,م إبتدائية التضامن3 - 9 افريل  مكتب 4,1,0,1,2,0,0,81,52,0,0,0,0,1,3,0,2,0,0,0,0,2,0,1,174,1,8,22,351
Ariana,Ettadhamen,04030204105,م إبتدائية التضامن3 - 9 افريل  مكتب 5,0,0,0,1,0,0,76,32,0,1,5,0,1,0,0,3,1,0,1,0,1,0,0,153,0,6,14,295
Ariana,Ettadhamen,04030204106,م إبتدائية التضامن3 - 9 افريل  مكتب 6,0,0,1,0,0,0,70,48,0,0,1,0,0,0,0,2,0,0,0,0,2,0,2,144,0,4,12,286
Ariana,Ettadhamen,04030204107,م إبتدائية التضامن3 - 9 افريل  مكتب 7,0,0,1,2,0,0,73,57,0,0,5,0,1,0,1,1,0,0,0,0,1,0,0,138,0,4,25,309
Ariana,Ettadhamen,04030304201,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 1,1,1,1,4,0,4,128,39,1,0,3,0,5,0,2,2,0,0,1,0,2,1,2,150,1,17,9,374
Ariana,Ettadhamen,04030304202,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 2,1,0,1,2,0,2,124,20,2,2,0,0,7,0,0,0,0,2,1,1,3,1,0,137,0,13,20,339
Ariana,Ettadhamen,04030304203,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 3,1,1,0,2,3,0,114,34,1,3,5,1,4,0,3,1,1,0,0,0,1,0,1,152,1,7,10,346
Ariana,Ettadhamen,04030304204,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 4,0,0,1,1,0,1,102,31,1,1,1,0,3,0,1,2,0,0,0,2,1,0,1,163,1,9,22,344
Ariana,Ettadhamen,04030304205,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 5,1,0,2,2,1,0,81,42,0,0,3,0,3,1,0,3,0,0,0,1,0,0,2,167,0,7,16,332
Ariana,Ettadhamen,04030304206,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 6,1,0,0,2,0,0,53,42,0,0,4,1,2,0,0,1,0,0,0,0,0,0,2,127,1,4,23,263
Ariana,Ettadhamen,04030304207,م إبتدائية حي التضامن 2 - 18 جانفي  مكتب 7,1,0,1,0,2,0,64,51,0,0,5,0,2,1,0,1,1,0,0,0,1,0,0,122,0,3,22,277
Ariana,Ettadhamen,04030304301,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 1,1,1,2,2,1,2,138,43,0,0,3,3,6,4,1,2,1,1,2,0,4,0,3,115,1,18,15,369
Ariana,Ettadhamen,04030304302,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 2,2,0,2,5,1,0,144,43,0,2,4,1,11,1,0,2,0,0,1,0,3,0,4,138,2,8,15,389
Ariana,Ettadhamen,04030304303,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 3,1,1,0,1,1,1,121,34,0,1,1,1,3,2,0,2,0,0,0,1,3,1,2,134,1,19,13,344
Ariana,Ettadhamen,04030304304,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 4,3,1,0,3,1,0,105,29,0,0,4,0,3,1,2,3,1,1,2,1,4,0,0,135,0,20,21,340
Ariana,Ettadhamen,04030304305,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 5,0,1,3,1,0,1,120,32,1,0,2,0,6,0,0,3,0,0,0,0,2,0,2,191,0,13,16,394
Ariana,Ettadhamen,04030304306,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 6,1,0,6,3,0,0,78,42,0,1,2,0,3,0,0,2,0,0,0,0,1,0,0,175,0,8,21,343
Ariana,Ettadhamen,04030304307,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 7,0,0,0,2,1,0,64,49,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,141,0,5,22,290
Ariana,Ettadhamen,04030304308,م إبتدائية حي التضامن 2 مارس 34 - 18 جانفي  مكتب 8,1,0,0,0,1,1,64,47,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,130,0,12,22,284
Ariana,Ettadhamen,04030304401,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 1,2,0,1,4,2,2,147,32,1,2,2,1,2,0,0,1,0,1,0,2,5,1,7,111,0,10,24,360
Ariana,Ettadhamen,04030304402,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 2,0,0,1,2,2,1,138,38,0,0,1,1,5,1,0,3,1,0,0,0,5,1,1,113,0,19,19,352
Ariana,Ettadhamen,04030304403,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 3,0,0,1,4,2,0,115,43,0,2,2,0,1,0,1,0,0,0,0,0,2,0,2,131,1,8,19,334
Ariana,Ettadhamen,04030304404,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 4,1,0,2,1,0,0,99,42,0,0,1,1,1,0,0,1,2,0,1,0,1,0,2,144,0,8,19,326
Ariana,Ettadhamen,04030304405,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 5,1,0,1,2,0,0,85,45,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,140,0,11,25,316
Ariana,Ettadhamen,04030304406,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 6,0,0,1,2,1,0,63,53,0,1,2,0,3,0,0,1,0,0,0,0,0,0,1,110,0,11,23,272
Ariana,Ettadhamen,04030304407,م إبتدائية  18جانفي 52 حي التضامن - 18 جانفي  مكتب 7,2,0,0,1,1,0,64,45,0,0,3,0,5,0,0,2,1,0,0,0,0,0,0,91,0,10,26,251
Ariana,Ettadhamen,04030404501,م إبتدائية  14 جانفي حي التضامن - 2 مارس  مكتب 1,5,2,0,3,2,2,105,30,0,1,0,2,2,3,2,3,1,2,0,1,3,0,0,92,0,14,9,284
Ariana,Ettadhamen,04030404502,م إبتدائية  14 جانفي حي التضامن - 2 مارس  مكتب 2,5,1,1,0,2,0,89,37,1,1,2,0,1,0,2,1,0,0,0,0,2,0,2,85,1,21,13,267
Ariana,Ettadhamen,04030404503,م إبتدائية  14 جانفي حي التضامن - 2 مارس  مكتب 3,0,0,1,1,0,0,96,42,1,0,3,0,2,0,0,2,0,0,0,0,0,0,1,109,0,8,20,286
Ariana,Ettadhamen,04030404504,م إبتدائية  14 جانفي حي التضامن - 2 مارس  مكتب 4,1,0,2,0,1,0,44,38,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,112,0,10,11,222
Ariana,Ettadhamen,04030404505,م إبتدائية  14 جانفي حي التضامن - 2 مارس  مكتب 5,0,0,0,0,1,0,49,40,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,75,2,8,10,191
Ariana,Ettadhamen,04030404601,م إبتدائية نهج الطيب المهيري حي التضامن - 2 مارس  مكتب 1,2,0,2,1,3,2,134,45,0,1,2,0,2,1,3,0,3,0,0,1,4,0,3,127,0,14,16,366
Ariana,Ettadhamen,04030404602,م إبتدائية نهج الطيب المهيري حي التضامن - 2 مارس  مكتب 2,1,0,1,1,0,0,65,46,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,146,0,9,14,289
Ariana,Ettadhamen,04030504701,م إبتدائية حي التضامن 4 - 14 جانفي  مكتب 1,4,0,0,4,2,1,150,36,1,4,0,2,8,2,1,2,3,1,1,0,3,1,2,91,2,9,11,341
Ariana,Ettadhamen,04030504702,م إبتدائية حي التضامن 4 - 14 جانفي  مكتب 2,1,0,0,4,1,3,127,38,1,0,4,0,4,2,1,1,2,2,2,1,3,2,2,101,1,13,8,324
Ariana,Ettadhamen,04030504703,م إبتدائية حي التضامن 4 - 14 جانفي  مكتب 3,1,0,0,1,1,1,97,43,0,0,0,0,5,2,0,3,0,0,0,0,1,1,2,137,0,12,17,324
Ariana,Ettadhamen,04030504704,م إبتدائية حي التضامن 4 - 14 جانفي  مكتب 4,1,0,0,1,0,0,70,44,0,0,2,0,1,0,0,0,2,1,0,0,1,0,3,135,0,2,19,282
Ariana,Ettadhamen,04030504705,م إبتدائية حي التضامن 4 - 14 جانفي  مكتب 5,0,0,0,1,2,0,62,34,0,0,0,0,3,0,0,1,0,2,0,0,0,0,3,97,0,7,19,231
