#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
04070108501,م إبتدائية شارع بورقيبة قلعة الأندلس 1 - قلعة الاندلس الشرقية   مكتب 1,0,0,1,3,0,1,265,31,1,2,5,0,8,0,1,2,1,0,2,1,4,0,4,74,0,8,16,430.0
04070108502,م إبتدائية شارع بورقيبة قلعة الأندلس 1 - قلعة الاندلس الشرقية   مكتب 2,0,0,2,0,0,1,194,34,0,1,1,1,11,0,0,0,0,0,0,0,3,1,2,110,2,11,22,396.0
04070108503,م إبتدائية شارع بورقيبة قلعة الأندلس 1 - قلعة الاندلس الشرقية   مكتب 3,2,0,2,2,0,2,144,67,0,1,1,0,15,0,0,3,0,0,0,0,1,0,1,70,0,6,19,336.0
04070108601,م إبتدائية قلعة الأندلس 2 -  قلعة الاندلس الشرقية   مكتب 1,1,3,1,0,3,2,196,50,1,4,1,1,2,1,1,0,0,0,0,1,7,0,2,122,2,10,12,423.0
04070108602,م إبتدائية قلعة الأندلس 2 -  قلعة الاندلس الشرقية   مكتب 2,0,0,2,2,0,1,140,34,2,0,4,1,1,2,1,4,0,0,2,1,3,0,2,117,0,8,11,338.0
04070108603,م إبتدائية قلعة الأندلس 2 -  قلعة الاندلس الشرقية   مكتب 3,2,0,1,0,1,0,138,50,0,1,4,0,4,0,0,4,1,0,0,0,2,0,1,145,0,8,16,378.0
04070108604,م إبتدائية قلعة الأندلس 2 -  قلعة الاندلس الشرقية   مكتب 4,2,0,2,2,1,1,137,48,0,0,2,0,2,1,0,1,0,0,0,0,2,1,2,113,0,4,24,345.0
04070108605,م إبتدائية قلعة الأندلس 2 -  قلعة الاندلس الشرقية   مكتب 5,0,0,2,3,0,0,104,74,0,0,4,0,3,1,0,3,0,0,0,0,0,0,1,120,0,6,21,342.0
04070108701,م إبتدائية قلعة الأندلس 3 - قلعة الاندلس الشرقية   مكتب 1,2,0,1,1,0,0,104,25,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,82,1,4,11,238.0
04070108702,م إبتدائية قلعة الأندلس 3 - قلعة الاندلس الشرقية   مكتب 2,0,0,0,0,0,0,75,31,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,68,0,7,15,198.0
04070208801,م إبتدائية سيدي عيسى قلعة الأندلس4 - قلعة الأندلس الغربية  مكتب 1,2,0,2,0,0,1,146,41,3,1,1,2,6,0,0,1,0,1,0,0,7,0,0,61,0,14,10,299.0
04070208802,م إبتدائية سيدي عيسى قلعة الأندلس4 - قلعة الأندلس الغربية  مكتب 2,3,0,2,2,1,0,105,43,0,0,3,0,6,1,0,1,0,0,0,0,0,0,2,79,0,15,27,290.0
04070208803,م إبتدائية سيدي عيسى قلعة الأندلس4 - قلعة الأندلس الغربية  مكتب 3,1,0,1,2,0,0,83,55,0,0,1,0,7,0,0,1,0,0,0,1,0,0,1,56,0,4,23,236.0
04070208901,م إبتدائية المروج - قلعة الأندلس الغربية  مكتب 1,5,0,2,1,0,0,90,34,0,0,3,1,7,1,0,5,0,0,0,0,2,1,2,58,0,6,14,232.0
04070208902,م إبتدائية المروج - قلعة الأندلس الغربية  مكتب 2,2,0,0,1,0,0,66,34,0,0,2,0,3,0,0,2,0,0,0,0,1,0,1,65,0,10,19,206.0
04070309001,م إبتدائية قنطرة بنزرت   مكتب 1,1,0,0,0,0,0,126,18,1,0,1,1,1,1,1,2,0,1,1,2,4,0,3,91,0,17,5,277.0
04070309002,م إبتدائية قنطرة بنزرت   مكتب 2,1,0,0,1,0,0,82,33,0,1,2,0,1,0,0,0,0,1,0,0,2,1,0,122,0,14,9,270.0
04070309003,م إبتدائية قنطرة بنزرت   مكتب 3,0,0,0,0,0,0,60,38,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,105,0,7,13,229.0
04070409101,م إبتدائية برج يوسف - بوحنش  مكتب 1,2,0,1,1,1,2,84,15,1,0,3,0,5,0,0,1,0,0,0,1,2,1,0,55,0,20,2,197.0
04070409201,م إبتدائية بوحنش   مكتب 1,0,1,1,2,0,2,86,55,0,0,5,0,2,0,1,0,0,0,0,0,1,0,0,97,0,7,2,262.0
04070509301,م إبتدائية النحلي   مكتب 1,1,1,2,4,3,1,120,20,1,1,2,0,8,2,0,2,2,1,0,0,6,1,3,66,0,18,12,277.0
04070509302,م إبتدائية النحلي   مكتب 2,0,0,1,2,0,2,92,38,0,0,3,0,0,1,0,0,2,0,0,0,1,0,3,65,0,9,19,238.0
مجموع أصوات القائمة,27,5,26,29,10,16,2637,868,10,13,51,7,94,12,5,33,7,4,5,8,49,7,33,1941,5,213,322,6437,
