circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ariana,LaSoukra,04050106001,م إبتدائية سكرة البريد  مكتب 1,2,0,3,3,0,0,354,22,0,1,3,1,4,2,1,1,0,0,0,1,3,0,5,69,1,4,22,502
Ariana,LaSoukra,04050106002,م إبتدائية سكرة البريد  مكتب 2,2,0,1,4,0,0,343,15,0,0,3,1,5,4,0,1,0,0,0,0,4,0,8,80,0,6,15,492
Ariana,LaSoukra,04050106003,م إبتدائية سكرة البريد  مكتب 3,0,0,2,5,0,2,302,11,0,0,5,0,7,2,0,1,0,0,1,0,4,0,4,94,0,5,27,472
Ariana,LaSoukra,04050106004,م إبتدائية سكرة البريد  مكتب 4,2,0,2,4,0,1,304,17,0,1,3,0,5,0,0,2,0,0,0,0,2,0,9,73,0,5,50,480
Ariana,LaSoukra,04050106005,م إبتدائية سكرة البريد  مكتب 5,0,0,5,3,0,0,290,15,0,5,1,0,2,1,0,3,0,0,0,0,1,0,3,100,1,8,41,479
Ariana,LaSoukra,04050106006,م إبتدائية سكرة البريد  مكتب 6,3,0,1,4,0,0,233,34,0,2,2,0,6,2,0,2,0,0,0,1,2,0,4,92,1,4,47,440
Ariana,LaSoukra,04050106007,م إبتدائية سكرة البريد  مكتب 7,0,0,2,8,0,0,221,26,0,0,2,0,6,0,0,1,0,1,0,1,0,0,6,63,0,11,52,400
Ariana,LaSoukra,04050106008,م إبتدائية سكرة البريد  مكتب 8,1,0,6,3,0,0,230,24,0,0,2,0,2,0,0,2,0,0,0,0,2,0,1,59,1,5,44,382
Ariana,LaSoukra,04050106101,م إبتدائية سيدي فرج سكرة   مكتب 1,5,0,1,7,0,1,261,15,0,1,4,0,15,4,1,1,0,1,3,0,8,0,6,86,0,4,12,436
Ariana,LaSoukra,04050106102,م إبتدائية سيدي فرج سكرة   مكتب 2,0,0,1,3,1,1,238,13,1,3,4,0,4,5,0,0,0,0,3,0,4,0,4,110,0,2,12,409
Ariana,LaSoukra,04050106103,م إبتدائية سيدي فرج سكرة   مكتب 3,0,1,4,3,0,2,220,14,2,0,2,0,5,0,0,1,1,0,0,2,1,0,3,100,0,4,19,384
Ariana,LaSoukra,04050106104,م إبتدائية سيدي فرج سكرة   مكتب 4,0,0,1,4,0,0,202,23,0,0,1,0,7,0,1,3,0,0,0,0,2,0,5,104,2,3,23,381
Ariana,LaSoukra,04050106105,م إبتدائية سيدي فرج سكرة   مكتب 5,0,0,2,2,0,0,133,26,1,0,5,0,6,0,0,3,0,0,0,0,1,0,6,77,0,9,29,300
Ariana,LaSoukra,04050106106,م إبتدائية سيدي فرج سكرة   مكتب 6,0,0,3,4,0,0,181,18,0,0,3,1,8,1,0,1,0,0,0,0,0,0,3,79,0,5,24,331
Ariana,LaSoukra,04050106201,م إبتدائية سيدي سفيان - سكرة  مكتب 1,2,0,1,5,0,0,235,33,1,1,4,0,7,1,0,7,0,0,0,0,6,0,3,110,2,10,19,447
Ariana,LaSoukra,04050106202,م إبتدائية سيدي سفيان - سكرة  مكتب 2,0,0,0,1,0,1,185,33,0,0,2,2,4,0,2,2,1,1,1,1,1,0,5,131,2,12,25,412
Ariana,LaSoukra,04050106203,م إبتدائية سيدي سفيان - سكرة  مكتب 3,0,1,3,1,1,0,161,36,0,2,1,0,6,0,1,2,0,2,0,0,2,1,7,139,0,20,42,428
Ariana,LaSoukra,04050106204,م إبتدائية سيدي سفيان - سكرة  مكتب 4,0,0,1,8,0,0,147,55,0,0,3,0,7,0,0,5,1,0,0,1,1,0,4,144,0,7,31,415
Ariana,LaSoukra,04050106205,م إبتدائية سيدي سفيان - سكرة  مكتب 5,0,0,7,5,0,0,130,65,0,2,3,0,4,0,0,1,0,0,0,0,0,1,2,125,0,5,51,401
Ariana,LaSoukra,04050106206,م إبتدائية سيدي سفيان - سكرة  مكتب 6,0,0,1,3,0,1,120,55,1,0,5,0,4,1,1,3,0,1,0,0,2,1,5,111,0,8,39,362
Ariana,LaSoukra,04050106207,م إبتدائية سيدي سفيان - سكرة  مكتب 7,1,0,4,2,0,0,143,43,0,0,1,1,8,0,0,1,1,0,0,0,0,0,3,128,1,3,35,375
Ariana,LaSoukra,04050106301,م إبتدائية الزوادية - سكرة  مكتب 1,0,0,3,6,2,1,204,21,1,1,3,0,3,2,1,2,1,1,0,0,3,0,6,43,0,18,20,342
Ariana,LaSoukra,04050106302,م إبتدائية الزوادية - سكرة  مكتب 2,0,0,2,2,0,1,146,19,1,0,4,0,0,1,0,2,1,0,0,1,5,1,4,74,0,11,20,295
Ariana,LaSoukra,04050106303,م إبتدائية الزوادية - سكرة  مكتب 3,0,0,4,0,0,0,126,31,1,1,2,0,1,0,0,1,0,0,0,0,0,0,8,73,0,6,29,283
Ariana,LaSoukra,04050206401,م إبتدائية دار الفاضل 1  مكتب 1,0,2,0,2,2,2,231,25,3,2,1,0,6,0,0,3,1,0,0,1,3,0,5,82,0,12,27,410
Ariana,LaSoukra,04050206402,م إبتدائية دار الفاضل 1  مكتب 2,1,1,2,4,0,0,182,24,2,0,3,0,6,2,1,4,0,1,0,0,3,1,4,120,1,23,23,408
Ariana,LaSoukra,04050206403,م إبتدائية دار الفاضل 1  مكتب 3,1,1,1,10,0,0,179,26,0,1,1,0,5,1,0,2,0,1,0,0,4,0,9,99,0,14,38,393
Ariana,LaSoukra,04050206404,م إبتدائية دار الفاضل 1  مكتب 4,0,0,1,2,0,0,175,31,1,0,2,0,8,0,2,3,1,1,0,3,2,0,2,117,1,17,40,409
Ariana,LaSoukra,04050206405,م إبتدائية دار الفاضل 1  مكتب 5,0,0,3,2,0,0,137,58,0,1,1,0,1,1,0,1,0,0,0,0,1,0,3,84,1,10,41,345
Ariana,LaSoukra,04050206406,م إبتدائية دار الفاضل 1  مكتب 6,0,0,1,2,0,0,129,39,1,1,1,0,2,1,0,0,0,1,0,0,0,0,3,83,0,18,30,312
Ariana,LaSoukra,04050206407,م إبتدائية دار الفاضل 1  مكتب 7,0,0,0,2,0,0,108,43,0,1,2,0,4,1,0,2,0,1,0,0,3,0,5,76,1,6,35,290
Ariana,LaSoukra,04050206501,م إبتدائية دار فضـال 2  مكتب 1,0,1,3,5,1,2,233,32,1,1,2,1,7,3,0,2,4,1,0,2,2,0,2,119,3,13,21,461
Ariana,LaSoukra,04050206502,م إبتدائية دار فضـال 2  مكتب 2,0,4,3,3,0,4,177,48,0,1,1,1,3,1,2,1,0,1,0,3,3,0,2,122,1,11,28,420
Ariana,LaSoukra,04050206503,م إبتدائية دار فضـال 2  مكتب 3,0,2,1,0,0,3,167,27,2,0,6,0,4,0,0,3,0,1,2,1,4,0,7,137,2,26,23,418
Ariana,LaSoukra,04050206504,م إبتدائية دار فضـال 2  مكتب 4,2,1,1,4,0,0,186,43,0,0,4,0,8,1,0,0,0,0,0,0,5,0,3,114,0,11,34,417
Ariana,LaSoukra,04050206505,م إبتدائية دار فضـال 2  مكتب 5,0,0,1,4,0,0,143,40,1,0,5,0,10,1,0,3,0,0,0,1,0,0,0,122,1,10,21,363
Ariana,LaSoukra,04050206506,م إبتدائية دار فضـال 2  مكتب 6,0,0,5,4,0,0,126,44,1,0,2,0,9,0,0,0,0,0,0,0,3,0,2,92,0,7,33,328
Ariana,LaSoukra,04050206507,م إبتدائية دار فضـال 2  مكتب 7,1,0,0,4,0,0,127,38,0,0,1,0,2,0,0,3,0,0,0,0,1,0,5,104,1,7,24,318
Ariana,LaSoukra,04050306601,م إبتدائية حي ساحلي طريق سكرة - البساتين  مكتب 1,0,0,1,4,0,1,262,28,1,0,0,1,6,0,0,2,0,0,1,1,7,0,2,77,0,6,12,412
Ariana,LaSoukra,04050306602,م إبتدائية حي ساحلي طريق سكرة - البساتين  مكتب 2,0,0,3,3,2,3,212,28,0,0,1,1,6,1,0,6,0,0,0,3,6,0,0,96,2,4,23,400
Ariana,LaSoukra,04050306603,م إبتدائية حي ساحلي طريق سكرة - البساتين  مكتب 3,0,0,2,2,0,0,165,34,0,0,2,0,8,2,1,0,1,0,0,1,1,0,5,131,0,4,25,384
Ariana,LaSoukra,04050306604,م إبتدائية حي ساحلي طريق سكرة - البساتين  مكتب 4,0,0,1,2,0,0,171,45,0,1,2,0,7,0,0,3,0,0,1,2,2,0,2,121,0,3,19,382
Ariana,LaSoukra,04050306605,م إبتدائية حي ساحلي طريق سكرة - البساتين  مكتب 5,0,0,5,7,0,2,121,35,0,0,2,0,4,1,0,0,0,0,1,0,0,0,1,84,0,7,36,306
Ariana,LaSoukra,04050306606,م إبتدائية حي ساحلي طريق سكرة - البساتين  مكتب 6,0,0,1,3,0,0,173,27,0,2,0,0,5,0,0,3,0,0,0,0,2,0,1,105,0,5,31,358
Ariana,LaSoukra,04050406701,م إبتدائية شطرانة   مكتب 1,1,1,5,3,1,1,257,18,0,0,2,0,4,0,0,3,1,2,0,2,3,0,5,73,0,4,17,403
Ariana,LaSoukra,04050406702,م إبتدائية شطرانة   مكتب 2,1,0,2,2,0,1,213,29,0,0,1,0,1,0,1,0,0,0,0,1,4,0,3,95,1,7,22,384
Ariana,LaSoukra,04050406703,م إبتدائية شطرانة   مكتب 3,1,0,0,2,1,2,154,26,0,0,5,0,4,1,1,2,0,0,0,1,0,0,3,86,1,23,22,335
Ariana,LaSoukra,04050406704,م إبتدائية شطرانة   مكتب 4,2,0,1,2,0,1,194,28,1,0,4,1,6,0,0,2,0,0,0,0,2,0,5,94,0,7,26,376
Ariana,LaSoukra,04050406705,م إبتدائية شطرانة   مكتب 5,0,1,4,5,0,0,144,47,0,2,0,0,7,0,0,3,0,0,0,0,3,1,0,65,0,4,26,312
Ariana,LaSoukra,04050406706,م إبتدائية شطرانة   مكتب 6,1,0,1,1,0,1,131,39,0,1,3,0,2,0,0,1,0,0,0,0,0,0,2,98,1,12,18,312
Ariana,LaSoukra,04050406707,م إبتدائية شطرانة   مكتب 7,1,0,0,3,0,0,119,33,0,0,1,0,6,0,0,1,0,0,0,0,5,0,3,76,0,7,31,286
Ariana,LaSoukra,04050506801,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 1,0,0,0,2,0,0,283,18,1,1,5,0,9,0,0,0,0,0,0,0,5,0,6,81,0,5,30,446
Ariana,LaSoukra,04050506802,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 2,0,0,4,8,0,0,244,19,0,0,3,0,5,0,0,4,1,1,0,1,0,0,3,111,1,3,42,450
Ariana,LaSoukra,04050506803,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 3,1,0,2,3,0,0,201,19,0,1,5,0,5,3,0,4,0,0,0,0,5,0,3,130,0,1,48,431
Ariana,LaSoukra,04050506804,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 4,0,0,7,5,0,2,223,15,0,0,3,0,12,1,1,1,0,0,0,1,0,0,3,124,0,7,42,447
Ariana,LaSoukra,04050506805,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 5,0,0,5,4,0,0,172,35,0,0,2,0,5,1,0,1,1,0,1,0,2,0,0,135,0,11,48,423
Ariana,LaSoukra,04050506806,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 6,1,0,7,2,0,0,142,38,0,0,2,0,7,1,0,5,0,0,0,0,0,0,1,100,0,3,75,384
Ariana,LaSoukra,04050506807,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 7,0,1,2,4,0,1,149,22,1,1,2,1,4,0,0,1,0,0,1,0,0,0,4,118,0,9,45,366
Ariana,LaSoukra,04050506808,م إبتدائية حي الهادي نويرة - برج الوزير  مكتب 8,1,0,5,4,0,1,140,32,0,1,4,0,9,0,0,2,1,0,0,1,1,0,6,105,1,4,55,373
Ariana,LaSoukra,04050506901,م إبتدائية برج الوزير حي التعمير5 - برج الوزير  مكتب 1,0,0,1,5,0,4,317,22,0,0,1,0,8,0,0,1,0,0,0,0,3,0,2,95,0,6,21,486
Ariana,LaSoukra,04050506902,م إبتدائية برج الوزير حي التعمير5 - برج الوزير  مكتب 2,0,1,1,3,0,3,255,15,0,1,4,0,6,0,0,4,1,1,1,1,6,0,3,123,1,8,23,461
Ariana,LaSoukra,04050506903,م إبتدائية برج الوزير حي التعمير5 - برج الوزير  مكتب 3,0,0,6,2,0,1,249,22,0,0,2,0,10,0,2,4,1,0,0,0,3,1,1,158,1,10,28,501
