#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
04020102301,م إبتدائية المنيهلة   مكتب 1,1,1,0,5,4,0,135,26,1,1,5,0,3,1,0,0,0,1,0,3,6,0,2,121,2,8,22,348.0
04020102302,م إبتدائية المنيهلة   مكتب 2,0,1,2,1,1,1,107,41,0,0,2,1,0,0,0,2,0,1,0,0,1,0,0,136,0,13,22,332.0
04020102303,م إبتدائية المنيهلة   مكتب 3,0,0,5,2,0,1,76,43,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,136,3,9,17,300.0
04020102304,م إبتدائية المنيهلة   مكتب 4,0,0,1,0,0,1,76,41,0,1,1,0,1,0,0,4,1,0,0,1,1,0,1,96,0,7,30,263.0
04020102401,م إبتدائية حي النصر 1 عن المنيهلة   مكتب 1,1,3,2,2,0,0,177,33,0,1,2,0,6,1,1,2,0,0,0,1,2,1,7,128,1,11,24,406.0
04020102402,م إبتدائية حي النصر 1 عن المنيهلة   مكتب 2,0,0,4,1,0,0,131,37,0,1,4,0,3,0,1,2,2,1,0,0,0,0,3,143,0,17,29,379.0
04020102403,م إبتدائية حي النصر 1 عن المنيهلة   مكتب 3,0,0,0,3,0,0,99,58,1,1,3,0,7,0,0,1,0,1,0,1,0,0,2,143,0,12,17,349.0
04020102404,م إبتدائية حي النصر 1 عن المنيهلة   مكتب 4,1,0,3,2,0,0,89,34,0,0,7,1,2,0,0,1,0,0,0,0,2,0,3,115,0,10,46,316.0
04020102501,م إبتدائية حي النصر 2 عن المنيهلة  مكتب 1,0,0,2,3,1,1,211,44,0,0,3,0,6,1,2,5,0,2,1,0,4,1,2,88,0,11,17,405.0
04020102502,م إبتدائية حي النصر 2 عن المنيهلة  مكتب 2,2,1,1,3,2,1,149,30,0,2,3,0,5,0,1,2,1,0,0,0,3,0,2,163,0,11,30,412.0
04020102503,م إبتدائية حي النصر 2 عن المنيهلة  مكتب 3,0,1,1,3,0,1,143,33,1,1,1,0,7,0,0,0,0,0,0,0,2,0,4,161,0,8,27,394.0
04020102504,م إبتدائية حي النصر 2 عن المنيهلة  مكتب 4,1,0,1,4,1,0,115,45,0,1,2,0,3,0,0,2,0,0,0,0,0,0,2,126,3,2,39,347.0
04020102505,م إبتدائية حي النصر 2 عن المنيهلة  مكتب 5,0,0,2,3,0,1,99,60,0,1,1,0,6,1,0,2,0,1,0,0,0,0,2,101,1,4,37,322.0
04020102601,م إبتدائية ابن سينا المنيهلة   مكتب 1,1,0,1,3,2,2,147,41,0,0,4,0,2,0,1,2,0,0,0,0,3,0,6,139,1,15,29,399.0
04020102602,م إبتدائية ابن سينا المنيهلة   مكتب 2,1,0,0,2,1,1,119,38,0,0,6,0,4,0,0,1,0,0,0,1,2,0,8,142,1,22,27,376.0
