#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
04040104801,م إبتدائية جعفر 1 - جعفر  مكتب 1,0,1,5,3,0,0,175,39,0,1,5,0,7,0,0,0,0,1,0,0,2,0,4,122,0,20,26,411
04040104802,م إبتدائية جعفر 1 - جعفر  مكتب 2,0,1,1,2,3,0,176,23,1,1,3,1,6,0,0,3,0,0,0,0,6,0,3,142,0,15,38,425
04040104803,م إبتدائية جعفر 1 - جعفر  مكتب 3,2,0,2,1,1,3,126,27,1,0,6,0,3,4,0,2,0,1,0,0,3,0,4,149,0,15,34,384
04040104804,م إبتدائية جعفر 1 - جعفر  مكتب 4,0,0,2,4,0,1,128,27,1,1,4,0,7,2,0,4,0,0,0,0,2,0,1,163,0,12,43,402
04040104805,م إبتدائية جعفر 1 - جعفر  مكتب 5,1,0,2,3,0,0,126,23,0,0,5,0,11,0,0,6,1,0,0,2,0,0,1,167,0,14,28,390
04040104806,م إبتدائية جعفر 1 - جعفر  مكتب 6,2,0,5,2,0,1,105,38,0,0,3,0,5,1,0,1,0,0,0,0,1,0,2,123,2,13,52,356
04040104807,م إبتدائية جعفر 1 - جعفر  مكتب 7,1,0,3,2,0,0,93,41,0,1,4,0,5,0,0,2,0,0,0,0,1,0,2,105,0,18,44,322
04040104808,م إبتدائية جعفر 1 - جعفر  مكتب 8,0,0,2,2,0,0,104,34,0,1,0,0,4,0,0,1,0,0,0,1,0,0,1,142,0,1,35,328
04040104901,م إبتدائية جعفر 2 - جعفر  مكتب 1,1,0,3,2,1,2,173,37,1,0,2,0,4,2,0,3,2,1,0,1,3,0,6,99,2,22,20,387
04040104902,م إبتدائية جعفر 2 - جعفر  مكتب 2,0,0,2,1,1,1,156,29,0,0,4,0,4,0,0,1,2,0,0,1,2,0,9,101,0,21,21,356
