#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
04060107601,م إبتدائية سيدي ثابت 1  مكتب 1,1,1,1,1,0,0,177,33,0,1,2,0,2,0,0,2,2,1,0,1,1,1,2,133,1,11,20,394.0
04060107602,م إبتدائية سيدي ثابت 1  مكتب 2,0,0,3,3,1,2,171,40,0,2,1,0,6,1,0,2,1,1,0,1,4,0,1,98,0,13,15,366.0
04060107603,م إبتدائية سيدي ثابت 1  مكتب 3,1,0,0,1,0,0,116,41,1,0,3,2,3,1,0,2,0,0,0,1,0,0,1,147,0,17,27,364.0
04060107604,م إبتدائية سيدي ثابت 1  مكتب 4,0,0,0,0,0,0,145,49,0,0,1,0,3,0,0,2,1,0,0,0,1,0,1,119,0,11,14,347.0
04060107605,م إبتدائية سيدي ثابت 1  مكتب 5,1,1,3,2,0,0,99,34,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,120,2,6,45,317.0
04060107606,م إبتدائية سيدي ثابت 1  مكتب 6,1,0,4,1,1,0,84,48,1,1,2,0,2,0,1,1,0,0,0,0,0,0,2,108,0,6,36,299.0
04060107701,م إبتدائية سيدي ثابت 2  مكتب 1,0,0,1,2,1,1,149,34,0,1,3,0,2,0,0,1,1,1,0,1,2,0,1,43,1,6,17,268.0
04060107702,م إبتدائية سيدي ثابت 2  مكتب 2,0,0,0,1,0,0,91,54,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,48,0,12,26,240.0
04060207801,م إبتدائية بجاوة 2 - بجاوة  مكتب 1,1,1,0,4,2,1,135,28,1,0,2,0,5,0,1,5,1,0,1,0,2,0,1,115,1,8,16,331.0
04060207802,م إبتدائية بجاوة 2 - بجاوة  مكتب 2,2,0,1,2,0,1,96,36,0,0,2,0,7,1,0,1,0,0,0,0,2,0,2,129,0,10,13,305.0
04060307901,م إبتدائية المباركة 2 - المنجي سليم   مكتب 1,2,0,1,5,1,1,141,41,0,1,1,0,4,3,1,2,1,0,0,2,1,0,1,105,1,13,6,334.0
04060307902,م إبتدائية المباركة 2 - المنجي سليم   مكتب 2,1,0,2,3,0,0,78,62,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,139,0,7,4,303.0
04060308001,م إبتدائية المباركة 1 - المنجي سليم  مكتب 1,0,0,1,2,0,1,163,51,0,1,1,0,2,1,0,1,0,1,1,0,1,1,1,117,1,15,9,371.0
04060308002,م إبتدائية المباركة 1 - المنجي سليم  مكتب 2,0,0,2,1,0,0,87,69,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,139,0,9,3,316.0
04060408101,م إبتدائية سبالة بن عمار  مكتب 1,1,0,2,2,1,0,107,13,0,1,3,0,3,1,0,1,0,0,1,0,2,2,1,84,1,11,9,246.0
04060408102,م إبتدائية سبالة بن عمار  مكتب 2,0,0,1,2,0,1,83,35,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,85,0,3,14,231.0
04060408201,م إبتدائية البكري سبالة بن عمار  مكتب 1,0,1,3,4,1,0,132,54,3,1,4,1,9,0,0,1,1,1,2,1,5,0,3,123,0,20,15,385.0
04060408202,م إبتدائية البكري سبالة بن عمار  مكتب 2,1,0,0,1,1,2,88,62,0,0,2,0,11,0,0,1,0,0,0,0,0,0,1,119,0,6,18,313.0
04060408301,م إبتدائية الجباس - سبالة بن عمار  مكتب 1,1,0,1,1,1,0,77,26,0,2,1,1,4,0,0,4,0,1,0,2,4,0,0,94,0,10,14,244.0
04060508401,م إبتدائية شرفش 24 سيدي ثابت - شرفش  مكتب 1,1,0,0,1,0,2,98,20,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,55,0,9,6,200.0
مجموع أصوات القائمة,14,4,26,39,10,12,2317,830,8,11,32,4,79,10,4,32,8,6,5,9,30,4,22,2120,8,203,327,6174,
