circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ben_Arous,BenArous,03050105201,م إبتدائية نهج بنزرت بن عروس - بن عروس الشرقية  مكتب 1,2,0,2,2,0,0,208,34,0,1,4,0,2,2,0,1,0,0,0,0,2,0,1,98,2,13,20,394
Ben_Arous,BenArous,03050105202,م إبتدائية نهج بنزرت بن عروس - بن عروس الشرقية  مكتب 2,0,0,3,7,0,0,157,28,0,1,2,0,3,0,0,0,0,0,0,1,1,1,6,121,0,9,27,367
Ben_Arous,BenArous,03050105203,م إبتدائية نهج بنزرت بن عروس - بن عروس الشرقية  مكتب 3,0,0,2,2,0,0,147,34,0,0,4,0,4,1,0,3,0,0,0,0,0,0,2,132,0,12,42,385
Ben_Arous,BenArous,03050105204,م إبتدائية نهج بنزرت بن عروس - بن عروس الشرقية  مكتب 4,0,0,7,4,0,0,118,36,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,107,1,10,42,332
Ben_Arous,BenArous,03050105301,م إبتدائية نهج القيروان بن عروس - بن عروس الشرقية  مكتب 1,2,0,1,4,0,2,223,18,1,1,3,1,3,0,0,3,0,0,2,1,3,0,1,112,2,7,17,407
Ben_Arous,BenArous,03050105302,م إبتدائية نهج القيروان بن عروس - بن عروس الشرقية  مكتب 2,1,0,4,4,0,2,213,27,0,0,2,0,4,0,0,0,0,1,0,1,0,0,0,123,0,7,32,421
Ben_Arous,BenArous,03050105303,م إبتدائية نهج القيروان بن عروس - بن عروس الشرقية  مكتب 3,1,0,1,3,0,0,142,23,0,0,2,0,8,0,0,3,0,0,0,0,1,0,3,164,0,8,51,410
Ben_Arous,BenArous,03050105304,م إبتدائية نهج القيروان بن عروس - بن عروس الشرقية  مكتب 4,3,1,3,6,0,0,146,32,0,0,2,0,2,0,0,4,0,0,0,1,1,1,4,175,0,9,25,415
Ben_Arous,BenArous,03050105305,م إبتدائية نهج القيروان بن عروس - بن عروس الشرقية  مكتب 5,0,0,5,7,0,0,126,34,0,0,2,0,4,0,0,2,0,0,0,0,3,0,3,149,0,4,39,378
Ben_Arous,BenArous,03050105306,م إبتدائية نهج القيروان بن عروس - بن عروس الشرقية  مكتب 6,0,0,0,3,0,0,121,34,0,0,2,0,6,0,0,0,0,0,0,0,2,0,0,132,0,1,47,348
