#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
03060106101,م إبتدائية حي الهواء الطلق - بومهل  مكتب 1,0,0,6,5,0,1,330,13,0,1,2,1,4,2,0,3,0,0,0,1,2,1,4,91,0,3,34,504.0
03060106102,م إبتدائية حي الهواء الطلق - بومهل  مكتب 2,0,1,4,7,1,1,236,11,0,0,2,1,4,0,0,9,0,0,0,0,5,0,6,164,0,6,38,496.0
03060106103,م إبتدائية حي الهواء الطلق - بومهل  مكتب 3,0,0,3,6,0,0,226,20,0,0,1,0,12,2,0,4,0,1,0,0,3,0,2,152,0,8,37,477.0
03060106104,م إبتدائية حي الهواء الطلق - بومهل  مكتب 4,0,0,6,7,0,0,216,20,0,1,0,0,7,0,0,2,0,0,1,1,4,0,6,116,0,8,56,451.0
03060106105,م إبتدائية حي الهواء الطلق - بومهل  مكتب 5,0,0,9,7,0,0,148,47,0,1,8,0,11,1,0,8,0,0,0,0,2,0,5,105,3,1,87,443.0
03060106201,م إبتدائية حي السلام بومهل  مكتب 1,0,1,2,6,0,1,282,22,1,2,4,0,3,4,0,0,0,2,0,0,2,1,4,96,0,6,35,474.0
03060106202,م إبتدائية حي السلام بومهل  مكتب 2,0,0,5,7,0,0,281,26,0,1,4,0,7,2,0,3,1,2,0,0,0,0,2,128,0,6,29,504.0
03060106203,م إبتدائية حي السلام بومهل  مكتب 3,0,0,2,5,0,0,208,16,0,1,7,0,12,1,0,1,0,0,0,1,3,0,1,152,0,7,56,473.0
03060106204,م إبتدائية حي السلام بومهل  مكتب 4,0,0,3,4,0,0,203,20,0,1,3,0,8,3,0,0,1,0,0,1,1,1,3,175,0,5,31,463.0
03060106205,م إبتدائية حي السلام بومهل  مكتب 5,0,0,1,2,0,0,180,45,0,0,2,2,9,0,0,0,0,0,0,2,1,0,3,135,0,8,47,437.0
03060106206,م إبتدائية حي السلام بومهل  مكتب 6,0,0,1,5,0,1,164,41,0,2,2,0,2,0,0,3,0,0,0,3,2,0,4,118,1,4,51,404.0
03060106207,م إبتدائية حي السلام بومهل  مكتب 7,0,0,8,4,0,1,160,42,0,1,1,0,2,1,0,1,0,0,0,1,0,0,3,97,1,1,111,435.0
03060206301,م إبتدائية حي البساتين 1 بومهل - البساتين  مكتب 1,0,0,3,2,0,1,274,24,0,0,2,0,7,2,2,3,0,0,0,0,3,0,4,105,0,11,22,465.0
03060206302,م إبتدائية حي البساتين 1 بومهل - البساتين  مكتب 2,1,0,2,3,0,1,215,13,0,1,3,1,7,3,0,3,2,1,1,0,3,0,4,135,0,15,29,443.0
03060206303,م إبتدائية حي البساتين 1 بومهل - البساتين  مكتب 3,0,0,4,7,0,1,183,25,0,0,3,1,7,4,0,3,1,0,0,0,0,0,5,162,0,11,45,462.0
03060206304,م إبتدائية حي البساتين 1 بومهل - البساتين  مكتب 4,0,0,4,6,0,1,150,30,0,0,2,0,8,4,0,1,2,0,0,1,2,0,3,126,0,10,41,391.0
03060206305,م إبتدائية حي البساتين 1 بومهل - البساتين  مكتب 5,0,0,3,4,0,0,122,40,0,0,2,0,4,0,1,2,1,0,0,1,1,0,2,109,1,9,67,369.0
03060206401,م إبتدائية البساتين 2 بومهل - البساتين  مكتب 1,1,0,1,1,0,1,193,23,0,1,3,0,6,31,0,5,0,0,0,0,4,0,2,96,0,8,27,403.0
03060206402,م إبتدائية البساتين 2 بومهل - البساتين  مكتب 2,1,1,3,3,0,0,167,23,1,0,2,0,12,1,1,3,0,0,1,0,1,0,5,121,0,20,39,405.0
03060206403,م إبتدائية البساتين 2 بومهل - البساتين  مكتب 3,0,0,1,3,0,0,154,25,0,1,2,0,6,6,1,4,1,0,0,0,3,0,1,128,0,11,28,375.0
03060206404,م إبتدائية البساتين 2 بومهل - البساتين  مكتب 4,1,0,1,2,0,1,106,38,0,0,0,1,1,11,0,1,1,0,0,0,1,0,2,137,0,12,23,339.0
03060206405,م إبتدائية البساتين 2 بومهل - البساتين  مكتب 5,0,0,3,1,0,1,85,50,0,0,6,0,3,4,0,4,0,0,0,0,1,0,1,103,0,6,47,315.0
03060306501,م إبتدائية  بومهل 1 - شالة  مكتب 1,1,0,2,2,0,2,214,18,1,0,3,0,3,1,1,0,0,0,0,1,3,0,4,71,1,8,15,351.0
03060306502,م إبتدائية  بومهل 1 - شالة  مكتب 2,0,0,1,3,0,0,138,21,0,0,1,0,4,0,0,2,1,0,0,0,6,0,2,115,2,10,24,330.0
03060306503,م إبتدائية  بومهل 1 - شالة  مكتب 3,0,0,1,2,0,1,145,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,11,26,316.0
03060306504,م إبتدائية  بومهل 1 - شالة  مكتب 4,0,0,2,2,0,1,118,36,0,1,0,0,1,0,0,0,0,0,0,0,4,0,4,66,1,7,36,279.0
03060306601,م إبتدائية  بومهل 2 - شالة  مكتب 1,0,1,0,2,0,0,202,23,0,0,2,0,2,0,0,2,0,0,0,0,4,0,1,102,0,16,26,383.0
03060306602,م إبتدائية  بومهل 2 - شالة  مكتب 2,0,0,1,7,0,0,140,34,1,0,3,0,2,1,0,0,0,0,0,0,2,0,4,97,0,6,29,327.0
03060306701,م إبتدائية حي شالة بومهل - شالة  مكتب 1,1,1,3,2,0,0,156,55,1,1,5,0,1,0,0,1,0,1,1,1,4,0,1,73,1,8,16,333.0
03060306801,م إبتدائية حي الخليج بومهل - شالة  مكتب 1,1,0,2,6,1,4,141,25,2,0,3,1,9,0,4,1,1,0,1,1,5,0,2,66,2,14,13,305.0
03060306802,م إبتدائية حي الخليج بومهل - شالة  مكتب 2,2,2,1,2,2,3,117,22,0,3,1,0,5,1,1,0,0,1,1,2,2,0,1,84,0,16,18,287.0
03060306803,م إبتدائية حي الخليج بومهل - شالة  مكتب 3,0,0,3,1,0,2,80,38,0,0,2,0,3,2,0,1,1,0,0,0,1,1,0,84,0,11,31,261.0
مجموع أصوات القائمة,9,7,91,126,4,25,5734,912,7,20,81,8,172,87,11,70,13,8,6,17,75,4,94,3609,13,283,1214,12700,
