circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ben_Arous,ElMourouj,03040103504,م إبتدائية ابن منظور المروج - المروج (1)  مكتب 4,0,1,3,7,1,1,191,16,2,1,2,0,10,0,0,0,1,0,0,0,3,0,9,168,0,7,61,484
Ben_Arous,ElMourouj,03040103505,م إبتدائية ابن منظور المروج - المروج (1)  مكتب 5,1,0,2,3,0,0,185,43,0,0,4,2,2,1,0,1,0,0,0,0,4,1,5,146,0,4,37,441
Ben_Arous,ElMourouj,03040103506,م إبتدائية ابن منظور المروج - المروج (1)  مكتب 6,1,0,2,5,0,0,181,23,0,0,6,1,8,0,0,0,0,0,0,1,2,0,3,160,0,7,49,449
Ben_Arous,ElMourouj,03040103507,م إبتدائية ابن منظور المروج - المروج (1)  مكتب 7,0,0,8,6,0,0,166,34,0,1,4,0,4,0,0,0,0,0,0,1,1,0,6,100,3,5,80,419
Ben_Arous,ElMourouj,03040103508,م إبتدائية ابن منظور المروج - المروج (1)  مكتب 8,1,0,4,1,0,0,116,49,0,1,5,0,7,0,0,7,0,0,0,1,1,1,7,87,0,3,130,421
Ben_Arous,ElMourouj,03040103509,م إبتدائية ابن منظور المروج - المروج (1)  مكتب 9,0,0,2,8,0,0,132,26,0,0,3,0,1,1,0,2,0,0,0,0,0,0,6,135,2,5,65,388
Ben_Arous,ElMourouj,03040103601,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 1,0,0,1,7,0,1,216,39,0,0,4,0,8,2,0,4,0,0,1,1,2,0,1,133,0,6,33,459
Ben_Arous,ElMourouj,03040103602,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 2,0,0,4,1,0,1,234,26,0,1,0,0,2,0,0,3,0,2,0,0,1,1,7,128,0,13,40,464
Ben_Arous,ElMourouj,03040103603,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 3,1,0,5,3,0,1,149,30,1,0,0,0,6,0,0,2,0,2,0,0,1,0,9,149,0,15,37,411
Ben_Arous,ElMourouj,03040103604,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 4,0,0,0,4,0,0,125,35,0,0,2,0,2,1,0,1,0,0,0,0,1,0,3,171,0,12,37,394
Ben_Arous,ElMourouj,03040103605,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 5,0,0,7,8,0,1,143,42,0,1,2,0,6,1,0,3,0,0,0,0,0,0,6,138,0,2,39,399
Ben_Arous,ElMourouj,03040103606,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 6,1,0,8,3,0,1,112,48,1,0,3,0,2,0,0,0,0,0,0,0,0,0,3,128,0,5,60,375
Ben_Arous,ElMourouj,03040103607,م إبتدائية  2مارس 34 المروج - المروج (1)  مكتب 7,0,0,4,1,0,0,105,50,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,135,1,13,50,366
Ben_Arous,ElMourouj,03040103701,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 1,0,0,5,6,1,0,292,26,1,1,0,0,2,0,0,3,0,0,0,1,2,0,2,80,1,6,31,460
Ben_Arous,ElMourouj,03040103702,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 2,0,0,5,5,0,0,261,30,1,0,1,1,1,0,0,4,0,1,0,0,1,2,2,96,0,6,39,456
Ben_Arous,ElMourouj,03040103703,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 3,2,0,1,1,0,1,182,23,2,0,1,0,3,1,1,3,0,0,0,3,0,0,5,147,0,5,47,428
Ben_Arous,ElMourouj,03040103704,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 4,0,0,3,4,0,0,158,18,0,1,6,1,5,1,0,3,1,0,0,1,3,0,1,148,0,11,44,409
Ben_Arous,ElMourouj,03040103705,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 5,1,0,4,9,0,0,185,40,0,0,4,0,5,0,0,1,0,0,0,1,1,0,2,104,1,2,56,416
Ben_Arous,ElMourouj,03040103706,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 6,1,0,3,3,0,1,135,50,0,1,5,1,1,0,0,1,0,0,0,0,6,0,5,84,2,3,95,397
Ben_Arous,ElMourouj,03040103707,م إبتدائية   14 جانفي المروج - المروج (1)  مكتب 7,0,0,2,2,0,0,125,33,0,1,4,0,6,0,0,1,0,2,0,1,1,0,4,129,1,4,60,376
