circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ben_Arous,Ezzahra,03010100101,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 1,2,0,2,3,0,0,320,19,0,0,1,0,8,0,1,0,1,1,0,0,2,0,3,64,1,9,37,474
Ben_Arous,Ezzahra,03010100102,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 2,0,0,2,2,0,2,322,21,0,1,2,0,3,0,0,2,1,0,0,0,1,1,3,78,1,5,38,485
Ben_Arous,Ezzahra,03010100103,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 3,1,0,4,5,0,2,288,22,0,1,2,0,8,0,0,4,0,0,0,1,3,0,2,106,0,6,46,501
Ben_Arous,Ezzahra,03010100104,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 4,1,0,3,5,0,0,255,24,0,1,4,2,5,0,0,0,0,0,0,2,2,1,2,105,0,7,48,467
Ben_Arous,Ezzahra,03010100105,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 5,0,0,4,12,0,0,277,24,0,0,0,0,12,2,0,4,0,2,0,0,0,0,3,108,1,3,49,501
Ben_Arous,Ezzahra,03010100106,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 6,0,0,9,7,0,1,222,39,0,2,1,0,4,1,0,1,0,0,0,0,2,0,3,90,1,2,57,442
Ben_Arous,Ezzahra,03010100107,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 7,0,0,2,9,0,0,242,20,0,1,3,0,9,1,0,0,1,0,0,0,3,0,6,89,2,4,59,451
Ben_Arous,Ezzahra,03010100108,م إبتدائية شارع الجمهورية الزهراء - الزهراء المدينة  مكتب 8,0,0,8,7,0,1,189,34,0,0,3,0,4,0,0,0,0,0,0,0,0,0,2,74,0,1,113,436
Ben_Arous,Ezzahra,03010200201,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 1,1,0,3,3,1,0,284,18,0,2,0,0,5,2,0,7,2,0,0,0,3,0,6,92,0,8,23,460
Ben_Arous,Ezzahra,03010200202,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 2,3,0,1,5,1,3,286,23,0,1,1,0,7,3,1,3,0,0,0,0,4,2,3,90,0,7,29,473
Ben_Arous,Ezzahra,03010200203,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 3,1,0,4,3,0,0,276,19,0,1,2,0,5,4,0,2,0,2,0,2,2,0,0,109,0,5,34,471
Ben_Arous,Ezzahra,03010200204,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 4,1,0,1,4,0,0,225,17,0,1,6,0,3,1,0,1,0,0,0,2,4,0,8,140,1,4,38,457
Ben_Arous,Ezzahra,03010200205,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 5,0,0,3,6,0,1,234,29,1,0,5,0,10,3,0,2,0,0,2,1,1,0,1,137,0,4,31,471
Ben_Arous,Ezzahra,03010200206,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 6,0,0,3,10,0,0,166,32,0,0,0,0,8,0,0,4,0,0,0,1,4,0,3,136,0,3,59,429
Ben_Arous,Ezzahra,03010200207,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 7,0,0,4,7,0,1,208,21,0,0,1,0,5,2,0,3,0,0,0,3,1,0,4,115,0,4,45,424
Ben_Arous,Ezzahra,03010200208,م إبتدائية شارع خزندار الزهراء - حي الحبيب  مكتب 8,0,0,2,7,0,0,150,45,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,94,0,0,100,405
Ben_Arous,Ezzahra,03010200301,م إبتدائية حي الحبيب الزهراء  مكتب 1,1,0,4,5,0,0,269,21,0,0,1,1,1,0,0,0,1,0,0,0,4,0,3,67,0,7,28,413
Ben_Arous,Ezzahra,03010200302,م إبتدائية حي الحبيب الزهراء  مكتب 2,0,1,2,1,0,0,260,20,0,0,0,0,5,0,0,1,0,0,0,1,3,0,6,85,0,8,28,421
Ben_Arous,Ezzahra,03010200303,م إبتدائية حي الحبيب الزهراء  مكتب 3,0,0,0,3,0,1,190,25,1,0,5,0,9,2,1,0,0,0,0,1,1,0,4,97,0,7,43,390
Ben_Arous,Ezzahra,03010200304,م إبتدائية حي الحبيب الزهراء  مكتب 4,1,0,4,6,0,0,213,25,0,1,0,0,3,0,0,0,0,0,0,0,1,0,4,123,0,2,32,415
