#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
03100109701,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 1,1,2,4,7,2,1,188,40,0,1,3,1,3,1,1,2,2,1,0,1,4,0,3,90,2,14,15,389.0
03100109702,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 2,0,0,1,5,1,1,143,34,0,0,0,0,9,0,0,4,2,3,0,1,8,0,2,123,0,16,26,379.0
03100109703,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 3,0,0,0,0,0,1,128,39,1,1,2,0,2,0,0,0,1,0,0,1,1,0,8,137,1,19,39,381.0
03100109704,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 4,0,0,2,0,0,0,114,40,0,0,2,0,1,0,0,2,0,0,0,0,1,0,1,188,0,13,14,378.0
03100109705,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 5,0,0,2,2,0,1,108,43,0,0,2,0,2,1,0,0,0,0,0,1,0,0,2,180,0,9,18,371.0
03100109706,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 6,0,0,2,1,0,0,74,49,0,0,3,0,2,0,0,1,0,0,0,0,0,0,3,126,1,6,29,297.0
03100109707,م إبتدائية فوشانة 1 - فوشانة المدينة  مكتب 7,0,0,1,1,0,2,72,52,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,132,1,5,21,296.0
03100109801,م إبتدائية حي بريم فوشانة 4 - فوشانة المدينة  مكتب 1,2,0,1,4,0,2,175,55,1,0,4,0,10,1,0,1,1,1,0,0,4,0,3,153,0,14,28,460.0
03100109802,م إبتدائية حي بريم فوشانة 4 - فوشانة المدينة  مكتب 2,0,2,0,3,0,2,119,50,1,1,7,1,4,1,2,2,1,0,0,1,2,0,9,170,0,14,43,435.0
03100109803,م إبتدائية حي بريم فوشانة 4 - فوشانة المدينة  مكتب 3,0,0,3,1,0,0,93,61,1,0,7,0,2,0,0,3,0,0,0,0,2,0,2,163,2,7,43,390.0
03100109804,م إبتدائية حي بريم فوشانة 4 - فوشانة المدينة  مكتب 4,2,0,4,2,0,0,67,71,0,1,4,0,6,0,0,1,0,1,0,0,1,0,4,152,0,7,41,364.0
03100209901,م إبتدائية حي الزيتون فوشانة - حي المستقبل  مكتب 1,1,1,1,1,2,0,150,43,2,1,3,0,6,0,0,4,1,1,0,0,3,1,5,151,0,18,14,409.0
03100209902,م إبتدائية حي الزيتون فوشانة - حي المستقبل  مكتب 2,2,2,1,0,1,0,123,42,1,2,5,0,5,0,0,0,0,0,0,0,2,1,12,189,0,11,29,428.0
03100209903,م إبتدائية حي الزيتون فوشانة - حي المستقبل  مكتب 3,0,0,3,1,1,0,118,52,0,0,2,0,4,0,0,1,0,0,0,0,1,0,5,182,0,16,20,406.0
03100209904,م إبتدائية حي الزيتون فوشانة - حي المستقبل  مكتب 4,0,0,1,1,0,0,76,64,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,166,0,16,31,365.0
