#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
03080107701,م إبتدائية برج السدرية 2 - بئر الباي  مكتب 1,0,0,2,0,2,0,112,31,3,0,2,0,2,0,0,1,0,0,2,0,2,1,2,86,0,6,31,285.0
03080107702,م إبتدائية برج السدرية 2 - بئر الباي  مكتب 2,1,0,2,1,0,0,63,47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,74,0,4,30,225.0
03080107801,م إبتدائية  2مارس 34 برج السدرية 3 - بئر الباي  مكتب 1,4,0,0,4,0,4,204,45,0,0,3,1,7,2,1,3,0,1,1,1,2,2,3,108,1,12,26,435.0
03080107802,م إبتدائية  2مارس 34 برج السدرية 3 - بئر الباي  مكتب 2,2,0,1,5,1,0,187,51,0,0,3,0,6,3,3,2,0,0,1,0,2,1,1,116,0,10,27,422.0
03080107803,م إبتدائية  2مارس 34 برج السدرية 3 - بئر الباي  مكتب 3,1,1,0,2,0,2,127,38,1,0,3,2,3,0,0,0,1,0,0,0,1,1,6,156,0,8,46,399.0
03080107804,م إبتدائية  2مارس 34 برج السدرية 3 - بئر الباي  مكتب 4,1,2,1,4,0,0,132,49,0,1,1,0,5,0,0,1,0,0,0,0,1,0,5,153,0,5,26,387.0
03080107805,م إبتدائية  2مارس 34 برج السدرية 3 - بئر الباي  مكتب 5,1,0,1,5,0,1,111,47,0,0,1,0,4,1,0,4,0,0,0,0,1,0,3,112,1,5,43,341.0
03080107806,م إبتدائية  2مارس 34 برج السدرية 3 - بئر الباي  مكتب 6,1,0,1,2,0,0,90,45,0,0,1,0,4,0,0,3,0,0,0,0,0,0,6,100,2,5,46,306.0
03080207901,م إبتدائية برج السدرية 1 - برج السدرية  مكتب 1,3,2,2,9,0,1,207,29,1,2,3,2,7,0,2,2,1,0,0,3,4,1,4,53,2,23,12,375.0
03080207902,م إبتدائية برج السدرية 1 - برج السدرية  مكتب 2,2,1,0,2,0,4,140,27,0,2,2,0,4,2,0,2,1,0,0,0,2,0,8,107,0,29,28,363.0
03080207903,م إبتدائية برج السدرية 1 - برج السدرية  مكتب 3,0,0,1,2,0,2,134,23,0,1,1,0,2,1,0,2,0,0,0,1,0,0,4,100,1,43,20,338.0
03080207904,م إبتدائية برج السدرية 1 - برج السدرية  مكتب 4,1,0,1,0,0,0,97,39,0,0,1,1,3,0,0,1,1,0,0,4,3,0,4,89,0,17,23,285.0
03080207905,م إبتدائية برج السدرية 1 - برج السدرية  مكتب 5,0,1,2,0,1,0,66,44,0,0,1,0,3,0,0,4,1,0,1,0,1,0,6,77,1,10,35,254.0
03080208001,م إبتدائية حي الكعبي - برج السدرية  مكتب 1,1,0,1,5,0,0,146,33,0,0,2,0,4,1,0,1,0,1,0,1,2,0,5,128,0,12,40,383.0
03080208101,م إبتدائية حي سلطان - برج السدرية  مكتب 1,0,0,5,4,0,0,249,32,0,1,1,0,3,1,0,1,1,1,0,1,3,1,3,144,1,6,45,503.0
03080208102,م إبتدائية حي سلطان - برج السدرية  مكتب 2,0,0,6,1,0,1,191,29,0,1,6,0,7,1,1,4,0,0,1,0,1,0,5,189,1,6,51,502.0
03080208103,م إبتدائية حي سلطان - برج السدرية  مكتب 3,0,0,6,0,0,0,143,26,0,1,3,0,5,1,0,3,0,0,0,0,3,0,1,201,0,12,65,470.0
03080208104,م إبتدائية حي سلطان - برج السدرية  مكتب 4,0,0,4,3,0,0,158,23,0,0,8,0,6,3,0,4,0,0,0,0,2,0,1,185,0,7,56,460.0
