#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
03070106901,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 1,1,1,2,4,0,0,319,11,0,1,1,0,7,0,0,1,0,1,0,0,0,0,2,72,0,7,28,458.0
03070106902,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 2,0,0,5,2,0,2,304,27,0,0,1,1,5,0,0,2,0,0,0,1,4,0,5,71,4,5,28,467.0
03070106903,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 3,0,0,3,3,0,0,264,40,0,1,2,0,3,2,0,1,0,0,1,0,1,0,2,103,1,7,42,476.0
03070106904,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 4,0,0,1,5,0,1,266,25,0,0,2,0,3,0,0,1,0,0,0,0,0,0,3,117,0,3,46,473.0
03070106905,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 5,0,0,0,7,0,1,242,33,0,0,3,0,12,1,0,3,1,0,0,0,1,0,2,110,1,6,29,452.0
03070106906,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 6,0,0,3,3,0,1,199,34,0,1,4,0,6,0,0,1,0,0,0,0,4,0,0,88,0,6,60,410.0
03070106907,م إبتدائية نهج أنطوني حمام الأنف - المدينة 1  مكتب 7,0,0,2,4,0,0,169,52,0,0,1,0,6,0,0,0,0,0,0,0,1,0,2,93,3,3,85,421.0
03070107001,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 1,0,0,3,3,2,0,315,12,0,1,0,0,4,4,0,3,0,1,0,0,1,1,1,73,1,1,20,446.0
03070107002,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 2,0,1,3,4,0,3,257,19,1,0,0,0,2,1,0,3,0,1,0,1,3,0,3,120,1,3,26,452.0
03070107003,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 3,1,0,1,2,0,1,262,28,0,2,1,0,4,2,0,3,0,0,0,0,2,0,1,129,1,5,19,464.0
03070107004,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 4,0,0,3,2,0,1,222,34,0,1,4,0,10,1,0,1,0,0,0,0,1,0,5,115,0,10,33,443.0
03070107005,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 5,1,0,0,2,0,0,249,32,0,0,1,0,3,0,0,2,0,0,0,0,3,0,1,126,0,1,29,450.0
03070107006,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 6,0,0,0,1,0,0,217,25,0,0,4,0,3,0,0,2,0,0,1,1,1,0,5,112,1,8,35,416.0
03070107007,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 7,0,0,4,0,0,0,143,36,0,0,0,0,5,1,0,1,0,0,0,1,0,0,2,113,2,3,51,362.0
03070107008,م إبتدائية صلاح الدين نهج بوشوشة حمام الأنف - المدينة 1  مكتب 8,1,0,3,2,0,0,150,52,0,1,6,0,7,0,0,0,0,1,0,0,2,0,1,89,4,4,71,394.0
03070207101,م إبتدائية نهج ليبيا حمام الأنف - بوقرنين  مكتب 1,1,0,4,2,0,1,302,22,0,0,4,0,1,2,0,2,0,0,0,0,6,0,4,69,1,2,37,460.0
03070207102,م إبتدائية نهج ليبيا حمام الأنف - بوقرنين  مكتب 2,0,0,3,3,0,0,296,29,0,0,3,0,3,5,0,1,0,0,0,0,8,1,1,94,0,4,31,482.0
03070207103,م إبتدائية نهج ليبيا حمام الأنف - بوقرنين  مكتب 3,0,0,4,3,1,0,251,25,0,1,0,0,10,1,0,3,0,0,0,0,2,0,2,113,0,5,37,458.0
03070207104,م إبتدائية نهج ليبيا حمام الأنف - بوقرنين  مكتب 4,0,0,1,8,0,0,234,15,0,0,2,0,9,1,0,2,0,0,0,1,3,0,4,114,0,8,42,444.0
03070207105,م إبتدائية نهج ليبيا حمام الأنف - بوقرنين  مكتب 5,0,0,1,4,0,0,217,31,0,0,1,0,5,0,0,2,0,1,0,1,0,0,0,97,2,6,59,427.0
03070207106,م إبتدائية نهج ليبيا حمام الأنف - بوقرنين  مكتب 6,1,0,5,5,0,0,171,43,0,0,3,0,6,0,1,1,0,0,1,0,0,0,1,81,1,5,89,414.0
