#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
03120114401,م إبتدائية مقرين العليا   مكتب 1,0,0,2,4,0,1,337,14,0,0,1,2,7,2,1,2,2,0,0,1,4,1,2,91,0,4,27,505.0
03120114402,م إبتدائية مقرين العليا   مكتب 2,0,0,3,6,0,1,326,21,0,2,1,1,1,3,0,0,0,0,0,0,3,0,2,99,1,7,38,515.0
03120114403,م إبتدائية مقرين العليا   مكتب 3,0,0,8,4,0,0,279,17,0,0,2,0,11,1,0,3,0,0,0,0,2,0,4,128,1,4,36,500.0
03120114404,م إبتدائية مقرين العليا   مكتب 4,0,0,4,6,0,2,261,21,0,0,3,0,7,2,0,4,1,0,1,0,1,0,2,133,0,4,50,502.0
03120114405,م إبتدائية مقرين العليا   مكتب 5,1,0,7,8,0,1,244,25,0,1,0,0,13,0,0,3,0,0,0,0,1,0,4,95,1,2,59,465.0
03120114406,م إبتدائية مقرين العليا   مكتب 6,0,0,4,7,0,0,234,17,0,0,2,0,5,0,0,1,1,0,0,0,3,0,2,129,0,7,46,458.0
03120114407,م إبتدائية مقرين العليا   مكتب 7,0,1,7,8,0,0,199,25,0,0,5,0,4,1,0,2,1,0,0,0,2,0,1,85,1,2,93,437.0
03120214501,م إبتدائية مقرين الرياض  مكتب 1,0,0,2,5,0,0,216,24,3,0,1,0,4,0,0,3,0,0,0,1,2,0,4,55,0,8,24,352.0
03120214502,م إبتدائية مقرين الرياض  مكتب 2,0,1,3,7,0,1,170,19,0,0,0,0,2,0,0,1,0,0,0,0,2,0,5,105,0,6,28,350.0
03120214503,م إبتدائية مقرين الرياض  مكتب 3,0,0,4,5,0,0,171,13,0,0,2,0,6,0,0,1,0,0,0,0,0,0,3,108,0,5,33,351.0
03120214504,م إبتدائية مقرين الرياض  مكتب 4,0,0,2,3,0,0,133,24,0,0,3,0,3,0,0,1,0,0,0,1,1,0,2,80,4,3,64,324.0
03120314601,م إبتدائية حي جوهرة مقرين  مكتب 1,1,0,4,4,0,1,253,14,2,0,4,1,6,0,1,2,0,1,0,0,5,0,4,94,0,12,22,431.0
03120314602,م إبتدائية حي جوهرة مقرين  مكتب 2,0,0,4,3,1,0,208,23,0,0,4,0,3,1,2,1,0,0,0,1,3,0,3,121,0,12,40,430.0
03120314603,م إبتدائية حي جوهرة مقرين  مكتب 3,0,0,2,8,0,0,158,36,0,0,3,0,5,0,1,1,0,0,0,1,0,0,1,158,0,0,37,411.0
03120314604,م إبتدائية حي جوهرة مقرين  مكتب 4,0,0,0,6,0,0,152,32,0,1,3,0,5,0,0,0,0,0,0,0,0,0,2,135,1,12,48,397.0
03120314605,م إبتدائية حي جوهرة مقرين  مكتب 5,0,0,3,3,0,2,147,43,0,0,6,0,3,0,0,0,0,0,0,0,1,0,4,111,0,6,61,390.0
03120414701,م إبتدائية السهل مقرين - حي شاكر1  مكتب 1,1,5,1,2,1,1,193,34,2,2,4,1,6,1,1,1,1,2,1,1,8,0,3,38,1,10,28,349.0
03120414702,م إبتدائية السهل مقرين - حي شاكر1  مكتب 2,3,0,2,2,0,0,169,40,0,1,2,0,2,0,1,0,0,0,0,0,1,0,2,111,1,7,41,385.0
03120414703,م إبتدائية السهل مقرين - حي شاكر1  مكتب 3,0,0,1,2,0,0,144,43,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,89,0,9,39,334.0
03120414704,م إبتدائية السهل مقرين - حي شاكر1  مكتب 4,0,0,1,2,0,0,97,35,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,91,0,6,43,279.0
