#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
03020100701,م إبتدائية المحمدية 1 - المحمدية المدينة  مكتب 1,0,0,3,5,1,2,97,31,1,0,4,1,2,0,0,0,0,1,0,1,3,0,6,125,0,19,18,320.0
03020100702,م إبتدائية المحمدية 1 - المحمدية المدينة  مكتب 2,1,0,2,3,1,0,67,30,0,0,5,0,0,0,0,3,1,0,0,0,1,0,4,139,0,11,17,285.0
03020100703,م إبتدائية المحمدية 1 - المحمدية المدينة  مكتب 3,0,0,2,1,0,0,49,29,0,0,3,0,1,0,0,1,0,1,0,0,0,0,3,113,1,4,26,234.0
03020100801,م إبتدائية المحمدية 2 - المحمدية المدينة  مكتب 1,1,2,0,4,2,2,107,25,2,0,3,1,5,1,3,2,4,0,2,3,3,1,1,156,2,20,19,371.0
03020100802,م إبتدائية المحمدية 2 - المحمدية المدينة  مكتب 2,1,0,1,3,1,0,91,42,0,0,3,0,2,0,0,1,0,0,0,0,1,0,3,171,1,19,17,357.0
03020100803,م إبتدائية المحمدية 2 - المحمدية المدينة  مكتب 3,1,0,2,1,0,0,52,51,0,0,3,0,3,0,0,2,0,0,0,0,0,0,1,155,0,7,20,298.0
03020100901,م إبتدائية حي النصر المحمدية  مكتب 1,0,1,0,6,2,0,126,31,2,0,1,0,4,1,1,2,3,2,1,4,4,1,7,131,4,21,17,372.0
03020100902,م إبتدائية حي النصر المحمدية  مكتب 2,0,0,1,2,0,0,85,44,0,0,0,1,5,0,1,3,0,0,1,1,1,0,1,185,0,14,16,361.0
03020100903,م إبتدائية حي النصر المحمدية  مكتب 3,0,1,4,0,1,0,52,47,0,0,3,0,6,0,0,1,0,0,0,0,0,0,3,124,0,9,37,288.0
03020101001,م إبتدائية حي القصر - المحمدية المدينة  مكتب 1,1,1,0,3,1,0,127,27,1,1,2,1,5,0,0,5,0,0,0,1,3,0,3,184,1,14,22,403.0
03020101002,م إبتدائية حي القصر - المحمدية المدينة  مكتب 2,1,0,3,3,1,0,91,36,0,1,4,0,1,0,0,1,0,0,0,1,2,0,4,180,0,24,31,384.0
03020101003,م إبتدائية حي القصر - المحمدية المدينة  مكتب 3,0,0,0,1,0,1,76,61,0,0,5,0,2,1,1,1,0,0,0,0,1,0,4,130,2,10,37,333.0
03020101101,م إبتدائية الهناء2  - المحمدية المدينة  مكتب 1,1,0,2,1,0,0,58,26,0,1,4,1,0,0,0,1,0,0,0,0,1,0,1,126,1,3,18,245.0
03020201201,م إبتدائية حي حشاد المحمدية - المنجي سليم  مكتب 1,1,0,0,4,1,2,117,43,0,0,6,0,6,5,4,3,0,2,0,0,2,0,2,134,1,17,20,370.0
