circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ben_Arous,Mornag,03110111301,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 1,0,0,3,5,0,2,242,22,0,1,3,1,5,2,1,3,0,0,2,1,6,2,1,97,0,12,27,438
Ben_Arous,Mornag,03110111302,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 2,0,1,1,6,0,1,181,34,0,2,2,0,7,3,0,0,0,3,2,1,3,0,1,112,0,15,36,411
Ben_Arous,Mornag,03110111303,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 3,1,1,2,3,0,0,156,24,1,3,5,1,7,0,1,2,1,2,0,1,2,0,0,156,1,12,50,432
Ben_Arous,Mornag,03110111304,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 4,1,0,4,9,0,0,148,28,2,0,2,0,3,0,1,2,1,1,0,2,0,0,0,168,0,9,28,409
Ben_Arous,Mornag,03110111305,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 5,0,0,5,3,0,0,141,32,0,2,3,0,7,1,0,1,0,0,0,0,1,2,2,138,0,6,19,363
Ben_Arous,Mornag,03110111306,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 6,0,0,3,2,0,0,112,39,0,0,3,0,5,0,1,2,0,0,0,1,1,1,1,108,1,3,51,334
Ben_Arous,Mornag,03110111307,م إبتدائية شارع بورقيبة سبالة مرناق  مكتب 7,0,0,3,3,1,0,106,45,0,0,2,0,5,0,0,1,0,0,2,0,0,0,7,115,0,9,60,359
Ben_Arous,Mornag,03110111401,م إبتدائية العلالقة مرناق  مكتب 1,1,0,2,3,1,0,134,40,0,0,0,0,2,0,0,1,3,0,0,2,1,0,2,66,0,6,6,270
Ben_Arous,Mornag,03110111402,م إبتدائية العلالقة مرناق  مكتب 2,0,0,1,1,0,0,86,40,1,0,2,0,3,0,0,1,0,0,0,0,0,0,3,71,0,6,28,243
Ben_Arous,Mornag,03110111501,م إبتدائية حي جابر - مرناق  مكتب 1,0,0,1,6,1,1,128,36,1,1,2,0,5,3,2,0,0,0,3,1,2,0,3,139,1,14,24,374
