circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ben_Arous,NouvelleMedina,03030102301,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 1,0,1,5,1,0,2,259,25,0,1,2,0,7,0,2,4,0,0,2,2,2,1,4,70,1,12,20,423
Ben_Arous,NouvelleMedina,03030102302,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 2,1,1,0,5,0,0,255,36,0,0,1,0,7,1,0,1,0,0,0,0,3,0,7,97,0,7,31,453
Ben_Arous,NouvelleMedina,03030102303,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 3,0,0,6,7,0,1,201,32,1,1,3,0,3,1,0,0,0,0,0,1,1,0,5,122,0,16,28,429
Ben_Arous,NouvelleMedina,03030102304,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 4,0,0,2,4,0,0,184,22,0,1,2,0,2,0,1,0,0,0,0,2,2,0,5,129,0,8,43,407
Ben_Arous,NouvelleMedina,03030102305,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 5,0,0,3,7,0,2,155,28,0,1,5,0,5,0,0,2,0,0,0,0,1,0,3,156,0,9,32,409
Ben_Arous,NouvelleMedina,03030102306,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 6,0,0,4,4,1,0,189,31,0,0,3,0,4,1,0,0,0,0,0,0,1,0,0,111,0,6,53,408
Ben_Arous,NouvelleMedina,03030102307,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 7,0,0,1,7,0,3,155,32,0,1,4,0,4,0,0,0,0,0,0,0,1,0,6,86,2,2,89,393
Ben_Arous,NouvelleMedina,03030102308,م إبتدائية 2مارس 34 المدينة الجديدة1   مكتب 8,0,0,5,6,0,0,134,32,0,0,6,0,4,2,0,2,0,0,0,0,1,0,4,104,0,5,45,350
Ben_Arous,NouvelleMedina,03030202401,م إبتدائية المدينة الجديدة 2   مكتب 1,1,2,2,3,1,3,245,25,0,0,5,0,1,0,1,4,0,0,0,0,1,0,1,69,1,10,13,388
Ben_Arous,NouvelleMedina,03030202402,م إبتدائية المدينة الجديدة 2   مكتب 2,0,1,0,5,0,0,248,32,0,2,0,0,4,1,0,1,1,0,1,0,2,0,2,79,0,9,14,402
