circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Ben_Arous,Rades,03090108401,م إبتدائية شارع الجمهورية رادس - المدينة  مكتب 1,0,1,0,2,2,2,232,24,0,0,0,0,8,1,1,1,0,0,1,1,5,1,0,109,2,6,22,421
Ben_Arous,Rades,03090108402,م إبتدائية شارع الجمهورية رادس - المدينة  مكتب 2,0,0,2,4,0,0,237,30,1,2,3,0,7,0,0,0,0,0,1,1,2,0,4,120,1,5,20,440
Ben_Arous,Rades,03090108403,م إبتدائية شارع الجمهورية رادس - المدينة  مكتب 3,0,1,1,7,0,0,178,34,0,1,3,0,6,1,1,1,0,0,0,0,1,0,1,149,0,9,30,424
Ben_Arous,Rades,03090108404,م إبتدائية شارع الجمهورية رادس - المدينة  مكتب 4,0,0,2,2,0,1,190,30,0,0,3,0,6,1,0,1,0,0,0,0,6,0,2,137,0,5,44,430
Ben_Arous,Rades,03090108405,م إبتدائية شارع الجمهورية رادس - المدينة  مكتب 5,0,0,3,3,0,0,172,32,0,0,2,0,6,0,0,3,0,0,0,1,5,0,2,145,0,5,42,421
Ben_Arous,Rades,03090108406,م إبتدائية شارع الجمهورية رادس - المدينة  مكتب 6,1,1,4,2,0,0,111,38,0,1,2,0,2,1,0,2,0,1,0,1,0,0,3,113,0,4,76,363
Ben_Arous,Rades,03090108501,م إبتدائية نهج المدرسة رادس - المدينة  مكتب 1,2,0,0,2,0,0,238,25,1,0,1,0,4,0,0,2,0,0,1,0,1,0,0,86,1,4,36,404
Ben_Arous,Rades,03090108502,م إبتدائية نهج المدرسة رادس - المدينة  مكتب 2,0,0,5,6,0,2,159,19,2,0,3,0,2,0,0,1,0,0,0,1,5,1,0,114,0,7,58,385
Ben_Arous,Rades,03090108503,م إبتدائية نهج المدرسة رادس - المدينة  مكتب 3,1,0,2,8,0,0,145,29,0,0,1,0,8,0,0,2,1,0,1,0,0,0,0,90,0,3,64,355
Ben_Arous,Rades,03090108601,م إبتدائية نهج المغرب رادس - المدينة  مكتب 1,0,0,5,8,0,1,315,13,0,1,1,0,4,0,0,0,0,0,0,2,2,0,2,96,0,4,36,490
Ben_Arous,Rades,03090108602,م إبتدائية نهج المغرب رادس - المدينة  مكتب 2,0,0,7,6,0,0,253,26,0,1,1,0,3,0,0,2,0,0,2,0,1,0,3,91,2,2,46,446
Ben_Arous,Rades,03090208701,م إبتدائية الملاحة رادس   مكتب 1,2,0,0,2,1,1,156,26,13,1,3,1,6,1,0,2,0,2,0,2,3,0,8,82,1,18,21,352
Ben_Arous,Rades,03090208702,م إبتدائية الملاحة رادس   مكتب 2,2,0,1,2,0,0,102,43,4,0,2,0,3,0,0,2,0,2,1,2,0,0,10,119,0,9,43,347
Ben_Arous,Rades,03090208703,م إبتدائية الملاحة رادس   مكتب 3,0,0,2,2,0,0,93,49,8,0,4,0,1,0,1,0,0,0,0,1,0,1,7,91,0,7,44,311
Ben_Arous,Rades,03090308801,م إبتدائية الطيب المهيري رادس   مكتب 1,2,0,3,2,0,0,196,34,0,1,2,0,9,1,0,1,1,2,2,0,0,0,0,110,1,6,33,406
Ben_Arous,Rades,03090308802,م إبتدائية الطيب المهيري رادس   مكتب 2,1,1,2,2,0,0,169,37,0,0,3,1,6,0,0,6,0,1,0,1,3,0,4,110,2,11,38,398
Ben_Arous,Rades,03090308803,م إبتدائية الطيب المهيري رادس   مكتب 3,2,0,1,1,1,1,109,45,1,0,6,0,5,1,0,3,0,0,0,0,1,0,3,145,0,28,27,380
Ben_Arous,Rades,03090308804,م إبتدائية الطيب المهيري رادس   مكتب 4,1,1,1,2,0,0,124,34,0,0,1,0,2,1,0,1,0,0,0,1,1,0,1,144,1,20,37,373
Ben_Arous,Rades,03090308805,م إبتدائية الطيب المهيري رادس   مكتب 5,2,0,4,2,0,0,121,44,0,0,2,0,7,0,0,6,1,0,0,0,0,0,3,122,0,6,37,357
Ben_Arous,Rades,03090308806,م إبتدائية الطيب المهيري رادس   مكتب 6,0,0,1,6,0,1,90,36,0,1,2,0,8,0,0,1,0,0,0,0,2,0,4,153,1,12,33,351
Ben_Arous,Rades,03090308807,م إبتدائية الطيب المهيري رادس   مكتب 7,0,0,2,0,0,0,85,30,0,0,2,0,4,0,1,0,0,0,0,0,3,0,2,119,0,19,44,311
Ben_Arous,Rades,03090308808,م إبتدائية الطيب المهيري رادس   مكتب 8,0,0,5,3,0,0,81,58,1,0,1,0,2,0,0,4,0,0,0,0,1,0,2,100,3,6,58,325
Ben_Arous,Rades,03090408901,م إبتدائية نهج النسيم رادس - رمادة  مكتب 1,0,0,5,4,0,0,270,22,0,1,1,0,4,0,0,3,0,0,0,1,4,0,3,101,1,5,29,454
Ben_Arous,Rades,03090408902,م إبتدائية نهج النسيم رادس - رمادة  مكتب 2,0,0,2,6,1,0,177,28,0,1,6,0,2,0,0,4,1,1,0,1,0,0,3,149,0,8,57,447
Ben_Arous,Rades,03090408903,م إبتدائية نهج النسيم رادس - رمادة  مكتب 3,0,0,4,8,1,0,162,38,0,1,2,0,7,0,0,0,0,0,0,1,1,0,3,101,0,5,65,399
Ben_Arous,Rades,03090409001,م إبتدائية ساحة الشابي رادس - رمادة  مكتب 1,2,0,2,4,0,0,257,21,0,0,2,0,5,1,0,3,0,0,0,0,3,0,3,106,0,6,30,445
Ben_Arous,Rades,03090409002,م إبتدائية ساحة الشابي رادس - رمادة  مكتب 2,1,0,3,8,1,0,206,20,0,0,3,1,6,1,0,5,0,1,0,1,3,0,3,129,0,7,33,432
Ben_Arous,Rades,03090409003,م إبتدائية ساحة الشابي رادس - رمادة  مكتب 3,0,2,1,11,0,1,180,28,0,1,6,0,8,3,0,2,0,0,0,3,2,0,6,149,0,4,39,446
Ben_Arous,Rades,03090409004,م إبتدائية ساحة الشابي رادس - رمادة  مكتب 4,0,0,2,9,0,1,158,33,0,1,3,0,7,1,0,2,0,0,0,0,3,0,2,135,2,3,45,407
Ben_Arous,Rades,03090409005,م إبتدائية ساحة الشابي رادس - رمادة  مكتب 5,1,0,3,2,0,0,137,32,0,1,6,0,6,1,0,2,0,0,0,0,3,0,2,107,1,2,67,373
Ben_Arous,Rades,03090409101,م إبتدائية حي محمد علي رادس ء رمادة  مكتب 1,0,4,5,3,0,3,220,22,0,1,2,0,3,2,0,6,0,0,2,1,4,0,1,114,0,9,32,434
Ben_Arous,Rades,03090409102,م إبتدائية حي محمد علي رادس ء رمادة  مكتب 2,0,1,2,6,0,0,201,38,1,1,1,0,3,2,0,6,1,0,0,0,7,0,1,132,0,10,30,443
Ben_Arous,Rades,03090409103,م إبتدائية حي محمد علي رادس ء رمادة  مكتب 3,1,0,1,6,1,1,158,30,0,0,0,0,9,2,0,2,0,0,0,2,1,0,5,138,0,8,48,413
Ben_Arous,Rades,03090409104,م إبتدائية حي محمد علي رادس ء رمادة  مكتب 4,0,0,5,7,0,1,140,46,0,1,2,0,1,2,0,0,1,0,0,1,3,0,1,108,0,5,55,379
Ben_Arous,Rades,03090409105,م إبتدائية حي محمد علي رادس ء رمادة  مكتب 5,0,0,4,3,0,0,104,46,1,3,1,0,4,1,0,2,0,0,0,0,1,0,4,118,0,22,64,378
Ben_Arous,Rades,03090509201,م إبتدائية حي المنجي سليم السكك الحديدية   مكتب 1,2,1,4,0,1,0,243,17,0,2,1,0,3,1,0,4,1,1,1,0,2,0,1,86,0,8,30,409
Ben_Arous,Rades,03090509202,م إبتدائية حي المنجي سليم السكك الحديدية   مكتب 2,3,0,5,0,0,0,167,36,0,0,1,0,5,0,1,1,0,0,0,0,1,0,0,124,0,7,36,387
Ben_Arous,Rades,03090509203,م إبتدائية حي المنجي سليم السكك الحديدية   مكتب 3,2,0,1,1,0,0,115,42,0,0,4,0,2,0,0,2,0,0,0,1,3,0,2,119,1,4,50,349
Ben_Arous,Rades,03090609301,م إبتدائية حي النادي رادس - رادس الغابة  مكتب 1,0,0,2,4,0,0,220,16,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,45,1,5,39,338
Ben_Arous,Rades,03090609302,م إبتدائية حي النادي رادس - رادس الغابة  مكتب 2,0,0,2,5,0,0,163,25,0,0,4,0,4,2,0,1,0,0,0,0,0,0,1,64,0,5,46,322
Ben_Arous,Rades,03090609401,م إبتدائية القرية المتوسطية - رادس الغابة  مكتب 1,0,0,5,5,0,0,212,16,1,0,3,0,10,0,1,8,0,0,0,0,1,0,5,108,0,3,54,432
Ben_Arous,Rades,03090609402,م إبتدائية القرية المتوسطية - رادس الغابة  مكتب 2,0,0,7,5,0,0,198,13,1,0,4,0,4,1,0,3,0,0,0,0,4,0,4,144,1,5,55,449
Ben_Arous,Rades,03090609403,م إبتدائية القرية المتوسطية - رادس الغابة  مكتب 3,0,0,5,8,0,0,146,28,0,1,5,0,3,1,1,2,1,0,0,1,2,1,5,108,4,6,69,397
Ben_Arous,Rades,03090709501,م إبتدائية رادس مليان  مكتب 1,1,0,1,7,1,0,302,22,0,0,1,0,4,0,0,4,2,0,0,0,5,2,5,115,1,5,30,508
Ben_Arous,Rades,03090709502,م إبتدائية رادس مليان  مكتب 2,1,0,2,8,0,0,248,30,2,0,4,0,4,0,0,1,0,1,1,0,0,0,4,153,0,8,39,506
Ben_Arous,Rades,03090709503,م إبتدائية رادس مليان  مكتب 3,0,0,1,6,0,0,207,17,0,0,6,1,7,1,0,0,0,0,0,0,4,0,3,159,0,7,44,463
Ben_Arous,Rades,03090709504,م إبتدائية رادس مليان  مكتب 4,0,0,5,5,0,0,199,32,0,1,2,0,10,1,0,0,0,0,1,1,0,0,5,132,2,8,53,457
Ben_Arous,Rades,03090709505,م إبتدائية رادس مليان  مكتب 5,0,0,2,9,0,1,174,27,0,0,2,0,5,2,0,4,0,0,0,0,2,0,5,169,0,9,44,455
Ben_Arous,Rades,03090709506,م إبتدائية رادس مليان  مكتب 6,0,0,6,5,0,0,152,33,0,0,3,0,5,0,0,2,0,0,0,1,3,0,4,138,1,3,90,446
Ben_Arous,Rades,03090809601,م إبتدائية الحي الجديد رادس - نوبو  مكتب 1,0,0,2,3,0,0,135,26,1,2,1,1,2,1,1,2,1,1,2,0,3,0,5,128,2,8,21,348
Ben_Arous,Rades,03090809602,م إبتدائية الحي الجديد رادس - نوبو  مكتب 2,1,0,0,3,0,1,115,38,1,1,1,1,3,0,0,1,0,0,0,2,2,0,4,124,0,5,29,332
Ben_Arous,Rades,03090809603,م إبتدائية الحي الجديد رادس - نوبو  مكتب 3,0,0,4,1,0,0,96,40,0,0,1,1,2,1,1,0,0,0,0,1,1,0,0,116,2,7,26,300
