#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
09040104401,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 1,0,1,4,6,0,0,211,14,1,0,4,0,8,0,0,3,2,0,0,0,8,1,1,134,3,15,19,435
09040104402,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 2,4,1,4,5,0,2,187,10,0,1,2,0,2,2,0,1,0,0,1,2,2,0,2,143,0,8,25,404
09040104403,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 3,0,0,3,2,0,3,180,11,0,0,1,0,5,0,0,2,0,0,1,0,1,1,0,192,1,10,30,443
09040104404,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 4,0,0,6,3,0,0,152,13,0,0,6,0,7,0,1,0,0,0,0,1,2,1,2,197,0,7,20,418
09040104405,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 5,0,0,1,7,0,1,124,11,1,0,6,0,3,0,0,2,0,0,1,0,4,0,2,190,0,7,26,386
09040104406,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 6,0,0,2,6,0,0,122,10,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,144,0,2,30,322
09040104407,م إبتدائية شارع الهادي شاكر بنزرت - حسن النوري   مكتب 7,0,0,7,0,0,0,123,26,0,1,5,0,7,0,0,0,0,0,0,1,0,0,0,144,2,7,55,378
09040204501,م إبتدائية حي بوقطفة 2 - الحبيب بوقطفة   مكتب 1,1,0,0,2,0,0,212,6,1,0,3,0,0,0,0,3,0,0,0,1,0,0,3,134,0,11,23,400
09040204502,م إبتدائية حي بوقطفة 2 - الحبيب بوقطفة   مكتب 2,1,0,2,1,0,0,156,4,1,1,1,0,3,1,0,3,0,0,1,1,7,0,1,167,0,8,15,374
09040204503,م إبتدائية حي بوقطفة 2 - الحبيب بوقطفة   مكتب 3,0,0,4,2,0,0,154,11,0,1,3,0,6,0,0,1,0,0,0,1,2,0,2,164,0,5,38,394
09040204504,م إبتدائية حي بوقطفة 2 - الحبيب بوقطفة   مكتب 4,0,0,4,1,0,0,123,17,0,1,5,0,5,0,0,1,0,0,0,1,1,0,2,130,0,7,31,329
09040204505,م إبتدائية حي بوقطفة 2 - الحبيب بوقطفة   مكتب 5,0,0,5,1,0,0,105,20,0,0,7,0,3,0,0,1,0,0,0,0,1,0,1,121,1,2,56,324
09040304601,م إبتدائية الكرنيش بنزرت  مكتب 1,0,0,3,4,0,0,261,3,0,0,0,0,4,1,0,3,0,0,0,0,5,0,0,121,0,3,28,436
09040304602,م إبتدائية الكرنيش بنزرت  مكتب 2,0,0,7,5,0,0,221,8,0,2,3,0,5,0,0,4,1,1,0,1,7,0,0,126,0,3,30,424
09040304603,م إبتدائية الكرنيش بنزرت  مكتب 3,0,0,3,4,0,0,202,8,0,1,1,1,2,0,0,1,0,0,0,0,4,0,2,147,0,6,30,412
09040304604,م إبتدائية الكرنيش بنزرت  مكتب 4,0,0,10,9,0,0,164,10,0,0,2,0,3,1,0,1,0,0,0,0,5,0,0,132,0,6,33,376
09040304605,م إبتدائية الكرنيش بنزرت  مكتب 5,0,0,6,2,0,0,131,7,0,3,8,0,4,0,0,3,0,0,0,0,3,0,0,99,0,4,67,337
09040404701,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 1,2,0,4,5,0,2,242,5,3,0,3,0,7,2,0,1,1,0,0,0,2,1,3,110,1,2,25,421
09040404702,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 2,0,1,3,6,0,1,219,7,0,1,3,1,5,0,0,3,0,0,0,1,3,0,3,110,2,1,15,385
09040404703,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 3,0,0,6,2,0,1,176,12,1,0,2,0,5,0,0,3,0,0,1,0,2,0,0,170,1,4,20,406
09040404704,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 4,1,0,4,3,0,1,193,13,0,0,4,0,5,0,0,1,0,1,0,0,1,0,3,147,0,7,41,425
09040404705,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 5,0,1,4,6,0,2,157,7,0,0,2,1,3,0,0,1,0,0,0,3,1,0,2,187,0,7,24,408
09040404706,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 6,0,0,2,4,0,0,123,18,0,0,4,0,3,2,0,0,0,0,0,1,3,0,1,146,1,9,28,345
09040404707,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 7,0,0,3,5,0,0,117,10,1,2,1,0,3,0,0,0,0,0,0,0,1,0,1,120,1,2,53,320
09040404708,م إبتدائية نهج اليونان بنزرت - المدينة   مكتب 8,0,0,9,4,0,0,114,16,1,0,7,0,5,0,0,1,0,0,0,0,0,0,0,96,2,1,87,343
09040404801,م إبتدائية ساحة 13 جانفي بنزرت - المدينة   مكتب 1,1,0,7,4,0,1,126,8,0,1,4,0,1,0,0,3,0,0,1,1,3,0,2,135,0,8,13,319
09040404802,م إبتدائية ساحة 13 جانفي بنزرت - المدينة   مكتب 2,2,0,2,0,1,0,102,11,0,0,2,0,3,0,0,2,0,1,0,0,3,0,2,161,1,6,15,314
09040404803,م إبتدائية ساحة 13 جانفي بنزرت - المدينة   مكتب 3,2,0,1,0,0,0,87,10,0,0,1,0,2,0,0,1,0,0,0,0,3,0,2,153,1,6,25,294
09040404804,م إبتدائية ساحة 13 جانفي بنزرت - المدينة   مكتب 4,0,0,4,0,0,0,76,13,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,121,2,3,31,258
09040504901,م إبتدائية عين مريم بنزرت الشمالية   مكتب 1,0,1,4,7,0,1,218,17,0,0,3,0,4,1,1,4,0,1,0,2,4,0,3,177,1,3,31,483
09040504902,م إبتدائية عين مريم بنزرت الشمالية   مكتب 2,0,0,5,1,0,0,188,5,0,2,2,1,7,2,1,3,1,0,0,1,3,0,0,175,0,13,26,436
09040504903,م إبتدائية عين مريم بنزرت الشمالية   مكتب 3,2,0,6,4,0,0,170,11,0,0,3,1,7,0,0,5,3,0,0,0,8,0,0,223,0,9,28,480
09040504904,م إبتدائية عين مريم بنزرت الشمالية   مكتب 4,0,0,2,2,1,0,188,13,1,0,4,0,9,0,0,2,0,0,0,0,2,0,4,180,1,11,39,459
09040504905,م إبتدائية عين مريم بنزرت الشمالية   مكتب 5,0,0,5,4,0,0,137,8,0,1,6,0,3,0,1,2,2,1,0,0,3,0,2,208,0,9,31,423
