#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
09030102201,م إبتدائية الحويشات - تسكراية  مكتب 1,0,0,0,1,0,1,24,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,4,0,4,1,41.0
09030202301,م إبتدائية تاغرمان - فرحات حشاد   مكتب 1,0,0,2,2,2,4,119,8,1,3,4,0,5,2,0,1,2,0,1,1,10,0,4,139,1,21,14,346.0
09030202302,م إبتدائية تاغرمان - فرحات حشاد   مكتب 2,1,0,1,4,0,0,83,12,0,0,8,1,0,0,0,1,2,0,0,1,1,0,4,104,0,17,29,269.0
09030302401,م إبتدائية بوزارية - مرنيصة  مكتب 1,0,0,1,3,0,0,115,12,0,0,3,0,4,1,0,2,0,0,0,2,3,0,0,88,0,24,15,273.0
09030302501,م إبتدائية بشاطر - مرنيصة  مكتب 1,2,2,4,3,0,4,110,11,0,1,5,0,7,1,1,0,0,1,1,0,5,0,1,58,0,16,4,237.0
09030302601,م إبتدائية بني مسلم - مرنيصة   مكتب 1,0,0,3,2,0,2,68,2,0,1,1,0,1,0,1,1,0,2,0,0,3,0,0,63,0,17,5,172.0
09030302701,م إبتدائية هنشير غار ونكل - مرنيصة   مكتب 1,0,1,1,2,1,0,83,6,1,3,1,0,3,0,0,1,0,0,0,0,2,0,0,42,0,17,2,166.0
09030302801,م إبتدائية هنشير الماتلين - مرنيصة   مكتب 1,2,1,0,4,3,0,120,11,1,0,5,0,1,2,1,5,1,1,0,1,2,0,2,121,0,26,13,323.0
09030302901,م إبتدائية الغيران - مرنيصة   مكتب 1,0,2,1,0,1,1,45,2,1,0,1,0,1,0,1,2,1,2,0,1,2,0,0,46,0,7,2,119.0
09030302902,م إبتدائية الغيران - مرنيصة   مكتب 2,0,0,1,0,0,0,17,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,40,0,4,5,74.0
09030303001,م إبتدائية بني نافع - مرنيصة   مكتب 1,2,2,3,8,2,1,137,4,1,0,2,1,6,1,2,0,3,2,2,1,7,1,3,86,0,13,7,297.0
09030303002,م إبتدائية بني نافع - مرنيصة   مكتب 2,0,0,1,2,1,0,112,9,0,0,2,0,10,1,0,0,2,1,0,0,0,0,2,104,2,15,9,273.0
09030303003,م إبتدائية بني نافع - مرنيصة   مكتب 3,3,0,0,2,0,1,78,10,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,98,0,13,6,214.0
09030303004,م إبتدائية بني نافع - مرنيصة   مكتب 4,2,0,0,3,0,3,63,17,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,65,0,11,12,180.0
09030403101,م إبتدائية فجة الريح - هيشر   مكتب 1,0,2,0,1,1,1,32,4,0,1,2,1,1,2,2,1,0,1,1,0,1,0,0,6,0,6,1,67.0
09030503201,م إبتدائية اللواتة   مكتب 1,8,0,2,5,1,2,143,6,1,3,3,1,5,2,4,2,3,0,1,0,6,0,1,90,1,9,8,307.0
09030503202,م إبتدائية اللواتة   مكتب 2,2,0,0,1,0,3,113,9,2,0,1,1,3,0,1,0,0,0,0,0,4,1,1,171,0,12,9,334.0
09030503203,م إبتدائية اللواتة   مكتب 3,1,0,0,1,0,1,67,16,1,0,3,1,5,0,0,0,0,0,0,0,1,0,0,136,0,4,6,243.0
09030503204,م إبتدائية اللواتة   مكتب 4,0,0,2,2,0,0,58,17,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,111,1,5,14,217.0
09030503301,م إبتدائية تسكراية - اللواتة   مكتب 1,1,1,2,5,1,3,91,9,1,0,1,0,3,6,1,4,0,3,2,3,13,1,0,35,0,12,11,209.0
09030503302,م إبتدائية تسكراية - اللواتة   مكتب 2,1,0,1,1,1,0,66,13,0,0,4,0,6,0,0,1,1,0,0,0,2,0,0,35,0,4,4,140.0
09030503401,م إبتدائية فروة - اللواتة   مكتب 1,1,0,2,4,1,1,111,14,2,0,4,1,2,1,0,0,2,1,0,0,4,0,0,94,0,13,10,268.0
09030503402,م إبتدائية فروة - اللواتة   مكتب 2,1,0,4,0,0,1,63,22,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,98,1,4,11,212.0
09030603501,م إبتدائية حي حشاد - باب ماطر   مكتب 1,0,0,4,5,1,2,159,11,1,0,2,0,4,1,0,2,1,0,0,2,3,0,15,63,0,9,24,309.0
09030603502,م إبتدائية حي حشاد - باب ماطر   مكتب 2,0,1,1,1,1,1,134,15,0,0,0,0,5,1,0,0,1,0,0,0,3,0,12,75,1,11,23,286.0
09030603503,م إبتدائية حي حشاد - باب ماطر   مكتب 3,0,0,2,1,0,0,87,19,0,0,2,0,1,0,0,1,0,0,1,0,0,0,10,57,0,7,16,204.0
09030603601,م إبتدائية حي البساتين بنزرت الجنوبية - باب ماطر   مكتب 1,2,2,2,3,0,3,203,10,0,1,3,0,11,0,0,1,2,1,1,0,2,0,8,82,1,9,28,375.0
09030603602,م إبتدائية حي البساتين بنزرت الجنوبية - باب ماطر   مكتب 2,0,1,0,4,0,1,159,3,0,0,3,0,4,0,1,1,1,0,0,0,2,0,13,117,0,12,34,356.0
09030603603,م إبتدائية حي البساتين بنزرت الجنوبية - باب ماطر   مكتب 3,2,0,4,3,0,0,126,12,1,0,5,0,4,0,0,2,0,0,0,0,0,0,4,73,2,6,43,287.0
09030603701,م إبتدائية المرازيق بنزرت الجنوبية - باب ماطر   مكتب 1,2,1,3,2,2,2,107,15,0,1,3,1,2,0,0,2,0,0,0,1,4,0,1,47,0,10,18,224.0
09030703801,م إبتدائية بئر مسيوغة - حي الجلاء   مكتب 1,3,2,2,4,1,0,141,9,1,3,2,1,6,6,1,4,2,3,0,2,10,0,1,70,1,32,9,316.0
09030703802,م إبتدائية بئر مسيوغة - حي الجلاء   مكتب 2,3,0,0,0,0,1,117,20,0,0,3,0,2,1,1,3,3,1,0,0,8,0,1,89,0,26,16,295.0
09030703803,م إبتدائية بئر مسيوغة - حي الجلاء   مكتب 3,1,0,7,6,0,1,67,12,0,0,1,0,3,0,0,1,0,0,0,0,1,0,1,81,0,15,10,207.0
09030803901,م إبتدائية المصيدة - المصيدة   مكتب 1,0,2,2,2,0,1,203,19,1,0,2,1,8,2,1,1,1,0,1,2,5,0,0,65,2,16,12,349.0
09030803902,م إبتدائية المصيدة - المصيدة   مكتب 2,1,0,2,4,0,0,185,14,0,0,4,0,3,0,1,1,0,0,0,1,2,0,2,121,1,11,20,373.0
09030803903,م إبتدائية المصيدة - المصيدة   مكتب 3,1,0,1,7,0,0,137,16,0,1,5,0,6,0,0,1,1,0,0,1,4,0,2,115,1,20,21,340.0
09030803904,م إبتدائية المصيدة - المصيدة   مكتب 4,3,0,1,2,0,0,90,21,1,0,4,0,2,0,0,3,0,0,0,0,1,0,1,88,0,14,30,261.0
09030803905,م إبتدائية المصيدة - المصيدة   مكتب 5,1,0,4,0,0,0,78,22,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,85,3,4,39,243.0
09030904001,م إبتدائية خراطة - سيدي أحمد  مكتب 1,0,1,0,0,0,1,52,7,1,0,1,0,3,2,0,0,0,0,0,0,0,0,1,49,0,7,4,129.0
09030904101,م إبتدائية المرقازين - سيدي أحمد  مكتب 1,0,0,1,1,1,0,41,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,1,64.0
09030904201,م إبتدائية سيدي عامر - سيدي أحمد  مكتب 1,1,0,0,1,1,1,25,4,1,1,2,0,3,1,1,1,0,1,0,1,1,1,0,8,0,9,3,67.0
09030904301,م إبتدائية بني عمر - سيدي أحمد  مكتب 1,2,1,0,6,2,1,102,14,1,1,5,0,2,1,0,0,0,0,1,0,8,0,1,72,1,24,11,256.0
مجموع أصوات القائمة,49,22,67,108,24,44,4131,461,20,22,111,11,139,36,21,50,31,21,12,23,122,4,93,3205,19,516,560,9922,
