circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,ElAlia,09010100101,م إبتدائية سيدي علي الشباب   مكتب 1,1,0,3,1,3,2,126,20,0,2,0,0,3,0,0,2,0,2,2,0,2,1,2,55,0,6,15,248
Bizerte,ElAlia,09010100102,م إبتدائية سيدي علي الشباب   مكتب 2,1,0,9,2,0,1,90,37,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,57,0,4,23,229
Bizerte,ElAlia,09010200201,م إبتدائية ابن خلدون العالية - العالية الشمالية   مكتب 1,3,0,1,3,0,1,111,38,1,2,2,2,1,4,1,3,3,5,3,1,5,1,1,139,1,9,7,348
Bizerte,ElAlia,09010200202,م إبتدائية ابن خلدون العالية - العالية الشمالية   مكتب 2,2,1,1,2,0,0,93,40,0,1,2,0,3,1,0,0,0,1,0,0,0,0,0,202,0,7,16,372
Bizerte,ElAlia,09010200203,م إبتدائية ابن خلدون العالية - العالية الشمالية   مكتب 3,1,0,2,1,0,1,61,43,0,0,2,1,5,0,0,2,0,0,0,1,2,0,0,194,1,7,12,336
Bizerte,ElAlia,09010200204,م إبتدائية ابن خلدون العالية - العالية الشمالية   مكتب 4,1,0,0,0,0,0,55,45,0,0,2,0,1,0,0,1,0,1,1,1,1,0,1,161,0,3,21,295
Bizerte,ElAlia,09010200301,م إبتدائية الشابي العالية - العالية الشمالية   مكتب 1,3,1,1,2,2,2,121,23,1,1,0,2,8,1,2,2,1,3,3,1,4,3,2,206,2,14,11,422
Bizerte,ElAlia,09010200302,م إبتدائية الشابي العالية - العالية الشمالية   مكتب 2,1,0,2,0,0,5,119,33,1,0,2,0,8,1,1,0,1,0,1,1,3,0,1,263,1,9,24,477
Bizerte,ElAlia,09010200303,م إبتدائية الشابي العالية - العالية الشمالية   مكتب 3,2,0,1,2,0,0,82,36,0,1,0,0,3,2,0,0,0,0,0,0,1,0,1,280,1,5,8,425
Bizerte,ElAlia,09010200304,م إبتدائية الشابي العالية - العالية الشمالية   مكتب 4,0,0,0,1,0,0,59,31,0,1,0,0,6,0,0,0,0,0,0,0,4,1,1,235,1,5,24,369
Bizerte,ElAlia,09010200305,م إبتدائية الشابي العالية - العالية الشمالية   مكتب 5,1,0,2,0,1,0,37,63,0,1,1,0,5,0,0,0,0,0,0,0,1,0,0,229,0,7,21,369
Bizerte,ElAlia,09010200401,م إبتدائية الطيب الشريف العالية - العالية الشمالية   مكتب 1,1,0,1,5,1,1,100,20,1,2,3,0,1,0,2,0,3,0,0,1,4,0,2,115,0,5,10,278
Bizerte,ElAlia,09010200402,م إبتدائية الطيب الشريف العالية - العالية الشمالية   مكتب 2,0,0,1,2,1,1,56,25,1,0,1,0,3,0,0,0,1,0,0,0,3,1,0,171,1,4,10,282
Bizerte,ElAlia,09010200403,م إبتدائية الطيب الشريف العالية - العالية الشمالية   مكتب 3,0,0,4,1,0,0,49,33,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,111,1,0,20,225
Bizerte,ElAlia,09010300501,م إبتدائية العوائشية العالية - العالية الجنوبية   مكتب 1,0,0,0,0,0,0,30,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,1,3,50
Bizerte,ElAlia,09010300601,م إبتدائية وادي الحلة - العالية الجنوبية   مكتب 1,0,0,3,1,0,1,107,19,1,0,0,0,2,1,0,4,0,0,1,0,4,0,0,88,0,11,4,247
Bizerte,ElAlia,09010300701,م إبتدائية  14 جانفي العالية - العالية الجنوبية   مكتب 1,0,0,2,1,1,2,90,16,0,0,2,0,5,0,1,2,1,1,1,1,5,0,4,123,2,6,8,274
Bizerte,ElAlia,09010300702,م إبتدائية  14 جانفي العالية - العالية الجنوبية   مكتب 2,2,0,1,0,0,0,60,41,0,0,4,0,5,0,1,0,0,1,0,0,2,1,1,155,1,6,7,288
Bizerte,ElAlia,09010300703,م إبتدائية  14 جانفي العالية - العالية الجنوبية   مكتب 3,0,0,1,0,0,1,36,49,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,135,1,3,11,244
Bizerte,ElAlia,09010400801,م إبتدائية الرحمانية العالية - الختمين   مكتب 1,1,0,1,2,0,0,65,9,2,0,2,0,3,0,0,4,1,1,0,0,6,0,1,95,1,4,8,206
Bizerte,ElAlia,09010400802,م إبتدائية الرحمانية العالية - الختمين   مكتب 2,1,1,2,0,0,0,31,25,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,107,1,6,2,181
Bizerte,ElAlia,09010400901,م إبتدائية الخيتمين   مكتب 1,2,3,3,7,1,0,105,23,1,2,5,0,5,0,2,0,0,2,2,1,7,2,1,82,0,20,11,287
Bizerte,ElAlia,09010400902,م إبتدائية الخيتمين   مكتب 2,0,1,2,2,0,0,83,31,0,1,0,0,5,0,0,1,0,1,0,0,4,0,1,116,0,17,8,273
Bizerte,ElAlia,09010400903,م إبتدائية الخيتمين   مكتب 3,0,0,4,2,1,0,33,32,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,88,0,7,8,182
Bizerte,ElAlia,09010401001,م إبتدائية التلــة - الختمين   مكتب 1,0,0,1,0,1,0,28,7,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,27,0,3,3,75
