circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,GharElMelh,09100114301,م إبتدائية الشابي غار الملح   مكتب 1,1,0,3,3,0,0,194,14,0,1,2,0,1,0,1,3,1,0,0,0,4,0,1,154,0,3,6,392
Bizerte,GharElMelh,09100114302,م إبتدائية الشابي غار الملح   مكتب 2,0,0,1,6,0,1,158,18,0,1,1,1,4,0,0,4,0,0,0,0,2,0,2,179,1,3,13,395
Bizerte,GharElMelh,09100114303,م إبتدائية الشابي غار الملح   مكتب 3,0,0,0,3,0,0,120,25,0,0,4,0,4,0,0,1,0,0,1,0,2,0,0,174,0,2,17,353
Bizerte,GharElMelh,09100114401,م إبتدائية الانطلاقة غار الملح   مكتب 1,1,0,0,3,0,0,199,25,0,2,5,1,5,1,1,2,0,0,0,0,3,0,1,163,0,14,22,448
Bizerte,GharElMelh,09100114402,م إبتدائية الانطلاقة غار الملح   مكتب 2,3,0,5,5,0,2,119,41,0,1,3,1,2,0,0,2,0,0,0,0,4,1,0,143,0,7,26,365
Bizerte,GharElMelh,09100214501,م إبتدائية باجو   مكتب 1,3,0,1,2,4,3,149,7,0,3,1,0,2,1,1,0,3,0,2,1,4,1,1,69,1,13,7,279
Bizerte,GharElMelh,09100214502,م إبتدائية باجو   مكتب 2,4,0,0,0,1,0,115,23,0,0,3,0,2,0,0,1,2,0,0,1,8,0,0,78,1,13,8,260
Bizerte,GharElMelh,09100214503,م إبتدائية باجو   مكتب 3,1,0,0,1,0,1,87,21,0,1,1,2,3,0,0,3,0,0,1,0,1,0,0,68,0,13,6,210
Bizerte,GharElMelh,09100314601,م إبتدائية شارع بورقيبة عوسجة  مكتب 1,4,2,2,2,0,0,179,18,1,2,3,1,5,2,1,1,3,1,0,1,1,0,0,127,0,6,5,367
Bizerte,GharElMelh,09100314602,م إبتدائية شارع بورقيبة عوسجة  مكتب 2,1,0,0,0,0,0,148,22,0,0,6,0,1,2,0,0,0,0,0,0,2,0,1,139,2,5,11,340
Bizerte,GharElMelh,09100314603,م إبتدائية شارع بورقيبة عوسجة  مكتب 3,0,0,0,0,0,0,108,32,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,118,0,10,10,283
Bizerte,GharElMelh,09100314701,م إبتدائية الحي الجديد عوسجة  مكتب 1,2,0,2,1,4,3,153,8,1,3,9,0,1,1,0,0,1,2,2,1,7,1,1,103,1,4,4,315
Bizerte,GharElMelh,09100314702,م إبتدائية الحي الجديد عوسجة  مكتب 2,1,0,1,0,0,1,125,21,0,0,4,1,3,0,0,0,0,0,0,0,1,0,3,135,0,7,3,306
Bizerte,GharElMelh,09100314703,م إبتدائية الحي الجديد عوسجة  مكتب 3,0,0,1,0,0,0,82,21,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,121,1,8,14,252
Bizerte,GharElMelh,09100414801,م إبتدائية الزواوين   مكتب 1,2,0,0,1,0,4,106,16,0,1,4,0,3,1,1,0,1,1,0,1,1,0,0,129,1,9,3,285
Bizerte,GharElMelh,09100414802,م إبتدائية الزواوين   مكتب 2,2,0,0,0,0,0,90,15,1,0,1,0,3,0,0,0,1,0,0,0,3,0,0,162,0,8,10,296
Bizerte,GharElMelh,09100414803,م إبتدائية الزواوين   مكتب 3,1,0,0,0,0,0,61,50,0,0,2,0,1,1,0,0,0,0,0,0,4,0,1,128,0,2,4,255
Bizerte,GharElMelh,09100414901,م إبتدائية الطويبية - الزواوين   مكتب 1,0,1,1,3,0,1,89,12,0,0,1,0,4,0,0,3,1,0,0,1,3,1,0,102,0,2,7,232
