circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,Ghezala,09110115001,م إبتدائية منجم جالطة - غزالة   مكتب 1,0,1,4,6,4,1,211,13,2,2,5,4,7,2,1,6,2,3,2,0,14,1,0,21,6,11,13,342
Bizerte,Ghezala,09110115002,م إبتدائية منجم جالطة - غزالة   مكتب 2,3,1,2,7,3,1,215,19,1,3,3,1,7,0,1,2,0,1,0,0,8,0,0,35,2,7,14,336
Bizerte,Ghezala,09110115003,م إبتدائية منجم جالطة - غزالة   مكتب 3,0,0,2,4,0,0,181,15,0,0,1,0,3,0,0,1,1,0,1,0,7,0,0,42,0,8,21,287
Bizerte,Ghezala,09110115004,م إبتدائية منجم جالطة - غزالة   مكتب 4,3,0,0,1,0,0,147,14,0,0,3,0,2,1,0,1,0,1,0,0,2,0,0,40,0,7,9,231
Bizerte,Ghezala,09110115101,م إبتدائية جفنة - غزالة   مكتب 1,1,2,0,0,0,3,56,5,0,0,1,0,4,1,1,1,0,2,3,1,1,0,0,14,0,16,2,114
Bizerte,Ghezala,09110115201,م إبتدائية بني ابراهيم - غزالة   مكتب 1,0,1,0,1,0,1,53,6,1,0,0,0,2,2,1,0,2,0,1,0,1,0,0,13,0,0,1,86
Bizerte,Ghezala,09110115301,م إبتدائية هنشير غزالة  مكتب 1,1,1,1,0,0,1,38,8,2,0,2,0,3,0,1,0,0,1,0,1,1,0,0,14,0,1,2,78
Bizerte,Ghezala,09110215401,م إبتدائية الطارف - العرب   مكتب 1,1,0,2,0,1,0,49,8,1,0,0,0,2,1,0,1,0,0,0,0,2,1,0,21,0,6,9,105
Bizerte,Ghezala,09110215501,م إبتدائية العتيبة - العرب   مكتب 1,1,1,0,2,1,1,55,9,0,0,2,1,2,1,0,1,1,0,0,1,4,0,1,15,1,7,11,118
Bizerte,Ghezala,09110315601,م إبتدائية الفردوين - الذواودة   مكتب 1,0,0,0,0,0,0,80,13,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,16,0,5,9,129
Bizerte,Ghezala,09110315701,م إبتدائية عوانة - الذواودة   مكتب 1,0,0,1,0,0,0,35,8,0,1,2,0,0,1,0,0,1,1,2,0,1,0,1,15,0,2,3,74
Bizerte,Ghezala,09110315801,م إبتدائية وادي الزيتون - الذواودة   مكتب 1,6,1,1,1,1,1,106,13,1,3,2,1,5,1,4,1,1,0,0,1,3,0,0,70,1,10,6,240
Bizerte,Ghezala,09110315901,م إبتدائية الذواودة   مكتب 1,3,1,2,7,0,2,35,11,0,2,1,0,2,1,0,2,0,1,1,1,3,0,1,26,1,4,4,111
Bizerte,Ghezala,09110416001,م إبتدائية برج العدواني - حشاد   مكتب 1,2,1,0,4,1,1,56,2,1,2,2,1,5,1,0,4,1,2,1,1,5,0,0,12,1,8,2,116
Bizerte,Ghezala,09110416002,م إبتدائية برج العدواني - حشاد   مكتب 2,1,0,0,1,0,2,55,10,1,1,0,0,2,1,0,1,0,1,0,0,1,0,0,22,0,9,4,112
Bizerte,Ghezala,09110416101,م إبتدائية  غزالة 2 - حشاد   مكتب 1,1,0,0,6,4,1,177,18,4,1,3,0,2,1,1,3,1,2,1,0,8,0,0,33,2,9,9,287
Bizerte,Ghezala,09110416102,م إبتدائية  غزالة 2 - حشاد   مكتب 2,2,0,1,2,0,2,212,26,0,1,1,0,3,1,0,1,0,1,2,0,1,0,1,31,0,11,7,306
Bizerte,Ghezala,09110416103,م إبتدائية  غزالة 2 - حشاد   مكتب 3,2,0,0,3,0,0,114,18,0,0,1,0,0,1,0,1,0,1,0,0,3,0,1,44,0,4,6,199
Bizerte,Ghezala,09110516201,م إبتدائية أولاد الماي    مكتب 1,4,1,4,0,2,0,60,14,0,2,3,0,7,0,3,0,0,1,1,1,4,0,0,15,0,12,0,134
Bizerte,Ghezala,09110616301,م إبتدائية قصر بودرهم - سيدي عيسى   مكتب 1,1,0,0,1,0,0,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,5,1,56
Bizerte,Ghezala,09110716401,م إبتدائية الركب   مكتب 1,3,1,2,6,2,2,103,10,3,1,3,1,4,1,2,2,2,1,4,1,5,0,0,33,0,12,14,218
Bizerte,Ghezala,09110716402,م إبتدائية الركب   مكتب 2,1,1,2,2,0,0,41,23,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,46,1,8,6,137
Bizerte,Ghezala,09110816501,م إبتدائية بوجرير  مكتب 1,1,3,0,2,2,3,140,15,1,1,2,4,3,4,1,3,1,2,1,2,6,1,1,31,1,8,14,253
Bizerte,Ghezala,09110816601,م إبتدائية العويلية - بوجرير   مكتب 1,0,0,1,1,0,1,91,9,0,3,1,1,0,1,0,1,0,0,0,0,6,1,0,5,1,3,4,130
Bizerte,Ghezala,09110916701,م إبتدائية سيدي منصور    مكتب 1,2,0,0,0,0,2,57,11,0,1,1,2,4,2,0,0,1,0,1,0,1,0,0,15,1,9,2,112
