#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
09070107301,م إبتدائية القرية جومين - أولاد غانم  مكتب 1,2,2,1,2,0,0,67,3,2,2,1,0,3,0,0,0,0,0,1,0,2,1,0,30,0,7,3,129.0
09070107401,م إبتدائية النشماية - أولاد غانم  مكتب 1,1,1,2,3,2,5,92,6,0,1,1,0,3,0,1,0,0,3,1,2,1,1,1,39,3,21,2,192.0
09070107402,م إبتدائية النشماية - أولاد غانم  مكتب 2,0,0,0,1,0,1,73,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,22,0,20,6,136.0
09070107501,م إبتدائية سيدي الكناني - أولاد غانم  مكتب 1,2,3,3,6,1,3,71,18,3,2,0,3,10,1,4,4,2,2,0,2,6,2,0,44,1,39,6,238.0
09070107502,م إبتدائية سيدي الكناني - أولاد غانم  مكتب 2,1,0,2,1,0,0,45,23,0,0,2,0,3,1,3,0,0,0,1,0,3,0,0,28,0,24,6,143.0
09070207601,م إبتدائية جبل السمان   مكتب 1,1,1,1,5,0,0,138,9,1,0,2,0,7,2,0,1,1,1,0,0,5,0,0,36,0,9,9,229.0
09070207602,م إبتدائية جبل السمان   مكتب 2,0,0,0,0,0,0,103,7,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,53,0,3,5,177.0
09070207701,م إبتدائية الصياح - السمان  مكتب 1,0,0,3,0,0,1,33,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,3,0,58.0
09070207801,م إبتدائية الجبيرة جومين - السمان  مكتب 1,1,3,0,1,0,0,24,2,1,0,0,0,2,0,0,1,1,0,0,1,0,2,0,5,0,15,2,61.0
09070307901,م إبتدائية بني عرام - الشنانة  مكتب 1,0,0,4,1,2,0,92,32,0,0,2,0,2,2,9,0,1,0,2,1,3,0,1,30,1,27,11,223.0
09070408001,م إبتدائية كاف الصغارين - تاهنت  مكتب 1,0,0,1,2,1,2,51,5,1,0,3,1,4,0,1,1,1,0,1,1,3,0,1,15,0,8,1,104.0
09070408101,م إبتدائية تاهنت   مكتب 1,1,0,0,1,2,1,96,8,0,1,4,1,3,0,1,1,2,0,0,0,2,0,1,12,0,7,7,151.0
