circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,Mateur,09120116801,م إبتدائية المبيت الابتدائي ماطر  مكتب 1,1,0,3,5,2,2,286,32,2,3,2,1,3,0,0,2,0,0,1,0,2,0,4,32,0,14,16,413
Bizerte,Mateur,09120116802,م إبتدائية المبيت الابتدائي ماطر  مكتب 2,0,0,4,3,0,1,214,33,0,1,1,0,3,1,0,0,0,0,0,0,5,0,1,79,1,12,20,379
Bizerte,Mateur,09120116803,م إبتدائية المبيت الابتدائي ماطر  مكتب 3,0,0,0,9,1,1,223,41,1,0,3,0,5,0,0,1,1,0,0,0,2,0,0,74,1,7,18,388
Bizerte,Mateur,09120116804,م إبتدائية المبيت الابتدائي ماطر  مكتب 4,0,0,1,3,0,0,181,50,0,0,2,0,4,1,0,1,0,0,0,0,2,0,2,98,0,7,19,371
Bizerte,Mateur,09120116805,م إبتدائية المبيت الابتدائي ماطر  مكتب 5,0,0,1,4,0,0,131,41,0,0,3,0,8,0,0,3,0,0,0,0,2,0,1,84,0,12,19,309
Bizerte,Mateur,09120116806,م إبتدائية المبيت الابتدائي ماطر  مكتب 6,1,0,1,2,0,0,118,65,0,2,5,0,4,0,0,0,0,0,0,0,3,0,1,48,2,2,33,287
Bizerte,Mateur,09120116901,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 1,1,0,2,7,4,7,251,19,0,3,3,0,8,2,1,4,1,1,1,0,8,0,1,41,0,14,17,396
Bizerte,Mateur,09120116902,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 2,1,0,6,2,2,2,215,31,2,2,0,2,6,4,1,3,1,2,0,1,4,1,0,35,0,12,12,347
Bizerte,Mateur,09120116903,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 3,0,0,0,3,1,1,228,33,0,0,3,1,0,1,0,2,3,0,0,1,4,0,0,61,0,6,20,368
Bizerte,Mateur,09120116904,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 4,0,0,0,5,0,1,240,45,0,0,5,1,8,1,1,2,0,0,0,0,2,1,0,69,0,11,21,413
Bizerte,Mateur,09120116905,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 5,0,0,3,2,0,1,191,32,0,0,4,0,7,0,0,4,0,1,0,0,2,0,2,104,0,7,19,379
Bizerte,Mateur,09120116906,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 6,1,0,5,1,0,2,155,39,1,1,1,0,1,2,0,3,0,0,0,0,0,0,1,85,0,5,17,320
Bizerte,Mateur,09120116907,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 7,0,0,1,5,0,0,134,44,0,0,3,0,1,1,0,1,1,0,1,0,3,0,0,65,1,4,19,284
Bizerte,Mateur,09120116908,م إبتدائية نهج 19جانفي 52 ماطر  مكتب 8,0,0,1,1,0,1,127,50,0,0,5,0,1,0,0,1,0,0,0,0,1,0,2,56,2,6,34,288
Bizerte,Mateur,09120217001,م إبتدائية نهج خمومة ماطر - أحواز ماطر   مكتب 1,1,0,6,6,1,0,270,43,1,1,2,0,5,0,0,0,0,0,1,0,1,1,2,57,0,7,23,428
Bizerte,Mateur,09120217002,م إبتدائية نهج خمومة ماطر - أحواز ماطر   مكتب 2,0,0,4,3,0,0,152,60,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,66,1,3,29,324
Bizerte,Mateur,09120217101,م إبتدائية حي العمران ماطر - أحواز ماطر   مكتب 1,3,2,0,6,0,2,198,20,1,4,4,0,9,0,4,1,1,2,0,0,8,0,2,38,0,4,8,317
Bizerte,Mateur,09120217102,م إبتدائية حي العمران ماطر - أحواز ماطر   مكتب 2,4,1,1,1,0,0,189,48,0,2,1,1,6,1,0,3,1,0,0,1,3,0,0,72,3,10,17,365
Bizerte,Mateur,09120217103,م إبتدائية حي العمران ماطر - أحواز ماطر   مكتب 3,0,0,0,0,0,0,134,46,0,0,1,0,3,0,0,0,1,0,1,0,4,0,0,43,0,7,24,264
Bizerte,Mateur,09120217201,م إبتدائية جبل اشكل - أحواز ماطر  مكتب 1,0,0,0,0,0,2,36,7,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,10,1,13,2,75
Bizerte,Mateur,09120217301,م إبتدائية رأس العين ماطر - أحواز ماطر  مكتب 1,2,0,2,6,2,1,179,29,0,1,8,0,5,1,0,3,3,3,0,0,6,0,1,30,1,14,15,312
Bizerte,Mateur,09120317401,م إبتدائية حي النصر ماطر   مكتب 1,2,1,4,3,3,5,158,32,3,2,2,1,2,2,1,1,5,2,0,4,8,0,0,19,4,13,8,285
