circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,MenzelBourguiba,09130118701,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 1,2,3,3,2,1,4,163,32,1,2,3,0,3,0,2,3,2,0,1,0,3,2,1,111,1,18,9,372
Bizerte,MenzelBourguiba,09130118702,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 2,2,0,2,5,1,1,172,33,1,2,4,0,3,0,3,0,1,1,0,0,3,0,0,79,3,10,16,342
Bizerte,MenzelBourguiba,09130118703,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 3,2,1,0,0,0,1,161,40,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,135,0,13,19,381
Bizerte,MenzelBourguiba,09130118704,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 4,1,0,2,5,0,0,156,49,0,0,4,0,3,0,0,1,0,0,0,0,3,0,1,118,1,14,21,379
Bizerte,MenzelBourguiba,09130118705,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 5,0,0,3,7,0,0,118,64,1,1,2,0,5,0,0,2,1,0,0,0,1,0,0,126,0,9,16,356
Bizerte,MenzelBourguiba,09130118706,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 6,0,0,1,0,0,0,108,38,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,92,0,15,14,274
Bizerte,MenzelBourguiba,09130118707,م إبتدائية حي النجاح منزل بورقيبة - النجاح (1)  مكتب 7,0,0,4,0,0,1,86,60,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,84,1,5,39,286
Bizerte,MenzelBourguiba,09130218801,م إبتدائية شاكر 1 منزل بورقيبة - قبطنة (1)  مكتب 1,1,2,4,2,0,2,163,29,2,0,2,0,6,1,1,2,0,1,3,1,5,0,2,94,1,13,12,349
Bizerte,MenzelBourguiba,09130218802,م إبتدائية شاكر 1 منزل بورقيبة - قبطنة (1)  مكتب 2,1,1,1,1,0,2,146,33,0,1,2,0,2,1,1,3,0,1,1,0,3,1,1,93,0,13,11,319
Bizerte,MenzelBourguiba,09130218803,م إبتدائية شاكر 1 منزل بورقيبة - قبطنة (1)  مكتب 3,1,0,3,3,1,2,142,40,1,3,2,0,2,0,1,1,0,1,0,1,1,0,3,109,0,6,9,332
