#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
09140119901,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 1,2,0,2,2,1,1,194,29,1,1,8,1,4,0,0,2,0,2,2,0,5,2,3,127,1,9,15,414.0
09140119902,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 2,3,3,2,2,0,0,178,24,0,0,4,0,3,2,0,1,0,1,0,0,5,0,0,122,0,7,16,373.0
09140119903,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 3,2,1,1,4,0,2,155,26,0,0,2,1,3,1,2,0,0,0,0,0,5,0,3,178,0,10,24,420.0
09140119904,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 4,1,1,6,8,0,0,134,32,1,0,4,0,3,0,0,1,0,0,0,0,1,0,2,157,0,12,31,394.0
09140119905,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 5,0,0,3,4,0,0,115,30,0,0,4,0,4,0,0,0,0,0,0,1,3,0,1,144,0,17,25,351.0
09140119906,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 6,2,0,1,3,0,0,88,25,0,0,5,0,4,0,0,2,0,0,0,0,2,0,0,132,1,7,30,302.0
09140119907,م إبتدائية ش.بورقيبة منزل جميل - منزل جميل الشرقية   مكتب 7,0,0,5,2,0,0,101,39,0,0,7,0,1,0,0,1,0,0,0,1,0,0,2,132,2,3,36,332.0
09140120001,م إبتدائية ش .الجمهورية منزل جميل - منزل جميل الشرقية   مكتب 1,1,0,0,2,0,0,160,23,2,1,0,0,5,1,2,0,2,2,0,1,3,1,3,102,1,11,11,334.0
09140120002,م إبتدائية ش .الجمهورية منزل جميل - منزل جميل الشرقية   مكتب 2,4,0,2,0,0,2,134,31,0,1,4,0,4,0,0,3,0,0,0,0,3,0,0,115,1,16,14,334.0
09140120003,م إبتدائية ش .الجمهورية منزل جميل - منزل جميل الشرقية   مكتب 3,0,0,1,6,0,2,112,40,0,2,4,0,6,0,0,1,0,0,0,0,2,0,1,145,1,13,17,353.0
09140120004,م إبتدائية ش .الجمهورية منزل جميل - منزل جميل الشرقية   مكتب 4,2,0,0,1,0,0,100,34,0,0,2,0,2,0,0,1,0,0,2,0,1,0,0,107,0,8,20,280.0
09140120005,م إبتدائية ش .الجمهورية منزل جميل - منزل جميل الشرقية   مكتب 5,0,0,1,0,0,1,64,46,0,1,6,0,0,0,1,0,0,0,1,0,1,0,2,88,0,5,21,238.0
09140220101,م إبتدائية حي عريفة منزل جميل - منزل جميل الغربية   مكتب 1,2,1,3,9,0,1,203,26,0,4,0,1,3,1,1,1,1,0,2,1,6,0,2,122,1,9,17,417.0
09140220102,م إبتدائية حي عريفة منزل جميل - منزل جميل الغربية   مكتب 2,1,1,5,1,0,1,177,29,0,0,7,0,2,0,0,0,2,0,1,0,6,0,2,159,1,7,28,430.0
09140220103,م إبتدائية حي عريفة منزل جميل - منزل جميل الغربية   مكتب 3,1,0,4,2,0,0,158,38,0,0,4,0,4,0,0,2,0,0,0,0,5,0,0,179,0,12,21,430.0
09140220104,م إبتدائية حي عريفة منزل جميل - منزل جميل الغربية   مكتب 4,2,0,2,6,0,1,118,32,0,1,4,0,4,0,0,3,1,0,0,0,1,0,0,152,2,8,20,357.0
09140220105,م إبتدائية حي عريفة منزل جميل - منزل جميل الغربية   مكتب 5,0,0,6,1,0,0,103,37,0,0,6,0,5,0,0,0,1,0,0,0,1,0,1,167,0,3,32,363.0
09140220201,م إبتدائية الحبيب الغربي - منزل جميل الغربية   مكتب 1,0,0,2,2,0,1,160,22,0,2,2,1,6,2,1,2,0,0,0,0,5,0,0,124,0,9,10,351.0
09140220202,م إبتدائية الحبيب الغربي - منزل جميل الغربية   مكتب 2,0,0,4,1,0,0,77,28,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,131,1,8,20,276.0
09140320301,م إبتدائية 34/3/2 منزل عبد الرحمان - منزل عبد الرحمان الشرقية   مكتب 1,0,1,2,2,0,0,231,38,0,0,1,2,4,0,0,2,0,0,0,0,5,1,3,107,1,9,36,445.0
