#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
09080109901,م إبتدائية ش-بورقيبة رأس الجبل - رأس الجبل الشمالية   مكتب 1,2,0,4,1,1,4,220,24,0,0,1,0,6,2,0,0,1,1,1,0,5,1,1,103,1,16,22,417.0
09080109902,م إبتدائية ش-بورقيبة رأس الجبل - رأس الجبل الشمالية   مكتب 2,0,0,2,2,0,0,187,33,0,1,2,1,10,0,0,1,0,0,0,0,5,0,1,158,2,9,16,430.0
09080109903,م إبتدائية ش-بورقيبة رأس الجبل - رأس الجبل الشمالية   مكتب 3,0,0,4,3,0,0,146,39,0,0,1,2,7,1,0,0,2,0,1,1,2,1,1,156,0,6,35,408.0
09080109904,م إبتدائية ش-بورقيبة رأس الجبل - رأس الجبل الشمالية   مكتب 4,0,0,1,4,0,1,123,27,0,0,3,0,8,3,0,2,1,0,0,0,2,0,0,160,0,3,27,365.0
09080109905,م إبتدائية ش-بورقيبة رأس الجبل - رأس الجبل الشمالية   مكتب 5,0,0,2,7,0,1,130,38,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,144,0,11,27,367.0
09080109906,م إبتدائية ش-بورقيبة رأس الجبل - رأس الجبل الشمالية   مكتب 6,0,0,0,3,0,1,111,67,0,2,5,0,6,1,0,2,0,0,0,0,3,0,0,129,0,1,42,373.0
09080110001,م إبتدائية نهج 18 جانفي رأس الجبل - رأس الجبل الشمالية   مكتب 1,0,0,2,5,2,1,237,28,2,1,3,0,3,0,0,2,2,3,2,2,3,1,3,137,2,5,18,464.0
09080110002,م إبتدائية نهج 18 جانفي رأس الجبل - رأس الجبل الشمالية   مكتب 2,2,0,0,3,0,1,198,42,2,4,1,0,7,1,0,1,1,0,1,1,3,0,1,181,1,8,19,478.0
09080110003,م إبتدائية نهج 18 جانفي رأس الجبل - رأس الجبل الشمالية   مكتب 3,1,0,1,1,0,0,189,56,0,0,2,0,4,1,0,1,0,0,0,0,4,0,2,172,0,11,34,479.0
09080110004,م إبتدائية نهج 18 جانفي رأس الجبل - رأس الجبل الشمالية   مكتب 4,0,0,0,4,0,1,143,47,0,0,0,0,4,0,0,1,0,2,1,0,0,0,2,206,0,9,22,442.0
09080110005,م إبتدائية نهج 18 جانفي رأس الجبل - رأس الجبل الشمالية   مكتب 5,0,1,2,2,0,0,119,37,0,1,2,0,4,0,1,2,0,0,1,0,0,1,5,167,0,6,22,373.0
09080110006,م إبتدائية نهج 18 جانفي رأس الجبل - رأس الجبل الشمالية   مكتب 6,0,0,6,2,0,0,112,65,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,177,1,7,31,408.0
09080110101,م إبتدائية 15 أكتوبر 63 رأس الجبل - رأس الجبل الشمالية   مكتب 1,5,1,1,1,0,0,197,24,2,1,4,1,8,1,1,2,1,1,1,1,3,0,2,126,1,7,12,404.0
09080110102,م إبتدائية 15 أكتوبر 63 رأس الجبل - رأس الجبل الشمالية   مكتب 2,0,0,2,3,0,0,199,45,2,0,8,1,5,2,0,1,0,0,2,0,4,0,1,162,0,6,17,460.0
09080110103,م إبتدائية 15 أكتوبر 63 رأس الجبل - رأس الجبل الشمالية   مكتب 3,0,0,6,2,0,0,136,56,0,0,3,0,4,1,2,0,1,0,1,0,2,0,1,165,0,4,16,400.0
09080110104,م إبتدائية 15 أكتوبر 63 رأس الجبل - رأس الجبل الشمالية   مكتب 4,1,0,5,2,0,1,102,55,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,168,1,8,25,377.0
09080110201,م إبتدائية الشابي رأس الجبل - رأس الجبل الشمالية   مكتب 1,0,0,1,2,0,0,180,48,1,0,1,2,6,0,0,1,1,0,0,2,7,0,1,152,2,8,18,433.0
09080110202,م إبتدائية الشابي رأس الجبل - رأس الجبل الشمالية   مكتب 2,1,0,0,2,0,1,113,62,0,0,2,0,4,0,1,2,1,0,0,0,2,0,2,160,2,7,12,374.0
09080210301,م إبتدائية الحي الجديد راس الجبل - رأس الجبل الجنوبية   مكتب 1,2,0,0,1,1,3,145,24,0,0,3,1,10,0,0,0,1,1,2,1,6,1,4,123,0,27,12,368.0
