#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
09090111501,م إبتدائية  2مارس 34 سجنان   مكتب 1,2,1,1,4,1,1,249,21,6,0,0,0,1,0,2,1,3,0,1,0,1,0,1,35,1,9,21,362.0
09090111502,م إبتدائية  2مارس 34 سجنان   مكتب 2,2,1,1,3,2,2,168,15,18,0,0,2,2,2,0,7,0,0,1,0,4,0,1,37,2,10,36,316.0
09090111503,م إبتدائية  2مارس 34 سجنان   مكتب 3,0,0,0,1,0,0,220,28,17,0,2,0,1,0,0,0,1,0,0,2,3,0,1,83,3,14,42,418.0
09090111504,م إبتدائية  2مارس 34 سجنان   مكتب 4,0,0,2,0,0,1,193,24,14,0,1,0,3,1,0,2,0,0,2,2,2,0,1,78,2,13,38,379.0
09090111505,م إبتدائية  2مارس 34 سجنان   مكتب 5,1,0,2,1,0,0,147,17,6,0,2,0,1,0,0,1,0,0,0,0,2,0,5,50,0,10,40,285.0
09090111506,م إبتدائية  2مارس 34 سجنان   مكتب 6,0,0,0,2,0,0,135,27,11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,50,0,6,34,268.0
09090111507,م إبتدائية  2مارس 34 سجنان   مكتب 7,1,0,2,0,0,0,84,45,7,0,1,1,2,1,0,0,0,0,0,0,0,0,0,60,0,4,37,245.0
09090111601,م إبتدائية الظواهرية - سجنان  مكتب 1,0,0,0,1,1,1,117,9,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,29,0,6,8,176.0
09090111701,م إبتدائية الهواملية - سجنان  مكتب 1,0,1,1,6,1,2,111,8,2,1,1,0,1,0,2,1,0,1,2,1,3,0,1,18,1,10,4,179.0
09090211801,م إبتدائية السفيسيفة - المعالية  مكتب 1,4,1,2,1,1,0,132,15,1,2,0,1,3,0,3,1,1,2,2,1,2,0,1,31,1,7,8,223.0
