circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,Tinja,09050106101,م إبتدائية نهج المدارس تينجة  مكتب 1,0,1,4,7,2,1,210,23,1,0,4,1,6,0,0,3,0,1,0,0,4,0,0,72,1,12,12,365
Bizerte,Tinja,09050106102,م إبتدائية نهج المدارس تينجة  مكتب 2,2,0,3,1,0,1,181,20,0,2,3,1,3,1,0,2,1,1,0,1,2,1,0,87,0,8,16,337
Bizerte,Tinja,09050106103,م إبتدائية نهج المدارس تينجة  مكتب 3,2,0,1,2,0,0,161,37,1,0,6,0,2,0,0,1,0,0,0,0,4,0,0,103,1,4,14,339
Bizerte,Tinja,09050106104,م إبتدائية نهج المدارس تينجة  مكتب 4,1,0,0,2,0,0,128,28,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,95,1,5,15,283
Bizerte,Tinja,09050106105,م إبتدائية نهج المدارس تينجة  مكتب 5,0,0,4,5,0,0,98,48,0,0,5,0,2,0,1,2,0,0,0,0,2,0,0,78,0,5,19,269
Bizerte,Tinja,09050106201,م إبتدائية نهج غاندي تينجة   مكتب 1,4,0,0,4,1,2,204,27,0,3,1,0,7,1,2,1,1,1,2,1,7,0,1,70,1,6,10,357
Bizerte,Tinja,09050106202,م إبتدائية نهج غاندي تينجة   مكتب 2,1,1,1,1,0,0,192,34,0,0,2,0,4,0,1,0,1,2,0,1,2,2,0,82,0,7,13,347
Bizerte,Tinja,09050106203,م إبتدائية نهج غاندي تينجة   مكتب 3,1,0,3,5,0,1,161,41,0,0,3,2,3,1,0,2,0,1,0,1,1,0,2,93,0,8,24,353
Bizerte,Tinja,09050106204,م إبتدائية نهج غاندي تينجة   مكتب 4,2,0,2,3,0,0,118,58,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,74,0,3,16,283
Bizerte,Tinja,09050106205,م إبتدائية نهج غاندي تينجة   مكتب 5,1,0,6,4,0,1,104,54,0,0,3,0,4,0,0,1,1,0,0,0,2,0,1,60,3,3,30,278
Bizerte,Tinja,09050206301,م إبتدائية قنقلة  مكتب 1,2,0,4,2,0,0,127,33,2,1,4,0,4,2,0,3,0,1,0,1,0,0,0,60,1,2,12,261
Bizerte,Tinja,09050206302,م إبتدائية قنقلة  مكتب 2,1,0,2,0,0,0,99,36,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,51,1,1,24,219
Bizerte,Tinja,09050206401,م إبتدائية حي إقبال تينجة - قنقلة   مكتب 1,0,0,1,1,0,2,210,25,1,1,4,0,5,0,1,3,0,1,0,0,1,1,2,96,1,13,19,388
Bizerte,Tinja,09050206402,م إبتدائية حي إقبال تينجة - قنقلة   مكتب 2,2,0,2,3,1,1,193,40,1,0,0,0,6,2,0,3,1,0,0,0,4,0,1,95,0,7,20,382
Bizerte,Tinja,09050206403,م إبتدائية حي إقبال تينجة - قنقلة   مكتب 3,0,0,3,3,2,0,159,40,0,1,1,1,3,0,0,3,0,0,0,0,1,0,4,113,0,20,15,369
Bizerte,Tinja,09050206404,م إبتدائية حي إقبال تينجة - قنقلة   مكتب 4,0,0,3,1,0,0,108,38,0,1,2,0,6,0,0,1,0,0,0,0,1,0,2,76,0,3,27,269
Bizerte,Tinja,09050206405,م إبتدائية حي إقبال تينجة - قنقلة   مكتب 5,0,0,5,2,0,0,101,52,1,0,5,0,1,0,0,1,0,0,0,0,1,0,0,91,2,1,45,308
Bizerte,Tinja,09050206501,م إبتدائية حي العريش - قنقلة   مكتب 1,2,0,1,3,1,0,152,43,1,1,2,0,6,0,0,3,0,0,0,0,0,1,0,61,0,9,18,304
Bizerte,Tinja,09050306601,م إبتدائية الزعرور   مكتب 1,3,0,2,2,4,3,120,9,2,3,1,2,8,1,1,2,3,3,0,1,9,1,0,49,0,19,10,258
Bizerte,Tinja,09050306602,م إبتدائية الزعرور   مكتب 2,2,0,1,0,0,2,74,22,0,0,1,1,2,0,0,1,0,0,0,0,3,0,1,62,0,19,6,197
