circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Bizerte,Utique,09020101101,م إبتدائية 2 مارس 34 زهانة - أوتيك   مكتب 1,0,1,0,4,2,1,169,41,3,0,4,1,9,0,1,1,0,0,1,0,7,1,0,35,1,11,9,302
Bizerte,Utique,09020101102,م إبتدائية 2 مارس 34 زهانة - أوتيك   مكتب 2,1,0,1,7,0,0,163,50,0,1,4,0,3,0,0,1,0,1,0,2,6,0,3,60,0,15,17,335
Bizerte,Utique,09020101103,م إبتدائية 2 مارس 34 زهانة - أوتيك   مكتب 3,0,0,0,0,0,3,131,39,0,1,1,0,3,0,0,6,0,0,0,0,1,0,0,46,0,13,18,262
Bizerte,Utique,09020101104,م إبتدائية 2 مارس 34 زهانة - أوتيك   مكتب 4,1,0,0,3,0,1,85,43,0,0,3,1,3,0,0,2,1,0,0,0,3,0,1,39,0,7,26,219
Bizerte,Utique,09020201201,م إبتدائية أوتيك الجديدة   مكتب 1,0,0,2,1,0,2,173,11,0,0,2,0,6,0,2,1,3,1,1,2,3,0,3,140,1,29,13,396
Bizerte,Utique,09020201202,م إبتدائية أوتيك الجديدة   مكتب 2,1,0,2,2,0,0,80,23,0,0,2,0,3,0,0,1,1,0,0,0,3,1,1,137,0,21,9,287
Bizerte,Utique,09020301301,م إبتدائية البسباسية  مكتب 1,0,1,1,1,1,0,129,23,0,0,4,1,6,0,1,1,0,0,0,3,1,0,0,54,0,11,3,241
Bizerte,Utique,09020301401,م إبتدائية هنشير الطاحونة - البسباسية   مكتب 1,3,0,0,0,1,0,61,8,0,1,0,0,4,0,0,1,0,0,0,1,3,0,1,35,0,5,4,128
Bizerte,Utique,09020401501,م إبتدائية  الحويض  مكتب 1,2,0,2,4,3,0,145,11,0,2,4,0,3,0,0,0,2,1,0,0,3,0,2,89,0,12,13,298
Bizerte,Utique,09020501601,م إبتدائية المبطوح   مكتب 1,3,0,0,0,1,0,102,25,0,0,4,0,3,3,0,2,0,0,0,0,4,0,0,90,1,12,8,258
Bizerte,Utique,09020601701,م إبتدائية البريج + المنار - عين غلال   مكتب 1,2,1,3,3,3,0,147,15,2,1,4,1,0,0,1,2,1,1,0,1,5,0,1,37,1,10,9,251
Bizerte,Utique,09020601702,م إبتدائية البريج + المنار - عين غلال   مكتب 2,1,0,1,0,0,0,88,15,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,37,0,1,11,157
Bizerte,Utique,09020601801,م إبتدائية عين غلال  مكتب 1,0,0,0,0,0,0,50,5,0,0,0,0,0,0,0,2,0,1,1,0,3,0,0,8,0,2,1,73
Bizerte,Utique,09020701901,م إبتدائية سيدي عثمان   مكتب 1,0,0,1,1,2,2,110,31,1,0,5,0,2,0,1,3,0,0,0,1,1,0,0,138,0,5,8,312
Bizerte,Utique,09020702001,م إبتدائية الزوية - سيدي عثمان   مكتب 1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,18
Bizerte,Utique,09020802101,م إبتدائية باش حامبة   مكتب 1,1,0,0,3,0,1,95,16,0,0,3,0,3,0,0,0,2,1,0,0,3,1,0,126,0,19,11,285
Bizerte,Utique,09020802102,م إبتدائية باش حامبة   مكتب 2,0,0,0,0,0,0,83,13,0,0,3,0,1,0,0,1,0,0,0,1,2,0,1,89,0,6,21,221
