circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,Amdoun,10060107901,م إبتدائية شارع بورقيبة عمدون - زهرة مدين  مكتب 1,3,1,1,4,1,1,235,3,0,0,3,0,3,2,0,2,1,1,2,1,4,1,1,58,2,8,23,361
Béja,Amdoun,10060107902,م إبتدائية شارع بورقيبة عمدون - زهرة مدين  مكتب 2,0,0,0,1,0,0,216,15,0,0,4,3,3,1,0,0,0,0,0,0,3,0,2,94,0,6,35,383
Béja,Amdoun,10060107903,م إبتدائية شارع بورقيبة عمدون - زهرة مدين  مكتب 3,0,0,1,1,0,0,178,21,1,2,4,0,3,1,0,1,0,0,1,0,3,0,0,82,0,14,33,346
Béja,Amdoun,10060107904,م إبتدائية شارع بورقيبة عمدون - زهرة مدين  مكتب 4,0,0,2,0,0,0,102,24,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,72,1,4,31,239
Béja,Amdoun,10060108001,م إبتدائية المهيري عمدون - زهرة مدين  مكتب 1,1,1,0,1,2,3,188,9,0,1,4,0,4,1,2,5,1,3,0,2,3,0,0,48,2,9,27,317
Béja,Amdoun,10060108002,م إبتدائية المهيري عمدون - زهرة مدين  مكتب 2,3,0,0,2,0,0,156,16,0,0,2,1,4,0,3,1,1,0,0,1,2,0,2,76,0,12,47,329
Béja,Amdoun,10060108003,م إبتدائية المهيري عمدون - زهرة مدين  مكتب 3,0,0,1,0,0,0,118,26,0,0,2,2,1,1,0,0,2,0,0,0,1,0,0,61,1,9,36,261
Béja,Amdoun,10060108101,م إبتدائية سيدي سعدون - زهرة مدين   مكتب 1,2,0,1,3,4,0,112,23,0,3,4,0,2,2,0,1,2,0,2,2,2,0,2,31,1,11,4,214
Béja,Amdoun,10060208201,م إبتدائية المرقاقة - الفرايجية  مكتب 1,4,0,0,0,0,0,80,10,1,0,1,0,1,1,1,2,0,1,1,0,3,0,0,21,0,8,11,146
Béja,Amdoun,10060208301,م إبتدائية الغرفة - الفرايجية  مكتب 1,0,0,1,1,2,3,65,13,2,2,2,0,3,1,0,2,2,2,0,0,2,1,0,9,2,13,10,138
Béja,Amdoun,10060308401,م إبتدائية تاميسة - الرماضنية  مكتب 1,1,3,1,6,4,2,92,4,2,0,7,1,2,1,0,3,4,0,1,0,7,1,0,26,2,2,6,178
Béja,Amdoun,10060408501,م إبتدائية مغراوة   مكتب 1,0,3,2,1,1,2,46,1,0,0,3,0,3,2,0,0,1,2,1,0,2,0,1,5,0,0,1,77
Béja,Amdoun,10060508601,م إبتدائية عين السخونة - صباح  مكتب 1,1,2,0,5,1,1,154,9,1,1,2,1,2,1,2,3,3,1,0,1,5,1,1,27,0,3,5,233
Béja,Amdoun,10060508602,م إبتدائية عين السخونة - صباح  مكتب 2,0,0,1,1,2,0,97,18,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,26,0,4,8,160
Béja,Amdoun,10060608701,م إبتدائية المجالس عمدون - المجالس  مكتب 1,2,0,1,2,5,0,79,1,0,1,1,0,2,1,0,4,0,1,1,1,5,1,3,10,1,3,4,129
Béja,Amdoun,10060708801,م إبتدائية سيدي مبارك - الحمراء  مكتب 1,3,2,1,4,2,5,71,8,1,1,2,1,2,3,1,1,0,0,0,1,7,0,1,9,1,45,12,184
Béja,Amdoun,10060708901,م إبتدائية هنشير الدغرق - الحمراء  مكتب 1,0,0,1,2,1,1,31,1,1,0,3,2,5,0,1,2,2,0,0,0,0,0,0,3,0,10,5,71
Béja,Amdoun,10060809001,م إبتدائية هنشير بورويس - غزية  مكتب 1,1,1,0,1,1,0,117,8,0,2,0,0,3,0,0,2,1,1,0,1,3,0,0,13,0,5,6,166
Béja,Amdoun,10060909101,م إبتدائية مرج النصارى - بني مالك  مكتب 1,0,0,1,1,2,0,83,10,0,0,6,0,2,1,0,1,4,2,1,0,8,0,1,35,1,11,4,174
Béja,Amdoun,10061009201,م إبتدائية هنشير السخونة - الطرهوني  مكتب 1,2,1,0,2,2,1,128,12,0,0,2,0,6,0,1,4,1,2,0,1,3,0,1,46,0,9,3,227
Béja,Amdoun,10061109301,م إبتدائية القوسة   مكتب 1,3,1,1,5,2,3,162,19,1,3,3,3,4,1,0,4,3,3,2,0,4,0,1,20,0,15,18,281
Béja,Amdoun,10061209401,م إبتدائية الجوزة عمدون - الجوزة  مكتب 1,0,0,0,2,2,1,92,18,0,0,3,0,1,0,0,3,0,0,1,0,3,1,0,17,2,6,11,163
