circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,BejaNord,10020101401,م إبتدائية فكتور هيقو باجة الشمالية - باجة المدينة  مكتب 1,0,0,0,4,1,1,230,16,1,0,7,0,1,1,1,0,3,3,2,1,1,1,0,66,0,1,21,362
Béja,BejaNord,10020101402,م إبتدائية فكتور هيقو باجة الشمالية - باجة المدينة  مكتب 2,1,0,0,0,0,0,211,18,0,0,1,2,4,0,0,0,1,0,0,0,2,0,1,96,1,3,36,377
Béja,BejaNord,10020101403,م إبتدائية فكتور هيقو باجة الشمالية - باجة المدينة  مكتب 3,0,0,0,3,0,0,148,24,0,0,0,0,4,0,0,1,0,1,1,0,1,0,0,89,0,6,38,316
Béja,BejaNord,10020101404,م إبتدائية فكتور هيقو باجة الشمالية - باجة المدينة  مكتب 4,1,0,1,0,0,0,140,33,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,40,2,3,23,250
Béja,BejaNord,10020101501,م إبتدائية حشاد باجة الشمالية - باجة المدينة  مكتب 1,1,1,2,0,0,0,275,8,0,0,2,0,3,0,2,0,1,1,0,0,3,0,0,74,0,3,21,397
Béja,BejaNord,10020101502,م إبتدائية حشاد باجة الشمالية - باجة المدينة  مكتب 2,1,0,3,1,0,0,227,19,0,0,3,0,6,2,0,2,1,0,0,0,0,0,0,101,0,9,39,414
Béja,BejaNord,10020101503,م إبتدائية حشاد باجة الشمالية - باجة المدينة  مكتب 3,1,0,4,2,0,0,163,37,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,75,2,2,45,337
Béja,BejaNord,10020201601,م إبتدائية المزارة باجة - المزارة  مكتب 1,1,1,1,2,2,1,202,16,0,1,4,0,13,0,1,3,2,3,0,0,3,4,1,52,0,9,10,332
Béja,BejaNord,10020201602,م إبتدائية المزارة باجة - المزارة  مكتب 2,1,1,3,3,0,0,150,14,0,3,3,3,6,2,1,4,2,1,2,1,7,0,0,44,1,7,12,271
Béja,BejaNord,10020201603,م إبتدائية المزارة باجة - المزارة  مكتب 3,0,0,0,2,0,2,193,27,0,1,2,0,3,0,0,0,0,0,0,2,4,0,1,92,0,6,22,357
Béja,BejaNord,10020201604,م إبتدائية المزارة باجة - المزارة  مكتب 4,2,0,2,2,0,0,180,21,0,1,5,0,2,0,0,0,0,0,0,0,1,0,1,98,0,6,22,343
Béja,BejaNord,10020201605,م إبتدائية المزارة باجة - المزارة  مكتب 5,0,0,1,2,0,1,167,32,0,3,6,1,1,0,0,4,0,0,0,0,0,0,1,63,0,6,19,307
Béja,BejaNord,10020201606,م إبتدائية المزارة باجة - المزارة  مكتب 6,0,0,0,1,0,0,110,46,0,0,3,3,1,0,0,0,0,0,1,0,0,0,1,51,1,3,31,252
Béja,BejaNord,10020201701,م إبتدائية طريق عمدون حي السكر - المزارة  مكتب 1,0,0,2,3,2,2,235,14,0,2,1,0,6,1,0,2,0,0,0,0,2,0,0,54,2,11,27,366
Béja,BejaNord,10020201702,م إبتدائية طريق عمدون حي السكر - المزارة  مكتب 2,1,0,3,1,0,0,216,27,0,0,1,0,0,0,0,1,1,2,0,0,4,0,2,94,0,9,31,393
Béja,BejaNord,10020201703,م إبتدائية طريق عمدون حي السكر - المزارة  مكتب 3,0,0,5,2,0,1,198,29,0,1,4,0,2,0,0,0,1,0,0,0,2,0,1,102,0,5,36,389
Béja,BejaNord,10020201704,م إبتدائية طريق عمدون حي السكر - المزارة  مكتب 4,0,0,2,2,0,0,145,51,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,80,0,4,36,326
Béja,BejaNord,10020201801,م إبتدائية القلصادي - المزارة  مكتب 1,2,0,2,1,1,0,217,21,1,2,4,1,4,1,5,3,0,0,0,1,4,0,0,65,3,7,17,362
Béja,BejaNord,10020201802,م إبتدائية القلصادي - المزارة  مكتب 2,0,0,2,0,1,0,194,38,0,0,3,0,8,0,0,0,0,0,0,0,2,0,0,105,0,7,31,391
Béja,BejaNord,10020201803,م إبتدائية القلصادي - المزارة  مكتب 3,1,0,2,3,0,0,140,48,0,1,2,0,4,0,0,1,1,0,0,1,2,0,0,72,0,2,25,305
Béja,BejaNord,10020201901,م إبتدائية حي السكر 2 - المزارة  مكتب 1,1,0,3,2,0,0,216,21,4,0,1,0,5,0,1,0,0,0,1,0,2,0,1,86,0,4,19,367
Béja,BejaNord,10020201902,م إبتدائية حي السكر 2 - المزارة  مكتب 2,0,1,2,1,0,0,202,22,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,106,0,5,32,378
