#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
10010100101,م إبتدائية سيدي فرج   مكتب 1,3,2,3,3,2,1,288,16,0,1,6,1,6,0,1,1,1,0,2,0,3,0,2,70,1,6,34,453.0
10010100102,م إبتدائية سيدي فرج   مكتب 2,0,0,0,3,0,2,254,21,1,2,2,0,8,0,0,0,0,0,2,1,4,0,5,87,1,4,43,440.0
10010100103,م إبتدائية سيدي فرج   مكتب 3,0,0,2,3,0,1,262,31,0,0,1,0,2,1,0,0,0,0,0,0,2,0,1,109,0,6,49,470.0
10010100104,م إبتدائية سيدي فرج   مكتب 4,2,0,3,5,0,0,185,26,0,0,3,0,9,0,0,2,0,0,0,0,1,0,5,107,0,6,41,395.0
10010100105,م إبتدائية سيدي فرج   مكتب 5,0,0,3,1,0,0,166,44,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,72,3,2,59,354.0
10010200201,م إبتدائية شارع بورقيبة باجة - الهواري  مكتب 1,0,1,0,1,0,0,308,10,1,0,2,0,1,0,1,0,0,1,0,2,4,0,1,67,1,4,21,426.0
10010200202,م إبتدائية شارع بورقيبة باجة - الهواري  مكتب 2,0,0,0,3,1,0,248,17,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,73,1,3,41,393.0
10010200203,م إبتدائية شارع بورقيبة باجة - الهواري  مكتب 3,0,0,2,2,0,1,230,31,0,2,2,0,6,0,0,2,0,0,0,1,1,0,1,108,0,2,50,441.0
10010200204,م إبتدائية شارع بورقيبة باجة - الهواري  مكتب 4,0,0,2,2,0,0,233,18,0,1,0,0,5,0,0,2,0,0,0,1,1,0,0,116,0,2,40,423.0
10010200205,م إبتدائية شارع بورقيبة باجة - الهواري  مكتب 5,1,0,2,4,0,0,184,13,1,0,6,0,6,0,0,0,0,0,0,0,1,0,2,113,1,9,38,381.0
