circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,Goubellat,10070109501,م إبتدائية ابن سينا قبلاط   مكتب 1,2,0,1,2,2,0,105,24,1,1,2,1,4,2,3,3,2,3,1,1,4,0,0,24,0,7,14,209
Béja,Goubellat,10070109502,م إبتدائية ابن سينا قبلاط   مكتب 2,0,0,0,1,0,1,84,19,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,52,1,10,16,192
Béja,Goubellat,10070109503,م إبتدائية ابن سينا قبلاط   مكتب 3,0,0,4,0,1,1,41,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2,14,124
Béja,Goubellat,10070209601,م إبتدائية ابن خلدون قبلاط - القمرتي  مكتب 1,2,0,2,1,0,0,19,3,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,15,0,11,8,68
Béja,Goubellat,10070309701,م إبتدائية قرام   مكتب 1,4,1,1,2,3,1,81,25,0,1,3,1,3,0,1,0,0,2,0,2,6,0,3,34,3,22,21,220
Béja,Goubellat,10070409801,م إبتدائية دور اسماعيل  مكتب 1,2,1,2,1,0,1,119,17,1,1,7,1,1,1,0,1,0,0,0,0,1,0,2,74,1,4,13,251
Béja,Goubellat,10070409901,م إبتدائية التلة - دور إسماعيل  مكتب 1,2,1,0,0,0,1,12,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,5,0,29
Béja,Goubellat,10070510001,م إبتدائية بئر العش  مكتب 1,0,1,0,1,2,1,11,5,0,1,2,1,2,0,1,0,0,0,1,0,1,0,0,11,0,7,8,56
Béja,Goubellat,10070510101,م إبتدائية خنيقة الدهان - بئر العش  مكتب 1,0,0,0,2,0,0,55,30,0,1,6,1,2,1,1,0,1,0,1,0,2,0,0,29,1,8,40,181
Béja,Goubellat,10070510201,م إبتدائية سيدي نصر - بئر العش  مكتب 1,0,0,0,1,0,1,51,3,2,0,5,0,1,1,1,0,1,1,0,0,2,0,0,13,0,5,7,95
Béja,Goubellat,10070610301,م إبتدائية خشاب   مكتب 1,0,0,1,0,0,1,36,9,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,22,0,11,9,94
Béja,Goubellat,10070710401,م إبتدائية شيخ الوديان  مكتب 1,0,0,1,1,3,2,80,11,3,1,5,1,2,1,1,4,1,1,1,2,3,2,1,14,1,18,30,190
Béja,Goubellat,10070710402,م إبتدائية شيخ الوديان  مكتب 2,1,0,2,0,0,1,54,11,1,0,0,0,2,0,0,2,0,1,0,0,1,0,0,18,0,9,22,125
