circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,MejezElBab,10080110501,م إبتدائية الرحيبة مجاز الباب - مجاز الباب المدينة  مكتب 1,0,0,0,1,1,1,234,29,0,0,3,1,6,0,1,3,0,0,1,0,1,0,1,81,1,7,22,394
Béja,MejezElBab,10080110502,م إبتدائية الرحيبة مجاز الباب - مجاز الباب المدينة  مكتب 2,0,0,0,1,0,0,187,43,0,1,2,0,3,0,0,1,0,1,0,0,1,1,0,92,2,1,29,365
Béja,MejezElBab,10080110503,م إبتدائية الرحيبة مجاز الباب - مجاز الباب المدينة  مكتب 3,1,0,1,4,0,0,109,40,0,0,2,0,5,0,0,1,0,0,0,0,0,0,1,75,1,2,25,267
Béja,MejezElBab,10080210601,م إبتدائية نهج 18 جانفي 52 مجاز الباب - مجاز الباب الجنوبية  مكتب 1,2,1,3,5,0,2,173,19,0,1,5,1,4,1,1,2,0,1,1,0,4,0,0,48,1,9,16,300
Béja,MejezElBab,10080210602,م إبتدائية نهج 18 جانفي 52 مجاز الباب - مجاز الباب الجنوبية  مكتب 2,0,0,1,3,1,0,174,26,0,0,1,0,0,0,0,1,0,0,1,0,2,1,2,100,0,9,16,338
Béja,MejezElBab,10080210603,م إبتدائية نهج 18 جانفي 52 مجاز الباب - مجاز الباب الجنوبية  مكتب 3,1,0,4,0,1,3,122,40,1,1,1,0,2,0,0,2,0,0,0,0,1,0,1,95,1,11,29,316
Béja,MejezElBab,10080210604,م إبتدائية نهج 18 جانفي 52 مجاز الباب - مجاز الباب الجنوبية  مكتب 4,0,0,2,1,0,0,94,41,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,90,0,5,33,271
Béja,MejezElBab,10080310701,م إبتدائية سيدي مدين   مكتب 1,0,0,0,0,0,0,66,21,1,1,2,0,0,1,0,2,2,0,0,1,3,0,1,83,0,1,5,190
Béja,MejezElBab,10080310702,م إبتدائية سيدي مدين   مكتب 2,0,0,0,3,0,0,31,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,96,0,2,3,164
Béja,MejezElBab,10080410801,م إبتدائية القصر تستور  مكتب 1,0,2,2,2,1,1,106,14,0,0,2,0,5,0,0,0,0,0,0,0,4,0,0,96,0,10,10,255
