circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,Nefza,10090112301,م إبتدائية الجمهورية نفزة - نفزة الشرقية  مكتب 1,2,1,2,5,0,1,238,20,0,2,6,0,1,1,0,3,2,3,1,0,2,1,1,64,1,17,24,398
Béja,Nefza,10090112302,م إبتدائية الجمهورية نفزة - نفزة الشرقية  مكتب 2,0,1,0,2,0,2,225,26,0,0,2,1,3,0,0,3,1,0,0,0,4,0,0,100,1,8,45,424
Béja,Nefza,10090112303,م إبتدائية الجمهورية نفزة - نفزة الشرقية  مكتب 3,0,0,1,0,0,0,147,27,0,1,0,2,2,0,1,1,0,1,0,0,2,0,1,64,0,11,29,290
Béja,Nefza,10090112401,م إبتدائية العهد الجديد - نفزة الشرقية  مكتب 1,1,0,0,1,0,3,182,16,0,1,1,1,2,0,0,1,1,0,0,0,5,0,1,104,1,12,40,373
Béja,Nefza,10090112402,م إبتدائية العهد الجديد - نفزة الشرقية  مكتب 2,1,0,0,0,0,0,138,32,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,77,0,5,39,297
Béja,Nefza,10090212501,م إبتدائية نفزة مهيري - نفزة الغربية  مكتب 1,3,0,1,1,2,0,232,19,1,0,2,1,7,0,0,2,0,4,0,0,2,0,2,92,0,16,35,422
Béja,Nefza,10090212502,م إبتدائية نفزة مهيري - نفزة الغربية  مكتب 2,1,0,4,1,0,2,169,25,3,1,6,1,3,0,0,1,1,3,0,1,4,0,1,129,0,9,39,404
Béja,Nefza,10090212503,م إبتدائية نفزة مهيري - نفزة الغربية  مكتب 3,0,1,2,2,0,0,159,21,1,1,4,0,3,1,0,0,0,0,0,0,1,1,1,132,1,9,67,407
Béja,Nefza,10090212504,م إبتدائية نفزة مهيري - نفزة الغربية  مكتب 4,0,0,1,2,2,0,137,24,0,0,2,0,4,0,0,1,0,0,0,0,1,0,1,100,0,14,45,334
Béja,Nefza,10090212505,م إبتدائية نفزة مهيري - نفزة الغربية  مكتب 5,0,0,0,0,1,0,118,39,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,78,0,1,42,282
