circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,Testour,10040105301,م إبتدائية بن عطية تستور 1 - تستور  مكتب 1,2,0,2,0,1,0,256,10,0,2,3,0,5,0,1,1,0,3,0,0,5,0,1,68,0,8,32,400
Béja,Testour,10040105302,م إبتدائية بن عطية تستور 1 - تستور  مكتب 2,0,0,1,2,0,2,220,25,0,0,2,1,3,1,1,2,1,2,1,0,4,1,2,76,0,8,23,378
Béja,Testour,10040105303,م إبتدائية بن عطية تستور 1 - تستور  مكتب 3,2,0,0,3,1,0,240,19,0,0,3,0,4,1,1,0,0,0,0,0,2,0,1,98,0,9,46,430
Béja,Testour,10040105304,م إبتدائية بن عطية تستور 1 - تستور  مكتب 4,3,0,4,2,0,0,233,21,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,90,0,4,32,396
Béja,Testour,10040105305,م إبتدائية بن عطية تستور 1 - تستور  مكتب 5,0,1,2,3,0,1,151,26,0,3,5,0,1,0,0,4,1,1,0,0,0,0,2,88,1,7,44,341
Béja,Testour,10040105306,م إبتدائية بن عطية تستور 1 - تستور  مكتب 6,1,0,3,2,0,0,127,58,0,0,5,0,2,0,0,0,1,0,0,1,1,0,0,65,0,1,48,315
Béja,Testour,10040105401,م إبتدائية حي غرناطة تستور  مكتب 1,2,1,2,3,0,0,149,7,1,2,4,0,6,3,2,0,0,3,0,2,7,1,0,27,1,9,44,276
Béja,Testour,10040105402,م إبتدائية حي غرناطة تستور  مكتب 2,1,0,0,3,0,1,107,14,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,36,0,11,61,240
Béja,Testour,10040105501,م إبتدائية حي الروضة السلوقية - تستور  مكتب 1,1,0,0,3,2,0,108,24,0,1,2,0,6,0,2,2,0,0,0,0,4,0,0,26,0,10,13,204
Béja,Testour,10040205601,م إبتدائية ابن خلدون تستور 1 - 26 فيفري  مكتب 1,9,1,2,4,1,0,178,14,6,2,0,0,5,2,1,1,3,1,1,1,7,1,0,50,1,5,24,320
