circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Béja,Thibar,10050107301,م إبتدائية شارع بورقيبة تيبار  مكتب 1,1,0,0,6,0,1,232,14,2,1,5,1,2,1,0,4,1,0,1,1,4,0,0,33,2,3,11,326
Béja,Thibar,10050107302,م إبتدائية شارع بورقيبة تيبار  مكتب 2,0,0,1,2,2,0,214,21,0,0,1,0,4,1,3,5,0,2,1,2,4,0,2,50,0,3,24,342
Béja,Thibar,10050107303,م إبتدائية شارع بورقيبة تيبار  مكتب 3,1,0,0,1,0,0,179,31,0,0,0,0,10,0,0,0,1,0,0,0,2,0,0,67,2,4,18,316
Béja,Thibar,10050107304,م إبتدائية شارع بورقيبة تيبار  مكتب 4,0,0,1,2,1,0,94,35,0,0,1,0,4,0,0,0,0,0,0,0,1,0,3,42,0,5,13,202
Béja,Thibar,10050207401,م إبتدائية دجبة 1 - دجبة  مكتب 1,3,0,2,2,2,2,182,10,0,2,3,1,9,1,1,2,1,1,0,0,2,2,0,59,0,3,15,305
Béja,Thibar,10050207402,م إبتدائية دجبة 1 - دجبة  مكتب 2,0,1,1,2,0,0,142,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,63,1,6,16,250
Béja,Thibar,10050207501,م إبتدائية دجبة 2 - دجبة  مكتب 1,2,1,0,3,2,2,85,14,1,4,2,2,2,0,1,1,1,0,2,1,3,3,0,55,2,3,10,202
Béja,Thibar,10050207502,م إبتدائية دجبة 2 - دجبة  مكتب 2,0,0,0,0,0,1,65,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,10,185
Béja,Thibar,10050307601,م إبتدائية عين الدفالي   مكتب 1,1,2,1,2,1,0,105,10,1,2,2,0,3,0,1,3,2,0,1,1,6,1,0,28,1,5,10,189
Béja,Thibar,10050307701,م إبتدائية بلعيش - عين الدفالي  مكتب 1,0,1,0,1,1,0,25,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,5,0,50
Béja,Thibar,10050407801,م إبتدائية النشيمة   مكتب 1,0,0,1,0,0,0,139,11,1,0,4,0,5,1,0,0,0,0,1,0,1,0,1,30,1,19,28,243
