circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gabes,GabesOuest,25050106401,م إبتدائية الرماثي   مكتب 1,0,0,1,0,1,1,39,10,0,1,1,0,0,1,0,0,0,0,1,2,2,0,0,116,0,5,1,182
Gabes,GabesOuest,25050106501,م إبتدائية القواندة - الرماثي  مكتب 1,1,1,0,1,0,4,25,6,0,0,3,0,2,1,0,1,0,0,0,0,2,1,0,139,0,3,1,191
Gabes,GabesOuest,25050106502,م إبتدائية القواندة - الرماثي  مكتب 2,0,0,0,0,0,1,13,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1,0,125
Gabes,GabesOuest,25050206601,م إبتدائية بوشمة  مكتب 1,1,1,2,0,0,3,81,17,0,0,0,0,5,1,2,3,2,0,1,0,1,1,2,207,0,12,11,353
Gabes,GabesOuest,25050206602,م إبتدائية بوشمة  مكتب 2,0,0,2,1,1,3,73,28,0,0,0,1,3,1,0,1,2,0,0,0,0,0,0,226,0,6,8,356
Gabes,GabesOuest,25050206603,م إبتدائية بوشمة  مكتب 3,0,0,0,1,0,1,50,33,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,263,0,7,6,366
Gabes,GabesOuest,25050206604,م إبتدائية بوشمة  مكتب 4,0,0,1,0,0,2,42,26,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,238,0,2,13,329
Gabes,GabesOuest,25050206605,م إبتدائية بوشمة  مكتب 5,0,0,2,0,0,0,46,34,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,204,0,8,11,311
Gabes,GabesOuest,25050206701,م إبتدائية  2مارس 34 بوشمة  مكتب 1,1,1,0,5,0,5,44,10,3,2,5,0,4,1,4,0,4,3,2,2,1,1,0,246,0,17,3,364
Gabes,GabesOuest,25050206702,م إبتدائية  2مارس 34 بوشمة  مكتب 2,0,0,2,1,2,2,41,13,0,0,1,0,1,0,3,2,0,0,1,0,0,0,0,323,2,13,3,410
Gabes,GabesOuest,25050206703,م إبتدائية  2مارس 34 بوشمة  مكتب 3,0,0,1,1,0,1,40,17,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,307,0,24,2,398
Gabes,GabesOuest,25050206704,م إبتدائية  2مارس 34 بوشمة  مكتب 4,2,0,0,0,0,2,19,15,1,0,2,0,0,0,0,1,0,0,0,0,4,1,0,269,0,13,3,332
Gabes,GabesOuest,25050206705,م إبتدائية  2مارس 34 بوشمة  مكتب 5,0,0,0,0,0,1,14,13,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,257,0,9,1,300
Gabes,GabesOuest,25050206706,م إبتدائية  2مارس 34 بوشمة  مكتب 6,0,0,0,0,0,0,41,16,0,0,6,0,1,0,0,2,1,0,0,0,0,0,1,249,0,25,7,349
Gabes,GabesOuest,25050306801,م إبتدائية النحال  مكتب 1,2,0,1,2,0,0,73,13,1,0,3,0,6,1,0,2,0,0,1,1,3,0,0,219,0,6,7,341
Gabes,GabesOuest,25050306802,م إبتدائية النحال  مكتب 2,0,0,3,0,0,0,55,12,0,0,0,0,5,0,0,2,0,0,0,0,1,0,1,270,0,2,10,361
Gabes,GabesOuest,25050306803,م إبتدائية النحال  مكتب 3,0,0,0,0,0,2,47,32,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,215,1,5,15,320
Gabes,GabesOuest,25050406901,م إبتدائية سيدي عبد الظاهر - الجواولة  مكتب 1,0,1,3,2,0,1,33,12,1,0,3,0,6,0,2,0,2,0,2,1,2,0,4,240,0,8,2,325
Gabes,GabesOuest,25050406902,م إبتدائية سيدي عبد الظاهر - الجواولة  مكتب 2,0,0,0,3,0,1,31,14,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,283,0,3,6,347
Gabes,GabesOuest,25050406903,م إبتدائية سيدي عبد الظاهر - الجواولة  مكتب 3,0,0,0,0,0,0,20,32,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,248,0,4,1,308
Gabes,GabesOuest,25050507001,م إبتدائية الخوارزمي شنني - شنني الشمالية  مكتب 1,0,0,1,1,0,2,52,12,0,0,2,0,3,2,0,3,3,1,0,0,3,2,1,244,1,18,5,356
Gabes,GabesOuest,25050507002,م إبتدائية الخوارزمي شنني - شنني الشمالية  مكتب 2,1,0,1,1,0,2,52,18,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,292,0,9,5,387
Gabes,GabesOuest,25050507003,م إبتدائية الخوارزمي شنني - شنني الشمالية  مكتب 3,0,0,2,0,0,2,26,24,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,240,0,7,11,315
Gabes,GabesOuest,25050607101,م إبتدائية علي بن بلقاسم شنني - شنني الشرقية   مكتب 1,0,1,2,3,1,1,74,17,0,0,2,0,6,1,0,1,3,0,2,1,4,0,1,281,0,6,10,417
Gabes,GabesOuest,25050607102,م إبتدائية علي بن بلقاسم شنني - شنني الشرقية   مكتب 2,0,0,0,1,0,0,52,26,0,2,5,0,6,0,0,1,0,0,0,0,0,0,0,323,0,7,15,438
Gabes,GabesOuest,25050607103,م إبتدائية علي بن بلقاسم شنني - شنني الشرقية   مكتب 3,0,0,0,0,0,0,47,28,0,0,2,0,2,0,0,3,0,0,0,0,1,0,0,247,0,4,13,347
Gabes,GabesOuest,25050607201,م إبتدائية بدورة - شنني الشرقية   مكتب 1,0,0,0,2,1,3,49,16,1,0,4,0,1,0,1,0,0,0,1,0,0,0,3,201,0,10,11,304
Gabes,GabesOuest,25050607202,م إبتدائية بدورة - شنني الشرقية   مكتب 2,1,0,0,0,0,0,38,8,0,1,2,0,0,0,0,0,1,0,0,1,2,0,0,217,0,16,8,295
Gabes,GabesOuest,25050607203,م إبتدائية بدورة - شنني الشرقية   مكتب 3,0,0,0,0,0,3,34,23,0,0,4,0,0,0,0,1,1,0,0,0,1,0,0,184,0,11,8,270
Gabes,GabesOuest,25050707301,م إبتدائية شنني التجريبية - شنني الغربية  مكتب 1,0,1,1,2,1,2,87,27,0,0,4,1,5,0,0,2,0,2,1,1,4,0,0,278,1,7,13,440
Gabes,GabesOuest,25050707302,م إبتدائية شنني التجريبية - شنني الغربية  مكتب 2,0,0,3,2,0,0,36,35,0,1,4,0,2,0,1,1,0,0,0,1,0,0,0,287,0,8,23,404
