#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
25040104401,م إبتدائية تبلبو  مكتب 1,0,0,1,2,0,2,86,13,2,1,5,0,1,0,0,2,4,2,1,0,3,2,1,211,1,13,40,393
25040104402,م إبتدائية تبلبو  مكتب 2,1,0,0,4,1,6,47,6,1,1,1,1,4,0,3,1,2,1,1,0,2,0,1,234,0,9,30,357
25040104403,م إبتدائية تبلبو  مكتب 3,0,1,0,1,0,5,59,10,0,0,0,0,2,0,0,2,1,0,0,0,0,0,2,306,0,12,47,448
25040104404,م إبتدائية تبلبو  مكتب 4,0,0,2,2,0,2,41,13,1,2,1,0,3,1,0,0,0,0,0,1,0,0,0,279,0,6,41,395
25040104405,م إبتدائية تبلبو  مكتب 5,0,0,1,1,0,1,40,26,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,255,0,8,25,362
25040104406,م إبتدائية تبلبو  مكتب 6,1,0,0,0,0,2,28,19,0,0,2,0,3,1,0,1,0,0,0,0,1,0,0,234,0,6,27,325
25040104407,م إبتدائية تبلبو  مكتب 7,1,0,1,0,0,3,43,30,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,221,0,14,28,347
25040104501,م إبتدائية   14 جانفي تبلبو  مكتب 1,0,0,2,2,1,2,23,11,0,0,4,0,2,0,2,0,0,0,0,1,1,0,0,162,1,13,6,233
25040104601,م إبتدائية مطرش - تبلبو  مكتب 1,1,1,2,0,1,6,93,10,0,1,3,2,10,0,0,1,0,0,0,0,4,0,2,204,0,8,24,373
25040104602,م إبتدائية مطرش - تبلبو  مكتب 2,0,0,3,0,0,7,76,12,0,0,5,0,6,0,1,0,0,1,0,0,2,0,1,242,0,6,37,399
