#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
25060107401,م إبتدائية شارع بورقيبة - المنطقة الأولى  مكتب 1,1,0,2,3,0,13,199,12,1,0,3,0,2,0,0,0,1,2,0,0,2,1,1,165,0,5,29,442.0
25060107402,م إبتدائية شارع بورقيبة - المنطقة الأولى  مكتب 2,0,1,2,1,1,10,181,18,0,1,1,0,3,1,0,2,0,0,0,1,2,0,3,210,2,6,25,471.0
25060107403,م إبتدائية شارع بورقيبة - المنطقة الأولى  مكتب 3,0,0,3,2,0,2,121,22,0,0,2,0,1,0,0,2,1,0,0,0,1,0,0,267,0,6,20,450.0
25060107404,م إبتدائية شارع بورقيبة - المنطقة الأولى  مكتب 4,0,0,2,0,0,4,99,30,0,1,3,0,5,0,0,2,0,0,0,1,0,0,1,195,0,3,34,380.0
25060107405,م إبتدائية شارع بورقيبة - المنطقة الأولى  مكتب 5,0,0,1,0,0,4,79,32,0,0,3,0,9,0,0,1,0,1,0,0,0,0,2,143,0,9,35,319.0
25060107501,م إبتدائية علي الجمل قابس - المنطقة الأولى  مكتب 1,0,0,2,2,0,3,97,13,0,1,0,0,4,0,0,1,0,0,0,0,2,0,3,172,0,7,8,315.0
25060107502,م إبتدائية علي الجمل قابس - المنطقة الأولى  مكتب 2,0,0,1,0,0,3,37,23,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,178,0,10,18,277.0
25060107601,م إبتدائية الفوز نهج البشير الجزيري - المنطقة الأولى  مكتب 1,2,1,0,0,1,3,87,16,0,1,0,0,5,0,1,2,0,0,1,0,2,2,0,239,0,10,14,387.0
25060107602,م إبتدائية الفوز نهج البشير الجزيري - المنطقة الأولى  مكتب 2,1,0,1,1,1,2,80,11,1,0,1,1,3,0,1,2,0,0,0,1,1,0,1,252,0,4,19,384.0
25060107603,م إبتدائية الفوز نهج البشير الجزيري - المنطقة الأولى  مكتب 3,2,0,1,1,0,1,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,12,26,405.0
25060107604,م إبتدائية الفوز نهج البشير الجزيري - المنطقة الأولى  مكتب 4,0,0,0,0,0,1,66,19,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,283,0,5,18,399.0
25060107605,م إبتدائية الفوز نهج البشير الجزيري - المنطقة الأولى  مكتب 5,0,0,1,0,0,2,54,22,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,256,0,6,16,361.0
25060107606,م إبتدائية الفوز نهج البشير الجزيري - المنطقة الأولى  مكتب 6,0,0,2,0,0,1,51,30,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,202,0,11,26,329.0
