#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
25030103701,م إبتدائية غنوش الشرقية   مكتب 1,0,0,0,2,1,2,51,5,3,0,0,2,2,2,0,1,3,1,2,0,4,1,1,195,0,7,0,285.0
25030103702,م إبتدائية غنوش الشرقية   مكتب 2,0,0,1,0,0,0,27,6,0,1,1,1,3,1,0,0,0,1,1,0,0,1,3,281,0,5,2,335.0
25030103703,م إبتدائية غنوش الشرقية   مكتب 3,0,0,0,0,0,3,21,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,243,0,3,2,282.0
25030103704,م إبتدائية غنوش الشرقية   مكتب 4,0,0,0,0,0,0,28,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,219,2,2,1,266.0
25030103801,م إبتدائية غنوش الغربية - غنوش الشرقية  مكتب 1,0,0,1,2,1,2,68,9,0,1,2,1,4,2,0,0,0,0,1,0,5,1,2,278,0,7,1,388.0
25030103802,م إبتدائية غنوش الغربية - غنوش الشرقية  مكتب 2,0,0,0,1,0,0,32,5,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,320,0,8,0,372.0
25030103803,م إبتدائية غنوش الغربية - غنوش الشرقية  مكتب 3,0,0,0,0,0,0,35,10,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,251,0,10,0,310.0
25030103901,م إبتدائية طارق ابن زياد غنوش - غنوش الشرقية  مكتب 1,0,0,0,3,0,0,40,8,0,0,5,0,0,0,0,1,0,1,0,0,4,0,1,232,0,8,0,303.0
25030103902,م إبتدائية طارق ابن زياد غنوش - غنوش الشرقية  مكتب 2,1,0,0,0,0,1,20,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,1,1,4,224.0
25030204001,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 1,3,1,0,2,2,0,43,1,0,0,2,2,2,2,2,2,1,0,5,1,7,1,1,246,1,8,5,340.0
25030204002,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 2,0,2,0,2,2,0,38,5,1,1,0,0,1,0,1,2,2,1,1,2,2,0,0,235,1,8,1,308.0
25030204003,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 3,0,0,0,1,1,0,39,6,0,0,0,0,2,0,1,2,1,0,1,1,2,1,0,309,0,7,2,376.0
25030204004,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 4,0,0,0,1,0,0,24,6,0,0,3,0,1,0,0,0,0,1,1,0,1,0,3,299,1,2,2,345.0
25030204005,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 5,0,0,0,0,0,1,35,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,261,0,7,1,314.0
25030204006,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 6,0,0,0,0,0,0,21,9,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,244,0,4,2,285.0
25030204007,م إبتدائية غنوش الشمالية - غنوش الغربية  مكتب 7,0,0,0,0,0,0,28,14,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,238,1,4,5,294.0
25030204101,م إبتدائية الحي الشعبي غنوش التحرير - غنوش الغربية  مكتب 1,0,1,1,1,0,2,67,2,1,1,4,1,4,2,0,0,1,0,0,1,3,0,2,258,0,21,4,377.0
25030204102,م إبتدائية الحي الشعبي غنوش التحرير - غنوش الغربية  مكتب 2,0,0,1,2,0,0,24,6,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,233,0,23,7,302.0
25030204201,م إبتدائية غنوش الجديدة - غنوش الغربية  مكتب 1,3,0,0,1,0,1,33,2,0,0,1,0,4,0,0,0,1,0,1,0,1,0,2,210,0,7,1,268.0
25030204202,م إبتدائية غنوش الجديدة - غنوش الغربية  مكتب 2,0,0,1,0,0,0,22,6,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,174,1,8,1,219.0
25030304301,م إبتدائية غنوش الشاطئ - غنوش الشمالية  مكتب 1,0,0,0,1,2,5,51,4,1,0,0,0,5,1,0,0,1,3,0,0,1,1,1,320,0,2,4,403.0
25030304302,م إبتدائية غنوش الشاطئ - غنوش الشمالية  مكتب 2,1,0,0,0,0,1,30,9,1,0,2,0,3,0,0,0,2,0,0,0,0,0,3,308,0,2,4,366.0
25030304303,م إبتدائية غنوش الشاطئ - غنوش الشمالية  مكتب 3,0,0,2,0,0,1,22,14,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,269,0,1,2,315.0
مجموع أصوات القائمة,8,4,7,19,9,19,799,158,7,6,29,8,40,12,5,12,13,8,14,5,38,6,27,5810,8,155,51,7277,
