circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gabes,Hamma,25010100101,م إبتدائية الواحة الحامة - المنطقة الشمالية  مكتب 1,2,0,0,0,1,2,38,15,1,0,3,0,4,0,1,1,3,2,0,0,2,1,2,289,1,5,2,375
Gabes,Hamma,25010100102,م إبتدائية الواحة الحامة - المنطقة الشمالية  مكتب 2,0,0,2,1,2,1,25,30,0,1,2,0,0,1,0,0,2,0,0,1,2,0,0,300,1,7,8,386
Gabes,Hamma,25010100103,م إبتدائية الواحة الحامة - المنطقة الشمالية  مكتب 3,1,0,0,0,0,0,19,34,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,287,0,2,3,351
Gabes,Hamma,25010100201,م إبتدائية الصماريـــة - المنطقة الشمالية  مكتب 1,0,0,2,1,0,1,21,8,0,1,6,1,1,0,1,1,0,2,2,0,2,0,0,182,0,6,2,240
Gabes,Hamma,25010100202,م إبتدائية الصماريـــة - المنطقة الشمالية  مكتب 2,1,1,3,0,1,0,8,16,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,153,0,4,2,193
Gabes,Hamma,25010200301,م إبتدائية القصر الحامة - القصر  مكتب 1,1,0,2,1,1,4,63,25,1,0,4,1,1,0,1,2,1,1,0,1,4,0,2,300,0,5,8,429
Gabes,Hamma,25010200302,م إبتدائية القصر الحامة - القصر  مكتب 2,1,2,1,1,1,4,36,27,1,0,2,1,3,1,2,1,3,1,0,0,1,1,1,271,1,5,12,380
Gabes,Hamma,25010200303,م إبتدائية القصر الحامة - القصر  مكتب 3,0,0,3,1,0,0,50,29,0,0,6,0,1,0,1,1,0,0,0,0,3,1,0,332,0,5,19,452
Gabes,Hamma,25010200304,م إبتدائية القصر الحامة - القصر  مكتب 4,0,0,1,0,0,0,38,24,0,0,7,0,2,0,0,0,2,0,1,0,0,0,0,337,0,4,12,428
Gabes,Hamma,25010200305,م إبتدائية القصر الحامة - القصر  مكتب 5,0,0,1,1,0,1,36,25,0,0,3,0,2,0,0,1,1,0,0,0,2,0,0,298,0,3,8,382
Gabes,Hamma,25010200306,م إبتدائية القصر الحامة - القصر  مكتب 6,0,0,0,0,1,0,31,34,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,285,0,3,7,369
Gabes,Hamma,25010200307,م إبتدائية القصر الحامة - القصر  مكتب 7,1,0,2,1,0,0,29,48,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,266,0,4,7,363
Gabes,Hamma,25010200401,م إبتدائية محمد علي الحامة - القصر  مكتب 1,1,0,0,0,0,0,49,12,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,216,0,1,9,295
Gabes,Hamma,25010200402,م إبتدائية محمد علي الحامة - القصر  مكتب 2,0,0,1,0,0,0,25,14,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,186,0,1,10,243
Gabes,Hamma,25010300501,م إبتدائية ساحة الدغباجي الحامة - المنطقة الشرقية (1)  مكتب 1,0,0,3,1,0,0,70,20,0,0,0,0,0,1,2,1,1,0,2,0,4,0,1,249,2,5,11,373
Gabes,Hamma,25010300502,م إبتدائية ساحة الدغباجي الحامة - المنطقة الشرقية (1)  مكتب 2,0,0,2,0,0,0,61,22,0,0,3,0,1,0,1,1,1,1,0,0,2,0,0,320,0,6,15,436
Gabes,Hamma,25010300503,م إبتدائية ساحة الدغباجي الحامة - المنطقة الشرقية (1)  مكتب 3,0,0,0,0,0,0,46,36,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,283,0,6,8,385
Gabes,Hamma,25010300504,م إبتدائية ساحة الدغباجي الحامة - المنطقة الشرقية (1)  مكتب 4,0,0,1,0,0,0,38,18,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,252,1,2,11,326
Gabes,Hamma,25010300505,م إبتدائية ساحة الدغباجي الحامة - المنطقة الشرقية (1)  مكتب 5,0,0,0,0,0,0,31,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,231,0,4,8,299
Gabes,Hamma,25010300601,م إبتدائية  14 جانفي الحامة - المنطقة الشرقية (1)  مكتب 1,2,0,0,1,0,0,31,22,0,0,2,0,0,0,1,0,2,0,0,0,1,0,0,157,1,5,4,229
Gabes,Hamma,25010300602,م إبتدائية  14 جانفي الحامة - المنطقة الشرقية (1)  مكتب 2,0,0,0,0,0,0,14,15,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,180,0,1,2,216
Gabes,Hamma,25010400701,م إبتدائية الدبدابة الحامة - المنطقة الشرقية (2)  مكتب 1,2,0,0,3,0,3,50,8,0,0,3,3,3,2,7,1,6,2,1,1,4,0,1,302,2,9,7,420
Gabes,Hamma,25010400702,م إبتدائية الدبدابة الحامة - المنطقة الشرقية (2)  مكتب 2,2,0,0,2,4,4,39,12,1,2,2,0,2,2,0,1,3,3,0,1,3,0,1,308,1,6,8,407
Gabes,Hamma,25010400703,م إبتدائية الدبدابة الحامة - المنطقة الشرقية (2)  مكتب 3,0,0,1,0,1,0,49,27,0,0,7,0,0,1,0,0,0,1,0,0,3,0,0,365,0,2,7,464
Gabes,Hamma,25010400704,م إبتدائية الدبدابة الحامة - المنطقة الشرقية (2)  مكتب 4,1,0,1,1,0,1,27,16,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,339,0,2,7,398
Gabes,Hamma,25010400705,م إبتدائية الدبدابة الحامة - المنطقة الشرقية (2)  مكتب 5,1,0,0,0,0,1,27,26,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,319,1,2,1,385
Gabes,Hamma,25010400706,م إبتدائية الدبدابة الحامة - المنطقة الشرقية (2)  مكتب 6,1,0,0,0,0,1,30,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,283,0,4,6,355
