circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gabes,Mareth,25070108401,م إبتدائية  2مارس 34 مارث  مكتب 1,0,0,2,3,1,0,111,13,2,2,4,1,5,1,2,3,0,1,0,1,7,0,4,191,1,12,8,375
Gabes,Mareth,25070108402,م إبتدائية  2مارس 34 مارث  مكتب 2,0,0,1,1,0,1,79,13,0,0,7,1,2,0,1,2,2,1,0,0,4,0,3,260,0,12,12,402
Gabes,Mareth,25070108403,م إبتدائية  2مارس 34 مارث  مكتب 3,2,1,2,0,0,0,68,15,0,0,4,0,1,1,0,1,0,0,0,0,1,0,1,286,1,14,4,402
Gabes,Mareth,25070108404,م إبتدائية  2مارس 34 مارث  مكتب 4,1,0,2,0,0,0,29,19,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,242,0,4,5,306
Gabes,Mareth,25070108405,م إبتدائية  2مارس 34 مارث  مكتب 5,1,0,3,0,0,0,42,16,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,204,1,12,10,294
Gabes,Mareth,25070108501,م إبتدائية البطاهرة1 - مارث   مكتب 1,0,0,0,0,0,0,16,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,64,0,1,2,87
Gabes,Mareth,25070108601,م إبتدائية سيدي يحي مارث   مكتب 1,0,0,1,0,2,1,29,11,0,2,1,0,1,0,0,1,1,0,1,1,1,0,0,166,0,7,4,230
Gabes,Mareth,25070108701,م إبتدائية العزائزة - مارث   مكتب 1,1,1,1,0,0,0,14,4,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,88,0,6,0,122
Gabes,Mareth,25070108801,م إبتدائية المظيلة مارث   مكتب 1,0,0,0,1,0,4,12,5,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,123,0,15,0,166
Gabes,Mareth,25070108901,م إبتدائية البطاهرة العهد الجديد - مارث   مكتب 1,0,0,0,0,1,0,8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,58,0,2,0,74
