#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
25080112801,م إبتدائية مطماطة   مكتب 1,0,2,1,2,0,2,48,12,0,2,0,0,2,2,0,1,1,1,1,1,7,2,0,160,1,9,5,262.0
25080112802,م إبتدائية مطماطة   مكتب 2,0,0,1,0,0,1,44,19,0,1,2,0,1,0,0,2,0,0,0,0,1,0,0,195,1,9,6,283.0
25080112901,م إبتدائية حافي رأسه - مطماطة  مكتب 1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,19,0,1,0,27.0
25080113001,م إبتدائية السماعلة - مطماطة  مكتب 1,0,0,0,0,1,2,12,1,0,1,1,1,1,2,3,0,0,0,1,1,0,1,0,39,0,0,0,67.0
25080113101,م إبتدائية القصر مطماطة  مكتب 1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,26,0,4,0,38.0
25080213201,م إبتدائية تشين   مكتب 1,1,0,1,1,0,0,24,4,0,1,5,1,0,1,1,0,0,1,3,2,1,0,0,110,0,17,1,175.0
25080213301,م إبتدائية الزريبة - تشين  مكتب 1,1,1,0,2,0,0,10,10,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,44,0,5,0,76.0
25080313401,م إبتدائية تمزرط   مكتب 1,1,0,0,0,1,1,13,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,103,0,2,2,133.0
25080313501,م إبتدائية تاوجوت - طمزرط  مكتب 1,0,0,0,0,0,0,36,21,0,0,1,0,0,2,0,1,0,0,1,1,1,0,1,29,0,2,3,99.0
مجموع أصوات القائمة,5,3,3,5,2,7,189,75,0,5,9,4,4,7,5,5,2,4,7,5,12,5,4,725,2,49,17,1160,
