circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gabes,MatmataEljadida,25090113601,م إبتدائية  2مارس 34 مطماطة الجديدة  مكتب 1,1,0,0,0,1,5,59,10,1,0,4,2,6,4,1,1,3,4,0,0,9,1,2,205,0,26,4,349
Gabes,MatmataEljadida,25090113602,م إبتدائية  2مارس 34 مطماطة الجديدة  مكتب 2,0,0,0,4,2,1,67,10,0,0,3,2,3,0,1,2,0,1,0,0,2,1,0,256,0,16,4,375
Gabes,MatmataEljadida,25090113603,م إبتدائية  2مارس 34 مطماطة الجديدة  مكتب 3,0,0,1,2,0,0,35,13,0,0,3,0,3,0,0,1,0,0,0,0,0,0,1,264,0,12,6,341
Gabes,MatmataEljadida,25090113604,م إبتدائية  2مارس 34 مطماطة الجديدة  مكتب 4,0,0,1,0,0,0,28,15,0,0,4,0,1,1,0,2,1,0,0,0,1,0,0,222,0,4,2,282
Gabes,MatmataEljadida,25090113701,م إبتدائية حي النور - مطماطة الجديدة  مكتب 1,2,0,5,4,1,3,45,10,3,1,6,0,4,0,0,1,2,2,2,0,5,1,0,221,0,15,1,334
Gabes,MatmataEljadida,25090113702,م إبتدائية حي النور - مطماطة الجديدة  مكتب 2,0,1,2,0,0,0,47,9,0,0,3,0,1,0,2,1,3,0,1,0,2,1,0,281,0,9,2,365
Gabes,MatmataEljadida,25090113703,م إبتدائية حي النور - مطماطة الجديدة  مكتب 3,2,0,0,0,0,0,19,21,0,0,7,0,0,0,0,2,0,0,1,0,1,0,0,219,2,9,1,284
Gabes,MatmataEljadida,25090213801,م إبتدائية الأفام - هداج  مكتب 1,1,1,0,1,1,4,22,11,0,0,4,1,5,0,3,4,1,0,2,1,4,0,0,122,2,15,3,208
Gabes,MatmataEljadida,25090213901,م إبتدائية هداج   مكتب 1,0,0,0,1,0,1,11,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,20,0,5,0,45
Gabes,MatmataEljadida,25090214001,م إبتدائية الذكارة - هداج  مكتب 1,0,0,0,2,1,0,14,7,1,2,2,0,4,1,2,0,0,0,1,0,1,0,0,76,1,7,4,126
Gabes,MatmataEljadida,25090214101,م إبتدائية زاتن الجديدة مطماطة - هداج  مكتب 1,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,22,0,4,0,44
Gabes,MatmataEljadida,25090314201,م إبتدائية زراوة الجديدة  مكتب 1,1,0,1,3,1,0,25,14,1,0,0,1,3,1,3,0,4,0,1,1,5,3,1,285,0,2,2,358
Gabes,MatmataEljadida,25090314202,م إبتدائية زراوة الجديدة  مكتب 2,0,0,0,1,0,0,18,8,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,302,0,4,1,340
Gabes,MatmataEljadida,25090414301,م إبتدائية بني عيسى الجديدة الأمل   مكتب 1,1,0,0,2,1,2,7,6,0,1,1,0,2,0,1,0,0,0,2,0,0,2,2,41,0,8,0,79
Gabes,MatmataEljadida,25090414401,م إبتدائية شعبة الشملالي - بني عيسى الجديدة  مكتب 1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,2,0,0,1,1,1,0,22,0,3,1,37
Gabes,MatmataEljadida,25090514501,م إبتدائية بني زلطن   مكتب 1,2,1,0,2,0,1,66,9,1,0,7,3,1,0,1,2,2,1,2,0,3,1,2,74,1,9,0,191
Gabes,MatmataEljadida,25090514601,م إبتدائية مزاتة - بني زلطن  مكتب 1,1,1,0,0,0,0,4,7,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,57,0,3,0,79
Gabes,MatmataEljadida,25090514701,م إبتدائية زاتن بني زلطن   مكتب 1,1,0,1,1,0,1,11,4,1,0,1,0,1,0,1,0,2,0,1,0,0,0,0,7,0,0,1,34
Gabes,MatmataEljadida,25090514801,م إبتدائية العامرة - بني زلطن  مكتب 1,1,0,0,0,0,0,11,4,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,28,0,1,0,50
