#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
25100114901,م إبتدائية وادي الزيتون  مكتب 1,2,0,0,1,0,1,14,1,0,0,0,2,2,2,1,0,1,0,0,0,0,0,1,76,0,3,2,109.0
25100115001,م إبتدائية   14 جانفي - وادي الزيتون  مكتب 1,0,0,1,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,1,54.0
25100215101,م إبتدائية الفجيج  مكتب 1,0,0,1,0,0,0,10,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,56,0,6,1,82.0
25100215201,م إبتدائية باطن القزاح - الفجيج  مكتب 1,0,0,0,1,0,1,10,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,117,0,25,0,159.0
25100315301,م إبتدائية المهاملة   مكتب 1,0,0,0,0,2,1,12,7,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,57,0,5,0,90.0
25100315401,م إبتدائية السفيــــــة - المهاملة  مكتب 1,0,0,1,1,0,2,0,4,0,0,3,2,2,0,0,0,1,0,0,1,0,0,0,132,0,1,0,150.0
25100415501,م إبتدائية العوسج - السقي  مكتب 1,1,0,0,1,0,0,43,9,0,1,2,0,0,0,1,0,1,0,1,0,4,0,0,161,1,5,1,232.0
25100415601,م إبتدائية الربائعة الحامة - السقي  مكتب 1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,49,0,0,0,61.0
25100415701,م إبتدائية أولاد السويسي - السقي  مكتب 1,1,0,0,0,0,1,16,2,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,102,0,1,0,128.0
25100515801,م إبتدائية والي - ربيعة والي  مكتب 1,2,0,0,0,1,4,24,4,0,1,1,0,0,1,4,2,1,0,0,1,1,0,0,196,1,8,6,258.0
25100515802,م إبتدائية والي - ربيعة والي  مكتب 2,0,0,1,1,0,0,11,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,159,0,6,4,190.0
25100515901,م إبتدائية أولاد ضــــــو - ربيعة والي  مكتب 1,2,2,0,2,1,1,36,7,2,0,3,0,3,0,0,0,1,0,0,0,0,1,0,186,1,23,3,274.0
25100516001,م إبتدائية أولاد خود منزل الحبيب - ربيعة والي  مكتب 1,0,0,0,1,0,1,66,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,61,1,3,5,143.0
25100516101,م إبتدائية العهد الجديد والي - ربيعة والي  مكتب 1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,4,0,65.0
25100616201,م إبتدائية زقراطة  مكتب 1,0,0,0,0,0,2,75,4,1,0,1,1,3,0,0,0,0,1,0,0,3,1,1,190,0,6,2,291.0
25100616301,م إبتدائية باطن الجداري - زقراطة  مكتب 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,1,41.0
25100716401,م إبتدائية  2مارس 34 منزل الحبيب  مكتب 1,0,0,0,0,1,0,84,5,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,77,0,5,4,182.0
25100716501,م إبتدائية الحجري - منزل الحبيب  مكتب 1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,5,0,62.0
25100716601,م إبتدائية الطاهر الحداد منزل الحبيب  مكتب 1,1,1,0,3,2,0,73,7,0,0,7,2,8,0,0,0,1,0,0,1,6,0,1,294,0,15,3,425.0
25100716602,م إبتدائية الطاهر الحداد منزل الحبيب  مكتب 2,0,0,2,0,0,0,31,6,0,1,14,0,0,2,0,0,0,0,0,0,0,0,0,206,0,10,3,275.0
مجموع أصوات القائمة,11,3,6,11,7,14,539,74,5,5,40,8,22,7,9,3,9,2,3,3,19,3,4,2292,4,132,36,3271,
