circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gabes,Metouia,25020102401,م إبتدائية العوينات - المطوية الشمالية  مكتب 1,0,0,1,1,0,0,92,14,0,1,0,1,6,0,0,1,0,0,1,0,5,0,0,71,1,65,6,266
Gabes,Metouia,25020202501,م إبتدائية شارع بورقيبة المطوية - المطورية الجنوبية  مكتب 1,2,0,1,2,1,3,111,27,0,0,5,1,12,1,1,4,4,0,0,1,2,0,1,254,2,7,22,464
Gabes,Metouia,25020202502,م إبتدائية شارع بورقيبة المطوية - المطورية الجنوبية  مكتب 2,0,0,4,3,0,0,78,28,0,0,2,0,12,0,1,0,0,0,1,1,6,0,2,311,0,12,23,484
Gabes,Metouia,25020202503,م إبتدائية شارع بورقيبة المطوية - المطورية الجنوبية  مكتب 3,0,0,1,0,0,0,53,28,0,0,1,0,9,0,0,0,0,0,0,0,4,0,0,310,0,12,22,440
Gabes,Metouia,25020202504,م إبتدائية شارع بورقيبة المطوية - المطورية الجنوبية  مكتب 4,0,0,1,1,0,0,41,38,0,0,6,0,10,0,0,1,0,0,0,0,1,0,1,263,1,14,15,393
Gabes,Metouia,25020202601,م إبتدائية الشبان 1 المطوية - المطورية الجنوبية  مكتب 1,0,2,0,5,2,3,122,26,0,1,3,0,9,1,0,1,1,2,0,1,3,0,3,202,2,12,29,430
Gabes,Metouia,25020202602,م إبتدائية الشبان 1 المطوية - المطورية الجنوبية  مكتب 2,0,0,2,1,0,1,95,35,0,0,3,0,16,0,0,1,0,0,0,0,2,0,2,231,0,19,40,448
Gabes,Metouia,25020202603,م إبتدائية الشبان 1 المطوية - المطورية الجنوبية  مكتب 3,1,0,0,2,0,1,73,57,0,0,1,0,11,0,0,1,0,0,0,0,1,0,0,209,0,15,37,409
Gabes,Metouia,25020202604,م إبتدائية الشبان 1 المطوية - المطورية الجنوبية  مكتب 4,0,0,2,1,0,0,49,67,0,0,3,0,9,0,0,0,0,1,0,0,2,0,3,207,0,10,39,393
Gabes,Metouia,25020202701,م إبتدائية الشبان 2 المطوية - المطورية الجنوبية  مكتب 1,0,0,1,1,0,2,62,34,1,0,2,0,7,2,0,1,1,1,0,2,1,1,3,205,2,25,20,374
Gabes,Metouia,25020202702,م إبتدائية الشبان 2 المطوية - المطورية الجنوبية  مكتب 2,2,0,1,0,0,0,46,50,0,0,4,0,4,0,0,0,1,0,0,0,1,0,0,165,0,21,28,323
Gabes,Metouia,25020302801,م إبتدائية سيدي عبد الرحمان وذرف - وذرف الشمالية  مكتب 1,1,0,0,1,1,4,133,41,1,1,5,1,9,2,1,0,2,3,0,0,4,0,1,124,1,12,14,362
Gabes,Metouia,25020302802,م إبتدائية سيدي عبد الرحمان وذرف - وذرف الشمالية  مكتب 2,0,0,1,2,0,0,128,44,0,0,1,0,5,1,1,1,0,0,0,0,1,0,0,179,0,14,20,398
