#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17080111601,م إبتدائية العيايشة بلخير  مكتب 1,0,0,1,0,0,1,31,3,3,0,13,0,0,0,1,1,2,0,0,0,0,1,0,139,0,13,6,215.0
17080111602,م إبتدائية العيايشة بلخير  مكتب 2,1,0,0,0,0,0,16,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,86,0,3,3,114.0
17080111701,م إبتدائية الاكتاب بلخير - العيايشة  مكتب 1,0,1,1,1,0,0,16,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,86,1,3,1,117.0
17080111801,م إبتدائية زيتونة العيايشة بلخير  مكتب 1,0,0,0,0,0,0,16,0,1,0,12,1,1,0,0,1,0,0,0,0,0,0,0,31,1,5,10,79.0
17080111901,م إبتدائية جبل العيايشة بلخير  مكتب 1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6.0
17080212001,م إبتدائية اولاد منصوربلخير  مكتب 1,1,1,2,3,0,0,86,5,0,0,8,1,1,1,0,1,2,0,1,2,4,0,1,151,1,13,4,289.0
17080212002,م إبتدائية اولاد منصوربلخير  مكتب 2,1,0,1,0,0,1,32,2,0,1,5,0,0,1,0,0,0,0,1,0,0,0,1,192,0,14,9,261.0
17080212003,م إبتدائية اولاد منصوربلخير  مكتب 3,0,0,0,0,0,0,26,8,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,143,1,3,2,191.0
17080212101,م إبتدائية برج الحي - بلخير  مكتب 1,0,0,0,1,0,0,18,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,28,0,5,2,60.0
17080212201,م إبتدائية باطن اولاد منصور بلخير   مكتب 1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,0,8,0,53.0
17080312301,م إبتدائية اولاد زايد بلخير - الطلح الشرقية  مكتب 1,2,0,0,3,2,1,51,2,0,0,7,1,1,2,0,0,3,0,3,1,2,0,0,96,0,44,19,240.0
17080412401,م إبتدائية 2 /3 حوال الوادي - الطلح الغربية  مكتب 1,3,0,0,0,2,1,47,4,0,0,3,0,0,0,0,0,0,4,3,0,3,1,0,66,1,24,7,169.0
17080412402,م إبتدائية 2 /3 حوال الوادي - الطلح الغربية  مكتب 2,1,0,0,0,0,0,14,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,65,0,14,2,103.0
17080412501,م إبتدائية بوبلال بلخير - الطلح الغربية  مكتب 1,3,1,1,2,0,2,34,3,1,0,3,1,1,1,0,2,2,2,0,0,0,0,0,33,1,15,1,109.0
17080412601,م إبتدائية بورقيبة بكو بلخير - الطلح الغربية  مكتب 1,0,0,0,0,0,2,17,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,2,0,6,1,33.0
17080412701,م إبتدائية  14 جانفي بلخير - الطلح الغربية  مكتب 1,0,0,1,0,0,2,24,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,6,0,9,0,46.0
17080412801,م إبتدائية العهد الجديد بلخير - الطلح الغربية  مكتب 1,0,1,0,0,0,0,30,1,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,9,0,1,2,51.0
17080512901,م إبتدائية باطن زمور الطلح بلخير - جبيلة الوسط  مكتب 1,0,0,1,0,0,1,19,1,0,1,6,2,1,0,1,0,3,1,0,0,0,0,2,83,0,23,8,153.0
17080513001,م إبتدائية جبيلة الوسط بلخير   مكتب 1,1,0,1,0,0,0,18,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,44,0,7,3,80.0
17080513101,م إبتدائية 9 افريل الطلح بلخير - جبيلة الوسط  مكتب 1,0,0,1,0,0,1,10,0,0,0,1,1,1,0,0,1,2,1,1,0,1,0,0,60,0,6,1,88.0
17080613201,م إبتدائية اولاد الحاج بلخير  مكتب 1,0,0,0,1,0,2,66,1,0,1,3,1,1,3,0,0,1,1,0,0,3,1,1,211,1,17,3,318.0
17080613202,م إبتدائية اولاد الحاج بلخير  مكتب 2,0,0,1,0,0,0,27,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,143,1,0,0,178.0
مجموع أصوات القائمة,13,5,11,11,4,14,613,42,7,7,86,9,9,8,3,9,20,12,10,4,16,3,5,1707,8,233,84,2953,
