#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17030104401,م إبتدائية  4يسمبر 1952 قفصة - القصر  مكتب 1,1,0,2,0,2,3,117,15,0,0,8,3,5,0,0,1,1,2,1,1,3,0,1,111,0,9,39,325.0
17030104402,م إبتدائية  4يسمبر 1952 قفصة - القصر  مكتب 2,0,1,1,1,1,0,118,13,0,0,7,1,1,0,1,1,0,1,0,0,3,0,1,157,0,15,42,365.0
17030104403,م إبتدائية  4يسمبر 1952 قفصة - القصر  مكتب 3,1,0,1,2,1,0,98,10,0,0,6,2,0,0,0,0,0,0,0,1,0,1,0,131,0,8,27,289.0
17030104404,م إبتدائية  4يسمبر 1952 قفصة - القصر  مكتب 4,0,0,0,1,0,0,47,36,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,97,0,10,38,238.0
17030104501,م إبتدائية طريق المحطة القصر   مكتب 1,1,0,2,0,0,0,136,10,1,0,11,1,3,0,1,1,1,2,1,0,0,0,0,153,1,18,44,387.0
17030104502,م إبتدائية طريق المحطة القصر   مكتب 2,0,1,1,1,0,0,104,19,1,0,7,2,2,0,0,0,0,0,1,1,2,0,1,198,1,10,64,416.0
17030104503,م إبتدائية طريق المحطة القصر   مكتب 3,1,0,1,0,0,0,99,12,0,0,14,0,1,0,0,1,1,0,1,1,0,0,1,198,0,11,55,397.0
17030104504,م إبتدائية طريق المحطة القصر   مكتب 4,0,0,0,1,0,0,61,24,0,0,7,3,3,1,0,1,0,1,0,0,0,0,1,176,0,3,48,330.0
17030104505,م إبتدائية طريق المحطة القصر   مكتب 5,0,0,1,0,0,0,60,30,0,0,7,2,1,0,0,0,0,0,0,1,0,1,1,132,0,6,44,286.0
17030104601,م إبتدائية حي التحرير القصر  مكتب 1,0,0,1,1,3,3,117,14,1,0,17,1,4,0,0,1,2,0,0,0,0,0,1,116,1,14,45,342.0
17030104602,م إبتدائية حي التحرير القصر  مكتب 2,2,0,0,0,1,0,113,14,1,1,12,0,4,1,0,0,1,0,1,0,0,0,0,149,0,18,52,370.0
17030104603,م إبتدائية حي التحرير القصر  مكتب 3,1,0,1,1,0,0,60,21,1,0,6,1,3,0,0,1,0,0,0,0,0,0,0,132,0,11,31,270.0
17030104604,م إبتدائية حي التحرير القصر  مكتب 4,0,0,4,1,0,0,65,18,0,0,14,0,1,0,0,0,0,2,0,0,0,0,0,115,0,12,44,276.0
17030104701,م إبتدائية طريق المظيلة لالة القصر  مكتب 1,1,0,0,0,0,0,45,11,0,0,8,1,1,1,1,0,1,0,0,0,1,0,0,87,1,23,17,199.0
17030104702,م إبتدائية طريق المظيلة لالة القصر  مكتب 2,0,0,0,0,0,0,32,18,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,59,0,14,22,155.0
17030104801,م إبتدائية المروج القصر  مكتب 1,0,0,0,3,3,2,122,8,1,0,9,1,8,1,1,2,2,2,1,1,3,0,4,127,1,25,22,349.0
17030104802,م إبتدائية المروج القصر  مكتب 2,0,1,0,1,0,1,104,7,0,1,7,0,2,1,2,0,1,1,0,0,1,0,0,179,1,22,45,377.0
17030104803,م إبتدائية المروج القصر  مكتب 3,0,0,2,1,0,1,83,13,0,1,9,0,1,0,1,0,1,0,1,2,0,0,0,159,0,12,47,334.0
