circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gafsa,ElMdhilla,17060108501,م إبتدائية القرية المظيلة - المظيلة المركز  مكتب 1,0,0,0,0,3,1,34,5,0,1,6,1,2,0,2,1,0,2,1,0,1,0,0,157,2,13,15,247
Gafsa,ElMdhilla,17060108502,م إبتدائية القرية المظيلة - المظيلة المركز  مكتب 2,0,0,0,0,1,0,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,147,0,10,14,192
Gafsa,ElMdhilla,17060108601,م إبتدائية الحي العصري المظيلة - المظيلة المركز  مكتب 1,0,0,0,2,0,0,146,11,3,1,3,1,4,3,0,1,3,1,0,1,1,0,0,162,1,24,35,403
Gafsa,ElMdhilla,17060108602,م إبتدائية الحي العصري المظيلة - المظيلة المركز  مكتب 2,0,0,2,1,1,0,83,9,0,1,7,0,1,0,1,0,0,0,0,0,1,0,0,165,0,23,24,319
Gafsa,ElMdhilla,17060108603,م إبتدائية الحي العصري المظيلة - المظيلة المركز  مكتب 3,1,0,1,0,0,0,81,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115,0,12,38,276
Gafsa,ElMdhilla,17060108701,م إبتدائية حي النسيم المظيلة - المظيلة المركز  مكتب 1,0,0,2,0,0,1,87,10,0,0,9,0,1,0,1,0,1,0,0,0,0,0,0,134,0,27,15,288
Gafsa,ElMdhilla,17060108702,م إبتدائية حي النسيم المظيلة - المظيلة المركز  مكتب 2,2,0,1,0,0,1,42,17,0,0,11,1,1,0,0,0,0,0,0,0,2,0,0,163,0,14,19,274
Gafsa,ElMdhilla,17060108703,م إبتدائية حي النسيم المظيلة - المظيلة المركز  مكتب 3,0,0,0,0,0,0,37,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,127,1,12,29,235
Gafsa,ElMdhilla,17060208801,م إبتدائية الحي العمالي المظيلة  مكتب 1,1,2,1,0,0,1,84,6,1,1,7,5,1,1,1,2,4,2,0,0,3,0,1,131,0,18,20,293
Gafsa,ElMdhilla,17060208802,م إبتدائية الحي العمالي المظيلة  مكتب 2,0,0,0,0,0,1,61,10,0,0,10,5,1,2,1,0,0,0,0,0,0,0,0,191,1,18,15,316
Gafsa,ElMdhilla,17060208803,م إبتدائية الحي العمالي المظيلة  مكتب 3,0,1,0,0,0,0,50,9,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,156,0,12,34,271
Gafsa,ElMdhilla,17060208804,م إبتدائية الحي العمالي المظيلة  مكتب 4,0,0,0,0,0,0,43,20,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,147,0,14,31,264
Gafsa,ElMdhilla,17060208901,م إبتدائية التوفيق المظيلة - الحي العمالي  مكتب 1,0,0,0,1,0,2,107,14,0,0,9,8,3,1,2,0,1,0,0,0,1,0,0,185,0,17,26,377
Gafsa,ElMdhilla,17060208902,م إبتدائية التوفيق المظيلة - الحي العمالي  مكتب 2,0,0,0,0,2,0,56,17,0,0,13,3,0,1,0,1,1,1,1,0,1,0,2,188,0,18,28,333
Gafsa,ElMdhilla,17060208903,م إبتدائية التوفيق المظيلة - الحي العمالي  مكتب 3,0,0,0,0,0,0,41,23,0,0,6,6,0,0,0,0,1,0,0,1,1,0,0,167,0,13,37,296
Gafsa,ElMdhilla,17060309001,م إبتدائية المنجم المظيلة - صهيب  مكتب 1,0,0,0,0,0,0,28,5,0,0,4,3,2,0,0,1,0,1,0,0,0,0,0,106,0,3,11,164
Gafsa,ElMdhilla,17060309101,م إبتدائية   14 جانفي برج العكارمة المظيلة - صهيب  مكتب 1,0,1,0,1,0,0,20,6,0,1,4,0,1,0,1,0,0,1,0,0,1,1,0,179,0,16,9,242
Gafsa,ElMdhilla,17060309102,م إبتدائية   14 جانفي برج العكارمة المظيلة - صهيب  مكتب 2,0,0,0,0,0,0,17,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,210,0,7,11,260
Gafsa,ElMdhilla,17060409201,م إبتدائية السقي   مكتب 1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,1,0,40
