#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17040105701,م إبتدائية القطار - القطار الغربية  مكتب 1,1,2,0,2,0,1,42,4,1,0,90,1,1,1,0,0,0,1,0,0,1,0,0,54,0,6,14,222.0
17040105702,م إبتدائية القطار - القطار الغربية  مكتب 2,0,0,1,1,1,0,26,0,0,0,54,0,0,0,0,0,0,0,0,0,1,0,0,46,0,2,17,149.0
17040105801,م إبتدائية نهج احمد التليلي القطار - القطار الغربية  مكتب 1,2,2,2,3,2,4,94,3,3,1,158,0,1,2,3,1,2,0,0,1,0,0,0,75,0,3,31,393.0
17040105802,م إبتدائية نهج احمد التليلي القطار - القطار الغربية  مكتب 2,1,0,0,2,1,0,65,6,0,0,176,0,0,0,0,1,0,0,0,0,0,0,1,117,0,6,23,399.0
17040105803,م إبتدائية نهج احمد التليلي القطار - القطار الغربية  مكتب 3,0,0,1,0,0,0,47,13,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,88,0,5,18,284.0
17040105901,م إبتدائية الارطس القطار - القطار الغربية  مكتب 1,0,0,1,1,0,1,27,1,4,0,54,0,0,0,0,0,1,0,0,0,0,0,3,47,1,10,78,229.0
17040105902,م إبتدائية الارطس القطار - القطار الغربية  مكتب 2,0,0,2,0,0,0,15,4,0,0,38,0,0,0,0,0,0,0,1,0,1,0,0,53,0,8,63,185.0
17040106001,م إبتدائية ماجني القطار - القطار الغربية  مكتب 1,1,0,0,1,0,1,13,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,19,0,1,1,43.0
17040106101,م إبتدائية عرباطة القطار - القطار الغربية  مكتب 1,1,3,1,3,2,0,103,8,0,3,130,1,2,0,1,1,1,0,1,0,2,2,0,82,0,5,25,377.0
17040106102,م إبتدائية عرباطة القطار - القطار الغربية  مكتب 2,1,1,1,0,0,1,87,10,1,1,125,1,1,1,0,0,0,0,0,0,0,0,0,118,0,8,33,390.0
17040106103,م إبتدائية عرباطة القطار - القطار الغربية  مكتب 3,0,1,0,1,0,0,52,14,1,1,112,0,0,0,0,0,0,1,0,0,0,0,0,132,0,7,20,342.0
17040106104,م إبتدائية عرباطة القطار - القطار الغربية  مكتب 4,0,0,1,0,0,0,40,27,0,0,78,0,1,0,0,0,0,0,0,0,0,0,1,100,0,3,26,277.0
17040206201,م إبتدائية نشيو القطار - القطار الشرقية  مكتب 1,1,3,0,1,0,0,58,2,0,0,62,1,3,0,0,4,0,0,1,0,2,1,1,94,1,3,2,240.0
