#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17110117301,م إبتدائية بئر الزواري قفصة الشمالية - قطيس  مكتب 1,0,0,0,0,0,0,22,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,2,5,48.0
17110117401,م إبتدائية اولاد دلال - قطيس  مكتب 1,1,0,0,0,0,0,21,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,25,1,6,3,63.0
17110117501,م إبتدائية اولاد زيد قفصة الشمالية - قطيس  مكتب 1,1,0,0,3,0,0,122,2,0,1,4,0,2,0,0,0,0,2,0,0,4,0,3,70,2,12,3,231.0
17110117502,م إبتدائية اولاد زيد قفصة الشمالية - قطيس  مكتب 2,0,0,0,0,0,1,114,9,0,0,2,0,1,0,0,1,1,0,0,1,2,0,0,48,0,8,0,188.0
17110117601,م إبتدائية المادسية - قطيس  مكتب 1,1,1,0,1,0,0,9,2,1,0,1,1,2,1,1,0,0,1,0,0,1,0,1,19,0,28,1,72.0
17110217701,م إبتدائية  2مارس 34 قطيس - الرحيبة  مكتب 1,1,1,1,0,1,1,78,11,1,0,8,0,2,1,1,0,2,0,1,0,0,1,0,104,1,45,8,269.0
17110217801,م إبتدائية اولاد عمران قفصة الشمالية - الرحيبة  مكتب 1,0,0,0,2,1,1,58,6,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,64,0,30,5,174.0
17110317901,م إبتدائية بوعلام قفصة الشمالية - الرحيبة  مكتب 1,0,0,0,0,1,1,67,10,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,45,0,2,8,142.0
17110418001,م إبتدائية الصواعي   مكتب 1,1,0,1,3,0,0,111,1,0,0,3,0,1,0,0,1,1,1,1,1,1,1,0,42,0,21,10,201.0
17110518101,م إبتدائية المتكيدس قفصة الشمالية   مكتب 1,0,0,0,1,1,2,131,2,1,0,2,0,2,2,3,1,1,1,0,1,1,1,1,118,0,50,2,324.0
17110618201,م إبتدائية اولاد احمد بن سعد قفصة الشمالية - الفج  مكتب 1,1,0,1,2,2,0,173,9,0,0,10,0,0,0,0,1,1,1,0,0,1,0,0,60,0,29,13,304.0
17110618301,م إبتدائية المستقبل بالفج قفصة الشمالية  مكتب 1,0,0,0,4,0,0,35,4,0,1,3,0,0,0,1,1,1,0,0,0,1,0,0,44,0,7,3,105.0
17110618401,م إبتدائية هنشير الحلفاء الفـج   مكتب 1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,34.0
17110718501,م إبتدائية اولاد وهيبة قفصة الشمالية - منزل ميمون  مكتب 1,0,0,0,0,0,1,42,5,1,0,10,1,3,1,1,3,0,0,1,1,1,0,2,81,1,29,24,208.0
17110718502,م إبتدائية اولاد وهيبة قفصة الشمالية - منزل ميمون  مكتب 2,0,0,0,0,0,0,20,7,0,0,7,0,1,0,0,0,1,0,1,0,1,0,4,96,0,10,16,164.0
17110718601,م إبتدائية محمد الطاهر بن على قفصة - منزل ميمون  مكتب 1,1,0,0,2,0,1,31,1,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,24,0,9,6,82.0
مجموع أصوات القائمة,7,2,3,18,6,8,1059,74,4,2,70,2,17,5,8,10,9,6,5,4,15,3,11,853,5,295,108,2609,
