circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gafsa,GafsaSud,17100114301,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 1,1,0,2,6,1,5,195,21,1,0,5,0,3,3,1,4,1,1,1,2,2,0,2,91,2,14,32,396
Gafsa,GafsaSud,17100114302,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 2,0,0,1,2,1,3,164,13,1,0,8,1,3,1,0,0,2,0,0,1,2,0,1,98,1,28,29,360
Gafsa,GafsaSud,17100114303,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 3,0,0,0,1,0,0,147,25,2,1,10,0,2,0,1,1,0,0,0,1,3,0,3,132,0,14,40,383
Gafsa,GafsaSud,17100114304,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 4,1,0,0,2,0,0,123,29,0,0,9,0,2,0,2,1,0,0,0,0,1,0,0,156,0,27,25,378
Gafsa,GafsaSud,17100114305,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 5,1,0,0,0,0,1,97,35,0,0,14,0,1,1,0,0,0,0,0,0,0,0,1,137,0,10,34,332
Gafsa,GafsaSud,17100114306,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 6,0,0,3,0,0,0,86,27,0,1,6,0,1,0,0,0,1,0,0,0,0,0,2,94,1,15,34,271
Gafsa,GafsaSud,17100114307,م إبتدائية شارع بورقيبة قفصة - قفصة المدينة  مكتب 7,0,0,1,0,0,0,83,57,2,0,7,1,1,0,0,0,0,0,0,0,0,0,2,81,0,15,52,302
Gafsa,GafsaSud,17100114401,م إبتدائية شارع حسين بوزيان قفصة - قفصة المدينة  مكتب 1,1,1,3,0,0,0,139,13,0,0,9,0,2,1,0,1,0,0,0,0,0,0,4,101,1,13,47,336
Gafsa,GafsaSud,17100114402,م إبتدائية شارع حسين بوزيان قفصة - قفصة المدينة  مكتب 2,0,0,0,0,0,0,92,41,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,96,2,3,36,283
Gafsa,GafsaSud,17100114501,م إبتدائية شارع عمر بن سليمان 1 - قفصة المدينة  مكتب 1,2,1,0,2,0,2,154,18,0,1,10,0,9,0,1,0,3,2,0,0,2,0,1,143,3,24,29,407
Gafsa,GafsaSud,17100114502,م إبتدائية شارع عمر بن سليمان 1 - قفصة المدينة  مكتب 2,2,2,0,2,0,1,141,21,1,2,11,0,5,2,0,4,1,1,0,3,3,0,1,157,0,22,35,417
