circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gafsa,Metlaoui,17050107101,م إبتدائية المنجم 1 المتلوي - المتلوي المركز  مكتب 1,0,0,0,3,0,1,48,13,0,0,4,0,5,0,0,1,2,0,0,0,1,1,1,229,1,7,11,328
Gafsa,Metlaoui,17050107102,م إبتدائية المنجم 1 المتلوي - المتلوي المركز  مكتب 2,0,0,0,0,0,1,31,10,0,0,4,0,2,0,0,0,0,1,0,0,0,0,1,312,0,16,13,391
Gafsa,Metlaoui,17050107103,م إبتدائية المنجم 1 المتلوي - المتلوي المركز  مكتب 3,0,0,1,1,0,1,28,21,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,265,0,10,7,339
Gafsa,Metlaoui,17050107104,م إبتدائية المنجم 1 المتلوي - المتلوي المركز  مكتب 4,1,0,0,0,0,0,19,17,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,222,0,14,9,285
Gafsa,Metlaoui,17050107201,م إبتدائية الحي العصري المتلوي - المتلوي المركز  مكتب 1,0,0,2,2,1,0,106,7,0,0,4,0,2,0,0,0,1,1,0,0,5,2,1,123,0,16,20,293
Gafsa,Metlaoui,17050107202,م إبتدائية الحي العصري المتلوي - المتلوي المركز  مكتب 2,1,0,0,0,0,1,55,17,0,1,7,0,2,0,0,1,0,1,0,0,0,0,0,185,0,21,12,304
Gafsa,Metlaoui,17050107203,م إبتدائية الحي العصري المتلوي - المتلوي المركز  مكتب 3,1,0,0,0,0,0,47,18,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,120,2,15,11,218
Gafsa,Metlaoui,17050107301,م إبتدائية حي الزهور المتلوي - المتلوي المركز  مكتب 1,0,0,0,0,0,0,16,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,55,0,10,2,89
Gafsa,Metlaoui,17050107401,م إبتدائية المنجم 2 المتلوي - المتلوي المركز  مكتب 1,0,0,0,0,0,1,63,23,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,228,1,19,10,352
Gafsa,Metlaoui,17050107402,م إبتدائية المنجم 2 المتلوي - المتلوي المركز  مكتب 2,1,0,0,0,0,0,36,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,203,0,13,4,273
Gafsa,Metlaoui,17050207501,م إبتدائية المتلوي المحطة  مكتب 1,0,0,1,1,0,1,88,16,0,0,4,1,3,0,0,2,1,1,0,1,2,0,2,216,0,25,11,376
Gafsa,Metlaoui,17050207502,م إبتدائية المتلوي المحطة  مكتب 2,1,0,0,1,0,1,64,25,0,0,5,1,2,0,0,0,2,0,0,0,0,0,1,261,1,21,19,405
Gafsa,Metlaoui,17050207503,م إبتدائية المتلوي المحطة  مكتب 3,0,0,3,0,0,0,38,11,0,0,5,0,1,1,1,0,1,0,0,0,0,0,1,252,0,10,13,337
Gafsa,Metlaoui,17050207504,م إبتدائية المتلوي المحطة  مكتب 4,0,0,0,0,1,0,31,35,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,180,0,18,16,286
Gafsa,Metlaoui,17050207601,م إبتدائية ساحة الجمهورية المتلوي - المتلوي المحطة  مكتب 1,1,0,3,4,0,1,145,15,2,2,2,1,1,3,2,1,0,1,0,1,4,1,0,150,1,26,19,386
Gafsa,Metlaoui,17050207602,م إبتدائية ساحة الجمهورية المتلوي - المتلوي المحطة  مكتب 2,0,0,0,1,0,0,107,16,1,0,5,0,3,0,0,1,0,0,0,0,2,0,0,208,1,33,33,411
Gafsa,Metlaoui,17050207603,م إبتدائية ساحة الجمهورية المتلوي - المتلوي المحطة  مكتب 3,0,0,2,0,0,0,86,23,0,0,10,0,4,0,0,1,1,0,0,0,0,0,1,205,1,22,24,380
Gafsa,Metlaoui,17050207604,م إبتدائية ساحة الجمهورية المتلوي - المتلوي المحطة  مكتب 4,0,0,0,1,0,0,50,29,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,157,0,11,21,277
Gafsa,Metlaoui,17050207701,م إبتدائية حي الثالجة المتلوي - المتلوي المحطة  مكتب 1,1,0,0,0,0,2,113,15,0,1,4,0,3,0,0,2,0,0,1,0,1,0,3,247,0,19,12,424
Gafsa,Metlaoui,17050207702,م إبتدائية حي الثالجة المتلوي - المتلوي المحطة  مكتب 2,1,0,1,0,0,1,43,12,0,1,10,0,3,0,1,1,0,0,0,0,1,0,1,267,0,17,13,373
Gafsa,Metlaoui,17050207703,م إبتدائية حي الثالجة المتلوي - المتلوي المحطة  مكتب 3,0,0,0,0,0,0,46,28,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,179,0,13,18,288
Gafsa,Metlaoui,17050207801,م إبتدائية حي السعادة المتلوي - المتلوي المحطة  مكتب 1,0,0,0,0,1,2,110,16,0,1,2,0,2,1,1,1,0,0,0,0,0,0,1,209,0,31,10,388
Gafsa,Metlaoui,17050207802,م إبتدائية حي السعادة المتلوي - المتلوي المحطة  مكتب 2,0,0,0,0,0,0,60,14,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,233,0,23,15,350
Gafsa,Metlaoui,17050207803,م إبتدائية حي السعادة المتلوي - المتلوي المحطة  مكتب 3,0,0,2,0,0,0,37,26,0,0,5,0,0,0,2,0,1,0,0,0,1,0,0,193,0,10,8,285
Gafsa,Metlaoui,17050207901,م إبتدائية طريق توزر المتلوي - المتلوي المحطة  مكتب 1,0,1,0,1,0,1,107,19,0,0,4,0,4,0,2,1,1,0,1,0,1,1,1,192,1,16,16,370
Gafsa,Metlaoui,17050207902,م إبتدائية طريق توزر المتلوي - المتلوي المحطة  مكتب 2,0,0,1,0,0,1,69,13,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,180,0,23,21,314
Gafsa,Metlaoui,17050207903,م إبتدائية طريق توزر المتلوي - المتلوي المحطة  مكتب 3,0,0,0,0,0,0,51,25,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,128,0,10,11,229
Gafsa,Metlaoui,17050308001,م إبتدائية  2مارس 34 وادي الارطة - المزيرعة  مكتب 1,1,0,0,0,0,2,76,20,0,2,4,1,2,0,2,5,2,0,0,0,0,0,0,148,1,31,13,310
Gafsa,Metlaoui,17050308002,م إبتدائية  2مارس 34 وادي الارطة - المزيرعة  مكتب 2,2,1,1,0,1,1,57,11,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,170,0,23,17,290
Gafsa,Metlaoui,17050308003,م إبتدائية  2مارس 34 وادي الارطة - المزيرعة  مكتب 3,0,0,1,0,0,0,32,10,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,130,0,19,13,210
Gafsa,Metlaoui,17050308101,م إبتدائية المزيرعة المتلوي  مكتب 1,3,1,0,1,0,0,49,7,1,0,3,0,0,3,2,3,1,0,0,0,1,0,0,187,0,14,8,284
Gafsa,Metlaoui,17050308102,م إبتدائية المزيرعة المتلوي  مكتب 2,1,0,1,0,1,1,64,7,0,0,2,0,1,0,1,0,0,1,0,0,1,0,1,166,0,32,8,288
Gafsa,Metlaoui,17050308103,م إبتدائية المزيرعة المتلوي  مكتب 3,0,0,0,0,0,0,41,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,174,0,30,8,268
Gafsa,Metlaoui,17050308104,م إبتدائية المزيرعة المتلوي  مكتب 4,1,0,1,0,0,0,25,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,130,0,18,1,198
Gafsa,Metlaoui,17050408201,م إبتدائية ريشة النعام المتلوي   مكتب 1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,2,48
Gafsa,Metlaoui,17050508301,م إبتدائية حي النهوض المتلوي - حي الأمل الشرقي  مكتب 1,1,1,2,3,0,1,55,7,4,2,3,0,0,1,3,1,2,1,1,1,2,0,1,219,1,11,16,339
Gafsa,Metlaoui,17050508302,م إبتدائية حي النهوض المتلوي - حي الأمل الشرقي  مكتب 2,1,0,1,0,2,0,51,7,0,0,6,0,2,0,0,1,3,0,0,0,1,0,0,289,0,9,26,399
Gafsa,Metlaoui,17050508303,م إبتدائية حي النهوض المتلوي - حي الأمل الشرقي  مكتب 3,0,0,0,1,0,0,31,20,0,0,6,0,0,1,0,0,0,0,0,0,1,0,1,232,0,8,21,322
Gafsa,Metlaoui,17050508304,م إبتدائية حي النهوض المتلوي - حي الأمل الشرقي  مكتب 4,0,0,0,0,0,0,33,16,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,196,1,5,20,279
Gafsa,Metlaoui,17050508401,م إبتدائية حي الامل المتلوي - حي الأمل الشرقي  مكتب 1,0,1,0,2,0,1,53,10,0,0,5,0,2,1,1,0,2,0,1,0,4,2,1,192,0,19,5,302
Gafsa,Metlaoui,17050508402,م إبتدائية حي الامل المتلوي - حي الأمل الشرقي  مكتب 2,2,0,0,0,0,0,30,11,1,0,10,0,1,0,0,1,0,0,0,0,1,0,0,200,0,10,3,270
Gafsa,Metlaoui,17050508403,م إبتدائية حي الامل المتلوي - حي الأمل الشرقي  مكتب 3,0,0,0,0,0,1,25,22,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,137,0,11,4,210
