#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17070109301,م إبتدائية ام الاقصاب ام العرائس  مكتب 1,0,1,0,0,0,0,21,4,1,0,15,0,0,1,1,1,1,0,0,0,2,0,0,52,0,32,4,136.0
17070109401,م إبتدائية عقلة احمد ام العرائس - أم الأقصاب  مكتب 1,0,0,0,0,0,2,13,2,1,1,3,0,1,0,0,0,0,0,1,0,4,0,0,19,0,24,2,73.0
17070209501,م إبتدائية سيدي بوبكر ام العرائس  مكتب 1,0,0,1,0,0,1,97,5,1,0,4,0,1,0,0,0,0,0,0,1,2,0,0,57,0,13,6,189.0
17070209502,م إبتدائية سيدي بوبكر ام العرائس  مكتب 2,0,0,0,0,0,1,48,8,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,55,0,11,0,132.0
17070209601,م إبتدائية خالد ابن الوليد أم العرائس - سيدي بوبكر  مكتب 1,1,0,0,1,1,1,6,1,0,1,2,0,0,2,0,1,1,0,0,0,1,0,0,33,1,8,2,63.0
17070209701,م إبتدائية الكدية أم العرائس - سيدي بو بكر  مكتب 1,0,0,0,1,0,1,87,8,4,0,3,0,1,1,2,1,1,0,0,0,2,1,3,90,2,13,4,225.0
17070209801,م إبتدائية أولااد السّاعي - سيدي بو بكر  مكتب 1,0,1,0,2,1,0,11,2,1,0,0,0,2,0,1,1,0,1,0,1,1,0,0,24,0,4,5,58.0
17070309901,م إبتدائية المحطة ام العرائس   مكتب 1,0,0,0,1,0,0,99,17,0,0,7,0,1,1,2,0,0,0,1,1,2,1,0,185,2,15,20,355.0
17070309902,م إبتدائية المحطة ام العرائس   مكتب 2,0,0,0,0,0,0,54,23,1,0,7,0,0,0,0,0,0,0,0,0,1,0,1,208,0,15,30,340.0
17070309903,م إبتدائية المحطة ام العرائس   مكتب 3,0,0,1,0,0,0,48,9,0,0,11,0,0,0,0,0,0,1,0,0,2,0,0,186,0,11,15,284.0
17070309904,م إبتدائية المحطة ام العرائس   مكتب 4,0,0,0,0,0,0,29,28,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,158,0,9,21,258.0
17070310001,م إبتدائية الكسيلة ام العرائس  مكتب 1,0,0,1,1,1,3,107,11,1,1,7,0,1,1,2,0,3,2,0,0,5,0,1,145,1,21,22,337.0
17070310002,م إبتدائية الكسيلة ام العرائس  مكتب 2,0,1,2,0,0,2,89,20,0,0,10,0,1,0,0,2,1,0,0,0,1,0,1,192,0,16,35,373.0
17070310003,م إبتدائية الكسيلة ام العرائس  مكتب 3,0,0,0,0,1,0,42,14,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,190,1,9,29,298.0
17070310004,م إبتدائية الكسيلة ام العرائس  مكتب 4,0,0,1,0,0,0,27,24,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,136,0,15,26,233.0
17070310101,م إبتدائية حشانة ام العرائس   مكتب 1,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5,1,52.0
17070310201,م إبتدائية طارق ابن زياد أم العرائس  مكتب 1,0,0,2,3,0,2,72,19,1,1,4,0,4,2,0,2,2,1,0,1,2,0,0,145,0,16,19,298.0
17070310202,م إبتدائية طارق ابن زياد أم العرائس  مكتب 2,0,0,2,0,0,1,45,11,0,0,14,0,1,0,0,0,0,0,0,0,3,0,0,171,0,13,14,275.0
17070310203,م إبتدائية طارق ابن زياد أم العرائس  مكتب 3,3,0,0,0,0,0,47,23,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,101,0,6,17,203.0
17070310301,م إبتدائية العهد الجديد أم العرائس  مكتب 1,0,2,0,1,0,2,44,2,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0,121,0,9,16,209.0
17070310302,م إبتدائية العهد الجديد أم العرائس  مكتب 2,0,0,1,0,0,0,22,9,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,108,0,7,18,174.0
17070310401,م إبتدائية القطع أم العرائس  مكتب 1,0,0,0,0,0,0,16,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,30,0,4,0,54.0
17070410501,م إبتدائية الحي العمالي ام العرائس - المحطة  مكتب 1,0,1,1,0,2,3,109,8,0,0,8,0,1,3,2,1,0,0,1,1,5,0,0,171,1,20,20,358.0
