circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Gafsa,Redeyef,17010100101,م إبتدائية حي النور الرديف - الرديف المركز  مكتب 1,1,0,3,0,0,1,78,22,2,0,5,0,2,2,0,1,1,1,0,0,1,0,1,201,0,7,81,410
Gafsa,Redeyef,17010100102,م إبتدائية حي النور الرديف - الرديف المركز  مكتب 2,0,0,2,0,0,1,23,27,0,0,7,0,4,0,0,2,0,0,0,0,0,0,0,167,0,2,93,328
Gafsa,Redeyef,17010100201,م إبتدائية الفوز الرديف - الرديف المركز  مكتب 1,0,0,1,0,0,1,17,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,92,1,2,36,164
Gafsa,Redeyef,17010200301,م إبتدائية سيدي عبد القادر - الرديف الشمالية  مكتب 1,1,1,0,1,1,0,23,11,1,0,6,0,0,0,1,3,1,0,0,0,3,0,1,159,1,8,57,279
Gafsa,Redeyef,17010200302,م إبتدائية سيدي عبد القادر - الرديف الشمالية  مكتب 2,0,0,0,0,0,0,13,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,136,0,2,56,224
Gafsa,Redeyef,17010200401,م إبتدائية  14 جانفي الرديف - الرديف الشمالية  مكتب 1,0,0,2,0,0,0,27,5,0,0,3,2,6,2,0,0,1,2,1,0,1,0,0,205,0,7,37,301
Gafsa,Redeyef,17010200402,م إبتدائية  14 جانفي الرديف - الرديف الشمالية  مكتب 2,0,0,0,0,0,0,16,12,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,189,0,4,41,269
Gafsa,Redeyef,17010200501,م إبتدائية العهد الجديد الرديف - الرديف الشمالية  مكتب 1,0,0,0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,48,0,0,5,63
Gafsa,Redeyef,17010300601,م إبتدائية حي الزمرة الرديف - الرديف الجنوبية  مكتب 1,2,0,1,3,0,1,45,15,1,1,5,1,4,1,1,2,2,1,2,1,2,0,1,192,2,12,45,343
Gafsa,Redeyef,17010300602,م إبتدائية حي الزمرة الرديف - الرديف الجنوبية  مكتب 2,1,1,1,0,0,0,40,15,1,1,4,0,2,1,3,1,0,0,1,0,0,0,1,184,1,8,76,342
Gafsa,Redeyef,17010300603,م إبتدائية حي الزمرة الرديف - الرديف الجنوبية  مكتب 3,0,0,0,0,0,0,26,21,1,0,3,0,1,2,0,1,0,0,0,0,0,0,0,202,0,10,102,369
Gafsa,Redeyef,17010300604,م إبتدائية حي الزمرة الرديف - الرديف الجنوبية  مكتب 4,0,0,5,0,0,0,29,27,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,194,0,6,82,352
Gafsa,Redeyef,17010300605,م إبتدائية حي الزمرة الرديف - الرديف الجنوبية  مكتب 5,0,1,2,0,0,0,17,25,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,151,0,6,69,278
Gafsa,Redeyef,17010300606,م إبتدائية حي الزمرة الرديف - الرديف الجنوبية  مكتب 6,0,0,1,1,1,0,12,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,119,0,10,81,267
Gafsa,Redeyef,17010300701,م إبتدائية السقدود 1 الرديف - الرديف الجنوبية  مكتب 1,0,0,1,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,4,35
Gafsa,Redeyef,17010300801,م إبتدائية الوفاء سقدود 2 الرديف - الرديف الجنوبية  مكتب 1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,10,48
Gafsa,Redeyef,17010400901,م إبتدائية حئ التحرير الرديف - المحطة  مكتب 1,0,1,0,0,0,1,39,14,0,0,4,0,3,1,0,0,0,1,1,0,1,1,0,204,2,7,36,316
Gafsa,Redeyef,17010400902,م إبتدائية حئ التحرير الرديف - المحطة  مكتب 2,0,0,3,0,0,0,15,9,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,217,0,9,59,321
Gafsa,Redeyef,17010400903,م إبتدائية حئ التحرير الرديف - المحطة  مكتب 3,0,0,0,0,0,0,14,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,158,0,2,32,230
Gafsa,Redeyef,17010401001,م إبتدائية المحطة الرديف   مكتب 1,2,0,2,0,1,1,50,19,1,1,2,0,0,0,2,2,1,0,2,1,1,0,1,213,0,25,57,384
Gafsa,Redeyef,17010401002,م إبتدائية المحطة الرديف   مكتب 2,1,0,0,1,0,1,22,24,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,165,0,10,50,280
Gafsa,Redeyef,17010401101,م إبتدائية الفتح الرديف - المحطة  مكتب 1,1,0,1,2,0,1,30,7,0,1,1,0,1,0,0,0,1,0,2,0,0,0,2,213,0,10,35,308
Gafsa,Redeyef,17010401102,م إبتدائية الفتح الرديف - المحطة  مكتب 2,1,0,0,1,0,0,16,14,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,210,0,11,46,305
Gafsa,Redeyef,17010401103,م إبتدائية الفتح الرديف - المحطة  مكتب 3,0,0,0,0,0,0,10,15,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,137,0,8,37,213
Gafsa,Redeyef,17010401201,م إبتدائية  2مارس 1934الرديف - المحطة  مكتب 1,0,1,3,2,0,0,40,12,1,2,4,1,1,0,1,2,1,0,2,1,1,0,1,158,0,11,36,281
Gafsa,Redeyef,17010401202,م إبتدائية  2مارس 1934الرديف - المحطة  مكتب 2,0,0,0,0,0,0,25,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,171,0,4,50,261
