#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17090113301,م إبتدائية سيدي عيش المركز - سيدي عيش  مكتب 1,1,1,2,1,2,10,116,5,5,1,4,1,7,2,1,2,1,3,0,0,7,0,3,110,2,102,20,409.0
17090113302,م إبتدائية سيدي عيش المركز - سيدي عيش  مكتب 2,0,0,1,0,0,4,88,7,1,0,7,2,0,0,0,1,0,1,0,0,0,0,1,142,0,56,32,343.0
17090113303,م إبتدائية سيدي عيش المركز - سيدي عيش  مكتب 3,0,0,0,0,0,0,64,6,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,140,0,62,24,305.0
17090113401,م إبتدائية العمائمية 1 سيدي عيش   مكتب 1,0,0,2,0,1,0,40,8,0,2,1,0,0,0,1,0,2,1,0,0,1,0,1,20,0,32,2,114.0
17090113501,م إبتدائية الفتح سيدي عيش  مكتب 1,0,0,0,0,0,1,13,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,1,37,0,9,6,74.0
17090213601,م إبتدائية سيدي عيش الشرقية   مكتب 1,1,3,0,0,1,0,15,2,0,1,5,1,0,3,1,0,1,1,1,0,3,0,1,118,0,56,7,221.0
17090213602,م إبتدائية سيدي عيش الشرقية   مكتب 2,0,0,2,1,0,0,7,9,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,134,0,40,2,201.0
17090313701,م إبتدائية العمائمية 2 سيدي عيش - العمايمة  مكتب 1,0,0,0,0,0,2,84,10,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,29,1,25,2,158.0
17090413801,م إبتدائية المريطبة - منزل القمودي  مكتب 1,0,0,0,0,0,0,33,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,17,5,133.0
17090413901,م إبتدائية السوينية سيدي عيش - منزل القمودي  مكتب 1,0,0,0,0,0,1,33,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,33,0,9,1,84.0
17090514001,م إبتدائية القرية سيدي عيش  مكتب 1,0,0,0,3,0,3,60,7,0,0,6,0,0,0,0,2,1,0,0,1,4,0,0,42,0,32,3,164.0
17090514101,م إبتدائية الأمل سيدي عيش - القرية  مكتب 1,0,0,0,0,0,1,11,5,0,0,5,0,0,0,1,0,0,1,0,1,0,0,1,103,0,28,2,159.0
17090514201,م إبتدائية العبابسة القرية  مكتب 1,1,0,1,1,0,0,26,7,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,15,0,11,1,68.0
مجموع أصوات القائمة,3,4,8,6,4,22,590,69,6,5,43,6,9,6,5,7,9,7,1,4,20,1,11,998,3,479,107,2433,
