#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
17020101501,م إبتدائية المحطة السند   مكتب 1,1,0,1,2,1,4,129,7,2,2,5,1,6,1,1,1,1,1,1,0,2,0,0,103,0,19,10,301.0
17020101502,م إبتدائية المحطة السند   مكتب 2,0,0,4,1,0,0,86,13,1,0,8,0,0,1,0,0,0,0,0,0,2,0,0,138,0,30,21,305.0
17020101503,م إبتدائية المحطة السند   مكتب 3,0,0,3,1,0,1,64,12,0,1,6,0,0,0,0,1,0,1,0,0,1,0,0,128,0,16,15,250.0
17020101504,م إبتدائية المحطة السند   مكتب 4,0,0,0,0,0,0,55,23,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,99,0,18,10,215.0
17020101601,م إبتدائية جبل السند   مكتب 1,0,0,0,1,0,0,36,1,1,0,5,0,0,1,0,0,1,0,0,0,0,1,0,22,1,9,3,82.0
17020101701,م إبتدائية السمائرية السند  مكتب 1,0,0,0,1,0,1,49,4,0,0,12,0,2,0,0,0,0,0,0,0,1,0,0,36,0,25,27,158.0
17020101801,م إبتدائية البياضة السند  مكتب 1,0,0,2,2,1,0,13,1,2,0,5,0,1,1,2,0,1,0,1,2,0,1,1,61,1,15,7,120.0
17020101901,م إبتدائية حي الزيتونة السند  مكتب 1,1,0,0,0,0,1,105,6,3,0,10,1,3,1,0,2,0,2,0,1,4,0,1,118,0,23,15,297.0
17020101902,م إبتدائية حي الزيتونة السند  مكتب 2,1,0,0,3,1,1,73,2,0,0,8,0,0,1,0,1,0,1,0,0,2,0,0,140,0,18,15,267.0
17020101903,م إبتدائية حي الزيتونة السند  مكتب 3,0,0,0,2,0,0,66,9,0,0,11,0,2,0,0,0,0,0,0,0,2,0,1,81,0,18,16,208.0
17020102001,م إبتدائية ابن خلدون السند  مكتب 1,0,2,1,1,2,2,90,5,0,2,11,0,2,1,0,1,0,1,1,0,4,1,0,146,0,43,25,341.0
17020102002,م إبتدائية ابن خلدون السند  مكتب 2,0,0,0,0,0,0,56,9,0,0,5,0,2,0,0,1,0,0,0,0,3,0,2,121,0,20,20,239.0
17020202101,م إبتدائية زانوش المحطة السند  مكتب 1,0,2,1,0,0,2,104,6,0,2,12,0,2,0,0,2,1,0,2,1,4,0,0,40,2,25,34,242.0
17020202102,م إبتدائية زانوش المحطة السند  مكتب 2,0,0,0,0,1,0,71,10,0,0,16,0,1,0,0,0,1,0,0,0,1,0,0,75,0,17,45,238.0
17020202103,م إبتدائية زانوش المحطة السند  مكتب 3,0,0,0,0,1,0,43,12,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,72,4,12,32,187.0
17020202104,م إبتدائية زانوش المحطة السند  مكتب 4,0,0,0,0,0,0,34,11,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,59,3,13,38,168.0
17020202201,م إبتدائية الباطن زنوش السند   مكتب 1,0,0,1,1,1,0,116,14,1,1,4,0,1,1,0,1,1,0,0,0,1,0,1,47,0,18,39,249.0
17020202301,م إبتدائية بورقيبة باطن زنوش السند   مكتب 1,0,0,0,0,0,1,48,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,59,0,2,72,190.0
