#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
06060112101,م إبتدائية شارع بورقيبة - عين دراهم  مكتب 1,4,2,2,1,1,0,232,21,0,3,6,0,6,2,1,1,1,1,1,0,5,1,0,31,0,9,27,358.0
06060112102,م إبتدائية شارع بورقيبة - عين دراهم  مكتب 2,1,0,1,2,0,1,216,17,0,3,4,0,6,3,0,0,0,0,1,2,2,0,1,85,1,11,31,388.0
06060112103,م إبتدائية شارع بورقيبة - عين دراهم  مكتب 3,0,0,0,1,0,0,168,32,0,1,4,0,6,0,1,0,0,0,0,1,0,0,0,93,1,16,26,350.0
06060112104,م إبتدائية شارع بورقيبة - عين دراهم  مكتب 4,0,0,4,1,0,0,113,35,0,2,2,0,1,0,0,3,1,0,0,1,0,1,1,58,1,5,35,264.0
06060112201,م إبتدائية المريج - عين دراهم  مكتب 1,0,0,0,1,0,2,50,14,2,1,2,0,4,2,0,1,0,0,1,0,3,1,1,47,0,5,5,142.0
06060112301,م إبتدائية ساحة المعتمدية - عين دراهم  مكتب 1,1,2,1,5,0,0,222,9,0,0,4,0,8,1,1,1,2,2,0,0,4,1,0,47,1,9,29,350.0
06060112302,م إبتدائية ساحة المعتمدية - عين دراهم  مكتب 2,0,0,2,0,1,1,195,14,0,2,3,0,6,1,1,0,2,1,1,0,6,1,0,85,1,7,27,357.0
06060112303,م إبتدائية ساحة المعتمدية - عين دراهم  مكتب 3,0,0,1,0,0,1,145,28,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,91,1,9,31,314.0
06060112304,م إبتدائية ساحة المعتمدية - عين دراهم  مكتب 4,0,1,1,2,0,0,101,39,0,2,3,0,5,0,0,1,0,0,0,0,0,0,2,58,1,6,27,249.0
06060112401,م إبتدائية 2مارس 34 عين دراهم  مكتب 1,1,2,1,6,1,1,217,18,0,5,6,2,6,3,2,3,1,2,1,2,8,0,4,66,0,13,21,392.0
06060112402,م إبتدائية 2مارس 34 عين دراهم  مكتب 2,0,0,4,3,1,1,139,39,0,1,3,0,4,0,0,3,0,0,0,0,7,0,1,91,0,15,20,332.0
06060212501,م إبتدائية فج الشحارير - عين دراهم الأحواز  مكتب 1,3,1,1,4,1,2,124,10,0,2,4,2,1,1,0,2,2,2,1,0,7,0,1,38,1,11,11,232.0
06060212502,م إبتدائية فج الشحارير - عين دراهم الأحواز  مكتب 2,0,0,2,0,0,2,65,26,0,0,2,1,1,0,0,1,0,0,0,0,4,0,1,84,0,6,10,205.0
06060212601,م إبتدائية عين البيضة - عين دراهم الأحواز  مكتب 1,3,1,2,1,1,0,176,23,1,4,2,0,3,0,0,4,1,1,3,0,4,1,1,41,1,10,19,303.0
06060312701,م إبتدائية ببوش - أولاد سدرة  مكتب 1,2,3,5,10,0,2,145,8,4,3,2,2,9,3,0,1,1,1,3,1,11,0,0,30,0,5,18,269.0
06060312702,م إبتدائية ببوش - أولاد سدرة  مكتب 2,1,1,2,5,1,1,175,16,1,2,3,0,2,0,1,0,0,0,0,4,6,0,0,63,0,12,25,321.0
06060312703,م إبتدائية ببوش - أولاد سدرة  مكتب 3,0,0,1,0,2,0,106,16,0,0,3,0,3,1,1,0,0,0,0,0,2,0,0,68,0,8,16,227.0
06060312801,م إبتدائية أولاد سدره   مكتب 1,1,0,0,3,1,1,103,9,0,1,3,0,5,2,0,2,0,2,0,0,7,0,0,11,0,3,25,179.0
06060412901,م إبتدائية سيدي امحمد - العطاطفة  مكتب 1,3,1,1,2,2,1,39,6,3,3,0,0,6,2,0,1,1,1,1,0,7,0,2,34,2,16,7,141.0
06060413001,م إبتدائية سراء رابح - العطاطفة  مكتب 1,7,2,1,4,1,3,130,8,0,2,7,4,5,1,3,5,4,5,1,1,10,1,0,67,4,13,12,301.0
06060413101,م إبتدائية دار فاطمة - العطاطفة  مكتب 1,1,2,1,4,3,4,47,5,0,3,7,0,5,1,1,2,2,0,1,2,6,3,1,58,0,5,7,171.0
06060513201,م إبتدائية عين الحمراية   مكتب 1,0,1,1,0,1,1,74,7,0,0,2,0,1,0,0,2,0,0,0,0,4,1,1,5,1,7,2,111.0
06060613301,م إبتدائية الإصلاح بني مطير - التباينية  مكتب 1,0,1,0,0,0,1,64,11,1,0,1,1,1,2,0,1,0,3,0,0,2,0,0,21,0,4,14,128.0
06060613401,م إبتدائية التباينية  مكتب 1,1,1,1,3,0,4,89,18,1,0,3,3,4,2,1,3,1,1,3,3,4,0,1,74,0,2,7,230.0
06060613402,م إبتدائية التباينية  مكتب 2,0,0,2,1,0,0,28,26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,81,0,9,12,161.0
06060713501,م إبتدائية حمام بورقيبة - الخمائرية  مكتب 1,2,2,0,5,5,5,173,24,3,0,4,2,8,2,1,2,0,0,3,0,13,2,2,62,5,8,3,336.0
06060713502,م إبتدائية حمام بورقيبة - الخمائرية  مكتب 2,2,1,0,1,0,0,109,44,0,1,1,1,3,0,1,0,0,0,0,0,1,0,0,100,1,11,10,287.0
06060713601,م إبتدائية الفتح بحيرة الزيتونة - الخمائرية  مكتب 1,1,4,2,1,2,1,62,63,0,2,5,1,3,0,2,3,3,0,0,0,3,0,0,45,0,7,4,214.0
06060713701,م إبتدائية أرض الكاف - الخمايرية  مكتب 1,2,1,0,3,1,6,22,16,1,2,2,1,5,2,2,0,0,4,2,1,1,0,0,57,0,11,4,146.0
06060713801,م إبتدائية عديسة - الخمائرية  مكتب 1,0,0,1,1,1,0,111,9,2,1,2,1,2,0,2,2,6,0,1,0,12,0,1,25,3,4,5,192.0
06060813901,م إبتدائية أولاد هلال - سلول  مكتب 1,2,2,0,3,2,3,106,34,1,1,4,1,8,1,2,4,0,0,2,2,10,1,1,26,3,16,21,256.0
06060814001,م إبتدائية القرافة - سلول  مكتب 1,1,1,0,2,1,3,105,16,2,2,4,3,1,0,2,4,0,2,1,0,4,1,2,33,1,10,4,205.0
06060814101,م إبتدائية أولاد عريض - سلول   مكتب 1,0,1,1,7,2,5,50,22,1,0,4,1,3,2,1,2,2,2,0,0,6,1,0,16,1,14,1,145.0
06060914201,م إبتدائية الحبيب الرويعي   مكتب 1,2,1,1,6,1,0,74,16,2,2,7,0,6,2,2,2,1,0,5,1,5,0,0,38,3,16,8,201.0
06060914301,م إبتدائية أولاد خميسة - الرويعي  مكتب 1,0,1,1,2,1,0,48,3,0,0,0,0,4,0,1,1,1,1,0,0,7,0,0,9,1,2,1,84.0
06061014401,م إبتدائية الرويعي - تاقمة  مكتب 1,0,0,0,2,0,3,28,1,0,1,2,1,2,1,1,0,0,0,2,0,2,0,0,11,1,1,3,62.0
06061014501,م إبتدائية مشراوه - تاقمة  مكتب 1,3,0,0,0,0,1,76,5,2,0,2,0,0,0,2,0,2,0,0,0,2,1,0,8,0,4,2,110.0
06061014601,م إبتدائية أولاد ضيف الله - تاقمة  مكتب 1,1,1,1,2,1,0,44,7,2,0,3,0,3,3,0,1,0,1,0,0,10,3,2,7,2,3,6,103.0
06061014701,م إبتدائية الزويتنية - تاقمة  مكتب 1,2,0,1,0,1,1,126,12,3,1,1,2,0,1,0,1,1,2,2,1,5,1,1,31,1,1,3,201.0
06061114801,م إبتدائية الموامنية - عين سلام  مكتب 1,0,0,0,0,0,0,18,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,3,0,4,2,37.0
06061114901,م إبتدائية سيدي يوسف - عين سلام  مكتب 1,2,0,0,3,0,0,46,10,0,1,3,2,1,1,1,1,0,0,1,2,1,1,0,12,1,3,9,101.0
06061215001,م إبتدائية وادي الزان   مكتب 1,0,0,0,1,0,0,70,7,0,0,2,1,1,0,0,2,3,1,0,0,1,0,0,18,1,15,3,126.0
مجموع أصوات القائمة,49,36,45,98,35,57,4431,750,32,54,126,32,151,43,34,63,38,35,38,24,194,22,27,1928,40,346,553,9281,
