circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Jendouba,BaltaBouAouene,06010100101,م إبتدائية الهادي خليل - عسيلة  مكتب 1,2,0,1,4,0,0,190,34,4,1,3,0,4,1,0,1,1,0,0,0,2,0,0,40,0,8,22,318
Jendouba,BaltaBouAouene,06010100102,م إبتدائية الهادي خليل - عسيلة  مكتب 2,0,0,2,0,1,1,141,36,0,2,6,0,4,0,0,2,1,0,0,1,3,0,1,89,1,5,30,326
Jendouba,BaltaBouAouene,06010100103,م إبتدائية الهادي خليل - عسيلة  مكتب 3,0,0,2,0,0,1,101,46,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,65,0,8,18,246
Jendouba,BaltaBouAouene,06010200201,م إبتدائية الخليفات - غزالة  مكتب 1,2,1,0,2,0,1,36,16,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,10,0,3,0,75
Jendouba,BaltaBouAouene,06010200301,م إبتدائية ريغة - غزالة  مكتب 1,3,0,0,0,2,0,21,6,1,1,2,2,3,0,0,2,1,0,1,1,5,0,1,24,1,5,2,84
Jendouba,BaltaBouAouene,06010200401,م إبتدائية سيدي عبدالله - غزالة  مكتب 1,1,1,2,1,0,1,38,4,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,37,0,8,10,109
Jendouba,BaltaBouAouene,06010300501,م إبتدائية العواوضة   مكتب 1,1,1,1,1,0,3,157,11,1,2,2,3,3,0,3,2,3,18,1,1,4,0,1,51,0,13,10,293
Jendouba,BaltaBouAouene,06010300601,م إبتدائية عين الحاج - العواوضة  مكتب 1,2,0,1,0,2,2,69,11,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,41,0,7,5,146
Jendouba,BaltaBouAouene,06010300701,م إبتدائية العهد الجديد - العواوضة  مكتب 1,0,1,3,0,0,0,67,5,0,1,2,0,3,1,1,3,0,8,1,0,3,0,1,25,1,2,4,132
Jendouba,BaltaBouAouene,06010400801,م إبتدائية البلدية   مكتب 1,3,1,0,3,1,2,130,15,0,3,3,0,5,3,1,4,1,2,1,1,4,0,0,40,1,8,11,243
