circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Jendouba,Fernana,06080118601,م إبتدائية شارع بورقيبة فرنانة   مكتب 1,2,1,1,2,0,1,221,20,0,3,5,0,5,2,1,1,0,0,3,0,8,0,1,45,2,8,15,347
Jendouba,Fernana,06080118602,م إبتدائية شارع بورقيبة فرنانة   مكتب 2,3,1,3,2,2,0,147,16,1,1,3,0,2,2,0,1,0,0,0,1,6,0,0,89,0,13,14,307
Jendouba,Fernana,06080118603,م إبتدائية شارع بورقيبة فرنانة   مكتب 3,0,1,3,4,1,1,169,17,0,0,1,0,4,3,0,1,0,0,0,0,3,0,0,117,0,7,16,348
Jendouba,Fernana,06080118604,م إبتدائية شارع بورقيبة فرنانة   مكتب 4,0,0,2,0,1,1,108,23,1,0,1,0,4,0,0,2,0,0,0,0,1,0,0,103,0,6,24,277
Jendouba,Fernana,06080118605,م إبتدائية شارع بورقيبة فرنانة   مكتب 5,0,0,6,2,0,0,84,46,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,50,0,6,24,223
Jendouba,Fernana,06080118701,م إبتدائية الزاويـــة - فرنانة  مكتب 1,3,1,2,2,1,0,79,8,1,0,1,0,4,0,1,3,0,0,0,0,1,0,0,25,1,12,12,157
Jendouba,Fernana,06080118801,م إبتدائية طريق عين دراهم - فرنانة  مكتب 1,1,0,1,1,0,3,141,12,3,3,1,0,9,3,0,1,2,1,1,1,3,0,1,48,3,9,8,256
Jendouba,Fernana,06080118802,م إبتدائية طريق عين دراهم - فرنانة  مكتب 2,0,0,1,2,0,0,96,22,0,2,4,0,0,0,0,0,0,0,0,0,2,1,0,60,0,9,13,212
Jendouba,Fernana,06080118901,م إبتدائية عرقوب الريحان - فرنانة  مكتب 1,0,0,1,1,3,2,124,16,1,2,2,2,6,3,2,3,1,1,0,1,5,0,2,54,0,5,9,246
Jendouba,Fernana,06080219001,م إبتدائية المناخ - وادي غريب  مكتب 1,2,0,0,4,2,0,142,5,1,0,2,0,6,2,1,2,1,0,0,1,2,2,1,28,0,10,8,222
Jendouba,Fernana,06080219002,م إبتدائية المناخ - وادي غريب  مكتب 2,0,0,1,0,0,1,66,9,1,0,1,1,1,0,0,1,0,0,1,0,2,0,0,33,1,7,7,133
Jendouba,Fernana,06080219101,م إبتدائية حليمة - وادي غريب  مكتب 1,1,0,0,0,2,3,223,15,0,0,1,0,1,0,0,2,0,1,0,1,2,0,0,22,0,2,0,276
Jendouba,Fernana,06080219201,م إبتدائية  15أكتوبر 63 رميلة - وادي غريب  مكتب 1,2,2,0,3,1,1,153,9,1,3,1,1,2,1,1,1,2,1,0,0,10,0,1,17,1,6,18,238
Jendouba,Fernana,06080219301,م إبتدائية الحمر - وادي غريب  مكتب 1,1,1,0,1,0,0,95,5,0,1,0,0,2,2,1,2,0,1,1,0,1,0,0,9,2,3,14,142
Jendouba,Fernana,06080219401,م إبتدائية أم علية - وادي غريب  مكتب 1,0,0,0,0,0,0,41,8,0,0,3,1,1,0,0,2,0,0,0,1,1,1,0,35,1,8,7,110
Jendouba,Fernana,06080319501,م إبتدائية هنشير الشعيبة - ربيعة   مكتب 1,1,1,1,2,1,1,101,17,2,1,2,0,2,1,0,0,0,0,2,0,5,0,0,79,0,7,18,244
Jendouba,Fernana,06080319601,م إبتدائية سيدي عمار - ربيعة   مكتب 1,1,1,0,0,1,1,84,15,0,2,4,1,1,1,0,1,1,0,2,0,6,0,0,67,0,4,2,195
Jendouba,Fernana,06080419701,م إبتدائية البطاح - أولاد مفدة  مكتب 1,3,2,0,1,1,4,99,5,2,2,3,0,5,0,1,3,2,2,0,4,3,1,0,6,2,24,9,184
Jendouba,Fernana,06080419702,م إبتدائية البطاح - أولاد مفدة  مكتب 2,1,0,0,0,0,0,42,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,8,2,72
Jendouba,Fernana,06080419801,م إبتدائية شيبة - أولاد مفدة  مكتب 1,3,2,0,1,1,3,51,5,0,0,0,1,1,0,2,0,1,1,0,0,3,0,1,20,1,3,3,103
Jendouba,Fernana,06080519901,م إبتدائية جنتوره - القوايدية  مكتب 1,4,1,2,2,1,0,96,26,3,0,4,2,3,3,1,5,3,2,0,2,5,0,0,24,0,14,10,213
Jendouba,Fernana,06080519902,م إبتدائية جنتوره - القوايدية  مكتب 2,0,0,0,0,0,0,56,35,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,43,0,11,14,164
Jendouba,Fernana,06080520001,م إبتدائية الخزان - القوايدية  مكتب 1,1,0,4,3,3,1,71,25,1,3,1,0,0,2,1,4,1,0,0,0,2,0,1,73,0,4,8,209
Jendouba,Fernana,06080620101,م إبتدائية بني مطير   مكتب 1,1,2,2,0,0,1,88,11,1,0,1,0,2,2,1,1,0,0,0,0,3,0,0,71,0,7,10,204
